,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7706-0,,,,,,,,,,,,070103,070210,070348,070422,070538,070643,070749,070906,071106,071413,071551
1,MW4705-0,,,,,,,,070103,070359,070505,070654,070811,070855,071011,071106,071214,071257,071402,071508,071635,071918,072056
2,MR7964-0,,,,,,,070103,070126,071000,071106,071257,071413,071518,071646,071740,071823,071939,072034,072152,072403,072624,072740
3,AA6952-0,,,,,070103,,070159,070315,071149,071235,071446,071602,071707,071845,071939,072045,072225,072319,072435,072552,072857,073024
4,AA7488-0,,070103,070210,,070833,071055,071203,071341,072330,072435,072646,072803,072857,073046,073140,073235,073402,073456,073613,073751,074036,074108
5,AA7149-0,070716,,071235,071529,071751,072012,072225,072330,073340,073446,,073845,073951,074151,074257,074402,074613,074718,074813,074950,075224,075340
6,MW3346-0,,,,070822,,,,,074751,074834,075045,075150,075246,075446,075551,075635,075813,075929,080025,080141,080425,080635
7,AA7101-0,,,,071856,072425,072602,072835,072951,073951,074057,074318,074435,074518,074729,074823,074939,075129,075224,075340,075540,075802,075907
8,AA7214-0,,071918,072119,072403,072602,072825,073024,073129,074130,074235,074435,074551,074656,074813,074907,075023,075129,075235,075340,075551,075846,080014
9,AA7195-0,072908,072940,073203,073446,073646,073823,074014,074140,075150,075246,,075603,075708,075846,075951,080109,080214,080247,080403,080552,080824,080929
10,AA7248-0,073823,074003,074246,074602,074834,,075424,075635,080719,080813,080951,081128,081212,081349,081538,081706,081800,081905,082010,082148,082442,082619
11,AA7536-0,074602,074845,075129,075446,075824,080119,080247,080425,081349,081443,,081811,081905,082104,082159,082253,082452,082525,082630,082747,082958,083314
12,AA7522-0,075929,080003,080152,080509,080835,081012,081233,081411,082358,082452,,082831,082936,083103,083157,083325,083502,083607,083712,083944,084238,084428
13,AA7322-0,080657,081012,081422,081739,,,082409,082547,083628,083723,,084155,084227,084344,084500,084605,084722,084829,084945,085145,085355,085501
