,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4041-0,,,,,,,,,,,,,,,,,,,,,070108,070216,070354,070532,070626,070754,070827
1,MX4159-0,,,,,,,,,,,,,,,,070108,070121,070227,070238,070416,070553,070849,071005,071204,071236,071403,071436
2,MX4338-0,,,,,,,,,,,070108,070310,070416,070553,070711,070805,070921,071110,071153,071225,071403,071719,071918,072048,072132,072237,072320
3,MX4365-0,,,,,,,,,070108,070154,070416,070910,071005,071110,071215,071309,071436,071530,071613,071719,071857,072226,072415,072614,072719,072824,072857
4,MX4383-0,,070108,070154,070248,070332,070532,070638,070838,071015,071215,071436,072026,072132,072259,072426,072458,072636,072803,072857,072919,073056,073507,073657,073918,074024,074140,074212
5,MX4458-0,070108,071508,071646,071740,071802,072002,072143,072237,,072647,072857,073424,073528,073730,073802,073824,073951,074140,074223,074306,074411,074737,074904,075041,,075346,075429
6,MX4535-0,070108,070615,070921,071015,071204,071414,071602,071657,071846,072026,072248,072824,072940,073056,073224,073319,073507,073602,073646,073813,073951,074306,074444,074643,074748,074904,074926
7,MX4614-0,,072404,072614,072636,072708,072930,073118,073224,073424,073539,073730,074317,074455,074549,074705,074759,074937,075135,075230,075313,075451,075850,080018,,,080501,080606
8,MX3651-0,073139,,073719,073813,073845,074223,074433,074527,074737,074937,075146,075640,075745,075902,080007,080101,080228,080344,080428,080450,080628,080933,081132,081331,081426,081541,081614
9,MX3783-0,074255,074632,075020,075125,075157,075357,075607,075650,075902,075956,080206,080711,080817,080911,081038,081121,081259,081353,081436,081520,081646,082003,082140,082245,082413,082528,082601
10,MX4021-0,074937,075756,080050,080145,080217,080533,080744,080839,081038,081215,081426,082014,082130,082245,082402,082507,082655,082800,082833,083010,083126,083454,083654,083843,083959,084125,084158
11,MX4041-1,075913,080450,080755,080900,080944,081121,081320,081426,081625,081824,082035,082550,082655,082811,082916,083010,083126,083221,083316,083410,083537,083904,084042,084231,084347,084506,084600
12,MX4159-1,080638,081205,081353,081447,081509,081719,081857,082003,082202,082256,082445,083032,083126,083232,083359,083454,083632,083737,083821,083904,084031,084336,084433,084633,084800,084915,084959
