,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,AA6942-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070122,,,070716,070802
1,AA6738-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,,,,070431,070847,071015,,071607,071830,071947,072253,072410,072534
2,AA7450-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070122,070358,070453,070600,070705,,,070942,071343,071501,,072138,072225,072410,072757,072914,073041
3,MX4551-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070206,070303,070431,070643,070835,071121,071300,071501,071607,071702,071746,071925,072021,072105,072545,072702,073019,073316,073455,073657,073920,074040,074146
4,AA7539-0,,,,,,,,,,,,,,,,,,,,,,,070107,070133,070240,070336,070420,070538,070654,070835,071037,071230,071512,071628,071852,071958,072043,072105,072225,,072410,072819,072925,073222,073506,073646,073858,074028,074124,074233
5,AA7731-0,,,,,,,,,,,070107,070122,070218,070409,070526,070538,,070824,070847,070942,071059,071439,071746,,071914,072032,072138,072253,072348,,073019,,073338,073444,073719,073836,073931,074040,074306,,074424,,075050,,075708,075847,075931,080347,080545,080812
6,AA7600-0,081721,104901,105336,082704,105514,105845,083057,110142,070107,110545,110808,111331,111437,111615,111754,111900,112007,112224,112257,112435,112541,112900,113102,113254,113411,113506,113538,,,114130,,114415,,114933,,,,115454,,152425,115931,120334,120441,120728,142120,121300,121830,122425,143226,164200
7,AA7838-0,,,,,,,,,070107,070206,070611,071121,071300,071321,071439,071523,071650,071746,071830,071958,072116,072410,072640,072903,073008,073114,073209,073327,073444,073614,073730,073836,074113,074221,074328,074424,074530,074626,074753,074838,074912,075336,075529,075708,080005,080206,080325,080640,080747,080958
8,MX3783-0,,,,070107,070122,070409,070453,070526,070716,070835,071230,071757,071914,072010,072116,072213,072410,072512,072545,072640,072746,073136,073306,073444,073550,073730,073803,073953,074102,074221,074350,074457,074753,074900,075050,075231,075325,075420,075529,075635,075708,080122,080241,080534,080757,080936,081254,081550,081732,081944
9,AA7155-0,070107,072105,072238,072337,072424,072640,072746,072841,073008,073114,073506,074016,074124,074157,074306,074403,074530,074615,074659,074816,074922,075304,075409,075613,075741,075858,075953,080133,080241,080703,080936,081053,081338,081433,081710,081817,081922,082017,082201,082301,082334,082749,082917,083230,083454,083632,083856,084408,084526,084705
10,MX4365-0,070107,070155,070431,070549,070621,070835,071015,071110,071310,071428,071639,072149,072238,072337,072512,072556,072746,072841,072936,073008,073125,073422,073602,073708,073814,073920,074016,074157,074306,074648,074900,075006,075304,075420,075657,075814,075920,080005,080133,080303,080347,080826,080958,081349,081710,081754,082106,082537,082704,082822
11,AA7559-0,070600,071501,071746,071808,071830,072138,072337,072445,072724,,073147,073624,073730,073920,073953,074051,,074424,074436,074519,074648,075017,075242,,075551,075719,075825,080027,080155,080325,080522,,081254,081433,081721,081805,081901,081955,082117,082239,082334,082749,082917,,083621,083823,084109,084430,084526,084803
12,AA7562-0,070716,070909,071048,071154,071217,071416,071556,071702,071841,072043,072253,072841,072958,073052,073209,073255,073422,073539,073624,073708,073814,074113,074233,074424,074604,074720,074816,074933,075028,075156,075325,075529,075803,080016,080122,080230,080347,080431,080608,080703,080747,081148,081305,081614,081901,082054,082312,082738,082856,083108
13,AA6942-1,070835,072724,072947,073125,073136,073316,073506,073635,073803,073931,074005,074626,074720,074900,074933,075028,075156,075336,075420,075507,075624,075942,080144,080347,080431,080545,080640,080826,080925,081104,081349,081528,081732,081827,081933,082042,082128,082227,082408,082504,082526,082950,083119,,,083941,084142,084621,084727,084952
14,AA7920-0,071914,073539,073836,073942,074016,074233,074436,074541,074742,074955,075347,075909,080049,080133,080241,080336,080522,080619,080714,080826,080936,081243,081433,081637,081743,081901,081933,082106,082216,082345,082632,082727,083012,083230,083505,083559,083654,083750,083952,084036,084109,084526,084716,085058,085418,085546,085725,090138,090309,090556
15,AA7537-0,073411,,074211,074255,,074508,074637,074720,074849,074955,075358,075920,080049,080206,080252,080336,080522,080556,080652,080714,080826,081115,081211,081400,081455,081603,081710,081817,081944,082653,082856,083012,083325,083421,083516,083610,083716,083834,084014,084058,084131,084548,084738,085131,085418,085546,085736,090138,090331,090545
16,AA7393-0,074233,074626,074955,075113,075208,075358,075602,075657,075858,080005,080357,080914,081009,081104,081221,081316,081455,081550,081637,081721,081827,082117,082334,082632,082738,082856,082939,083119,083230,083421,083728,083907,084228,084419,084526,084632,084750,084847,085003,085120,085153,085608,085747,090105,090501,090652,090926,091228,091345,091451
17,AA6738-1,075050,,075507,075551,075624,075825,080005,080100,080325,080431,,081316,081411,081603,,,081850,081944,082029,082106,082227,082559,082727,,083108,083152,083241,083516,083632,084204,084548,,084836,085025,085300,085418,085513,085546,085809,,085937,090405,090534,,091105,091312,091524,091845,092003,092228
18,AA7450-1,075444,,075942,080016,080100,080420,080545,080640,080849,081042,,081732,081838,082029,082150,082201,082312,082408,082453,082621,082738,083108,083252,,083632,083812,083907,084058,084215,,084716,084727,085131,085227,085334,085429,085524,085608,085758,085915,090010,090428,090556,090937,091301,091451,091714,092121,092323,092546
19,MS4934-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080545,080640,080903,080958,081115,081159,081316,081422,081506,081933,082054,082356,082704,082845,083057,083337,083505,083705
20,AA7635-0,,080545,080936,081031,081115,081506,081721,081911,082106,082301,082653,083230,083348,083516,083610,083705,083823,083952,084036,084109,084239,084559,084814,085047,085153,085249,085334,085451,085608,085831,090043,090258,090619,090820,090926,091032,091138,091301,091429,091546,091630,092110,092250,092608,092820,092948,093318,093805,093933,094146
21,MX4551-1,080556,081053,081221,081327,081400,081603,081743,081955,082216,082453,082704,083359,083454,083559,083716,083801,083918,084014,084058,084215,084335,084654,084836,085047,085216,085356,085451,085630,085736,090353,090523,090641,090926,091021,091138,091238,091334,091429,091608,091714,091801,092239,092356,092619,093010,093148,093330,093816,094007,094157
22,AA7539-1,080640,081539,081827,081911,081944,082139,082301,082356,082548,082643,082856,083421,083527,083610,083728,083812,083941,084142,084239,084419,084537,084847,084952,085131,085345,085451,085535,085703,085820,,,091557,091845,092037,092301,092429,092535,092630,092915,093010,093043,093530,093721,094050,094349,094539,094920,095356,095535,095750
23,AA7731-1,,082822,083119,083130,083252,083505,083632,083716,083930,084204,,084847,,,085334,085345,085608,085736,085820,085904,090021,090353,090523,090703,090853,091021,091138,091312,091429,,,,092407,092619,092714,092831,092948,093032,093246,093341,093402,093838,094029,,094729,095004,095239,095631,095716,103153
24,AA7838-1,,083621,083845,083941,084036,084346,084559,084705,084858,085142,085546,090105,090236,090342,090450,090545,090725,090820,090904,091021,091138,091451,091608,091812,091929,092037,092121,092301,092429,092608,092747,092915,093212,093257,093508,093615,093721,093838,094029,094146,094231,094656,094847,095059,095323,095503,095739,100216,100335,100515
