,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070111,070135,070241,070748,070949,071139,071258,071425,071446,071530,071625,071743,071838,072006,072156,072251
1,MW5645-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070111,070135,070241,070314,070514,070641,071341,071530,071709,072050,072207,072356,072513,072556,072640,073136,073337,073538,073633,073801,073856,074025,074121,074217,074301,074417,074937,075159,075328,075539,075635,075719,075816,075911,080028,080145,080325,080409,080453
2,MW3496-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070357,,,,,,070111,,,,,,,,,,,,,,,,,,,,,071352,071446,071552,071720,071816,071911,072006,072112,072629,072902,073125,073157,073315,073359,073454,073600,073655,073750,073906,073939,074025
3,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070111,070157,070408,070452,070525,070641,070725,070748,070905,071203,071308,071530,071625,071754,071827,071933,072101,072356,072556,072713,,,,,073348,073421,073834,074059,074239,074322,074428,074534,074651,074757,074904,074925,075042,075528,075732,075900,075943,080123,080218,080314,080347,080431,080537,080705,080749,080909
4,MS2259-0,,,,,,,,,,,,,,070111,070303,070441,070619,070630,070714,,070832,071055,071203,071403,071436,071614,071743,071827,071955,072028,072101,072145,072218,072240,072334,072618,,,072935,073051,073136,073359,073454,074217,074322,,074651,074746,074819,074914,074948,075020,075434,075635,075816,075921,080017,080101,080230,080314,080409,080505,080611,081050,081324,081535,081714,081746,081852,081947,082042,082147,082232,082411,082516,082623
5,MW3430-0,070111,070241,070419,070608,070916,071225,071436,071519,071614,071647,071849,071943,072123,072523,072935,073103,073146,073304,073421,073612,073655,073834,074036,074301,074355,074618,074746,074853,075042,075115,075221,075350,075412,075456,075602,075932,080112,080314,080409,080527,080611,080814,080930,081302,081418,081557,081914,082031,082220,082327,082433,082527,083026,083313,083503,083630,083736,083820,084009,084053,084159,084243,084400,084917,085236,085415,085543,085649,085734,085840,085945,090051,090157,090409,090526,090620
6,MW2856-0,071530,071754,071827,072006,072145,072345,072534,072629,072746,072808,072935,073008,073114,073432,073823,073939,074014,074121,074206,074301,074333,074501,074713,074937,075020,075159,075244,075328,075434,075517,075550,075732,075805,075827,075921,080207,080325,080527,080611,080728,080825,081004,081101,082136,082316,082455,082750,082909,083026,083122,083206,083251,083736,083925,084104,084159,084254,084349,084505,084600,084705,084749,084855,085331,085554,085711,085829,085956,090135,090241,090325,090420,090515,090558,090715,090820
7,MW3053-0,,073454,073706,073917,074228,074501,074607,074702,074757,074853,075104,075137,075244,075613,080006,080123,080207,080314,080347,080527,080548,080717,080919,081123,081207,081356,081524,081619,081736,081819,081852,081936,082020,082042,082147,082433,082601,082729,082836,083004,083037,083206,083324,083736,084009,084104,084432,084527,084622,084727,084822,084906,085437,085700,085851,085945,090040,090135,090303,090336,090442,090537,090653,091148,091432,091643,091821,091937,092115,092210,092254,092402,092530,092825,093025,093130
8,MW2390-1,074925,075148,075423,075550,075635,075805,075921,080006,080101,080156,080303,080347,080409,080728,081112,081229,081302,081440,081524,081641,081703,081819,081958,082232,082305,082506,082611,082656,082814,082847,082920,083004,083037,083110,083206,083514,083725,083925,084031,084148,084221,084338,084454,084549,084800,084833,085106,085214,085415,085510,085605,085638,090135,090336,090526,090642,090726,090820,090925,091031,091126,091148,091316,091800,092032,092243,092413,092457,092602,092708,092803,092858,092941,093152,093342,093459
9,MW3496-1,,080847,081026,081218,081407,081546,081725,081830,081958,082053,082232,082349,082444,082750,083144,083313,083357,083525,083557,083725,083758,083947,084137,084327,084421,084611,084738,084844,085023,085055,085139,085225,085236,085309,085415,085649,085744,085923,090029,090135,090219,090347,090442,090704,090831,091020,091232,091327,091421,091516,091600,091633,092054,092328,092508,092624,092719,092825,092930,093025,093120,093152,093258,093805,094050,094313,094547,094653,094809,094926,095021,095104,095159,095412,095456,095551
