,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070134,070606,070817,071007,071051,071207,071251,071335,071418,071513,071629,071841,071936,072019
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070259,070354,070438,070522,071051,071251,071451,071546,071640,071724,071830,071925,072019,072052,072158,072653,072904,073021,073159,073306,073349,073422,073528,073635,073752,073942,074038,074122
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070259,070427,070555,070839,070945,071029,071112,071218,071302,071713,071914,072052,072220,072303,072409,072525,072620,072726,072820,072926,073411,073719,073857,074038,074144,074355,074503,074609,074747,074820,074959,075116,075233
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070148,070215,070416,070511,070544,070617,070649,070711,070817,071156,,,071546,071724,071819,072041,,072736,,,,,,,,,,074809,075021,075116,075222,075317,075507,075529,075636,075744,075912,080420,080727,080906,081044,081140,081236,081458,,,081902,082256,082329,082508
4,MS1935-0,,,,,,,,,,,,,070107,070148,070533,070711,070756,070945,071018,071156,071240,071418,071640,071914,071958,072220,072358,072442,072642,072726,072820,072915,072937,072959,073115,073506,073657,073857,074004,074111,074155,074322,074441,074809,075043,075200,075456,075550,075636,075722,075817,075934,080420,080705,080906,081022,081151,081247,081426,081531,081709,,081957,082508,082804,083133,083301,083429,083642,083938,084056,084234,084307,084520,084733,085018
5,MW3053-0,070107,070310,070522,070722,070901,071145,071251,071407,071513,071546,071702,071746,071936,072241,072620,072726,072809,072915,072959,073115,073148,073327,073538,073752,073835,074027,074144,074250,074441,074536,074620,074736,074809,074832,074959,075328,075518,075806,075901,080007,080050,080219,080346,081117,081353,081531,081902,082030,082223,082329,082446,082519,083004,083250,083451,083620,083737,083832,084023,084150,084256,084403,084553,085102,085401,085603,085803,085920,090120,090353,090510,090627,090756,091051,091231,091432
6,MS2365-0,,072019,072252,072525,072642,072937,073032,073148,073327,073411,073602,073635,073814,074133,074525,074704,074736,074854,075032,075116,075149,075339,075529,075744,075839,080029,080146,080230,080504,080548,080643,080749,080833,080917,081033,081415,081709,081840,081946,082052,082147,082318,082435,082552,082826,082920,083239,083356,083429,083524,083631,083704,084415,084626,084806,084934,085051,085146,085306,085433,085614,085731,085858,090404,090638,090913,091051,091220,091348,091548,091654,091810,091938,092200,092340,092520
7,MW2390-1,073846,074217,074514,074809,075043,075423,075659,075828,080112,080146,080346,080442,080548,080917,081258,081415,081458,081553,081626,081755,081840,082030,082256,082446,082552,082731,082920,083015,083144,083250,083356,083546,083620,083642,083810,084118,084351,084520,084615,084722,084806,084956,085051,085422,085603,085720,085942,090058,090225,090309,090415,090448,090934,091209,091410,091548,091654,091759,091916,092021,092138,092223,092414,092901,093135,093314,093420,093547,093643,093821,093927,094043,094211,094351,094542,094658
8,MW2856-0,,075603,075806,080102,080336,080632,080822,080928,081044,081140,081309,081404,081531,081851,082234,082424,082446,082625,082731,082859,082942,083228,083418,083653,083759,083949,084139,084212,084426,084520,084744,084945,085007,085040,085146,085528,085720,085909,090004,090120,090153,090331,090437,090745,090923,091040,091326,091442,091621,091854,092021,092105,092723,092945,093146,093325,093420,093514,093621,093737,093832,093927,094116,094636,094943,095206,095407,095513,095630,095748,095854,095959,100128,100329,100457,100931
9,MW2780-1,,083037,083407,083557,083810,084056,084351,084542,084710,084806,085007,085113,085222,085614,085953,090120,090214,090331,090437,090616,090700,090902,091146,091337,091432,091632,091748,091821,091959,092043,092149,092223,092245,092425,092615,092956,093124,093230,093347,093503,093536,093726,093843,094010,094245,094436,094753,094858,095059,095155,095312,095356,095905,100201,100351,100519,100625,100752,100920,101026,101131,101237,101405,101851,102147,102359,102515,102704,102833,102949,103054,103222,103411,103717,103928,104212
10,MS2259-1,,085146,085528,085731,085953,090415,090532,090756,091135,091304,091432,091537,091621,091938,092340,092520,092615,092806,092839,093051,093135,093325,093536,093748,093832,,094211,094318,094542,094636,094720,094847,094920,094954,095132,095513,095641,095916,095948,100106,100150,100351,100508,100847,,,101533,101638,101851,102008,102125,102209,102811,103033,103233,103411,103528,103634,103822,103928,104011,104212,104340,104825,105058,105203,105320,105447,105626,105745,105945,110051,110251,,110819,110935
11,MS1935-1,,091315,091516,091832,092116,,,,,093336,093654,093759,093854,094234,094636,094815,094920,095059,095132,095323,095407,095619,095821,100055,100150,100413,100541,100625,100825,100920,101004,101120,101204,101321,101500,101818,101923,102147,102315,102442,102526,102854,103000,103338,103612,103750,104117,104201,104329,104541,104708,104751,105425,105745,105956,110123,110251,110419,,,110758,110830,111030,111514,111853,112136,112315,112527,112811,112939,113128,113308,113447,113756,113913,114041
12,MS1695-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091453,,,,,091610,091748,091938,092234,092352,092425,092520,092615,092659,093219,093431,093610,093654,093759,093832,093959,094054,094149,094234,094351,094837,095049,095301,095440,095546,095641,095854,100011,100128,100234,100508,100625,100920
13,MW3053-1,092923,093157,093514,093854,094234,094542,094742,094909,095027,095144,095301,095407,095451,095821,100201,100307,100351,100541,100636,100909,101004,101248,101522,101700,101756,101945,102125,102220,102348,102431,102526,102610,102632,102653,102822,103116,103317,103550,103655,103812,103906,104033,104128,104802,105014,105142,105447,105615,105807,110040,110145,110229,110703,111008,111146,111419,111536,111631,111758,111904,112009,112042,112158,112633,112917,113150,113319,113437,113627,113840,114052,114336,114505,114654,114833,115012
14,MS2365-1,,095301,095535,095843,100201,100541,100658,100858,101059,101215,101354,101449,101649,102008,102410,102537,102621,102759,102854,103033,103127,103317,103528,103739,103833,104033,104201,104256,104530,104625,104730,104836,104920,105047,105214,105553,105710,105945,110051,110207,110251,110502,110608,110736,111008,111124,111441,111609,111653,111758,111915,111947,112538,112811,113022,113236,113414,113509,113710,113756,113924,114019,114146,114644,115012,115213,115343,115500,115606,115745,115925,120210,120457,120803,120941,121120
15,MW2856-1,,102230,102442,102653,103011,103411,103655,103822,104139,104245,104425,104541,104708,105058,105447,105615,105659,105840,105934,110112,110218,110419,110652,110935,111030,111252,111503,111609,111747,111915,111947,112042,112136,112326,112420,112749,112939,113150,113308,113425,113542,113840,113957,114347,114527,114716,115001,115107,115236,115449,115617,115701,120245,120624,120836,121003,121204,121320,121520,121628,121820,121915,122044,122554,122902,123136,123410,123549,123800,123949,124117,124307,124458,124658,124826,124943
16,MW2390-2,,104351,104530,104825,105142,105425,105659,105818,110051,110134,110345,110502,110652,111019,111431,111609,111704,111831,111937,112126,112231,112453,112749,113000,113044,113247,113414,113458,113745,113851,113946,114041,114103,114146,114252,114610,114833,115056,115150,115309,115404,115606,115701,120020,120223,120435,120814,120909,121058,121331,121448,121531,121958,122259,122437,122554,122745,122851,123030,123136,123253,123359,123549,124055,124340,124508,124731,124943,125123,125250,125440,125607,125745,125935,130113,130346
