,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7101-0,,,,,,,,,,,,,,,,,,,,1,1,1,-1
1,AA7530-0,,,,,,,,,,,,-1,-1,-1,1,1,1,1,4,1,1,1,-1
2,AA7842-0,,,,,,,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
3,AA7637-0,,,,,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1
4,AA7418-0,,,1,-1,-1,,,,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,,,-1
5,AA6482-0,,-1,-1,-1,-1,1,3,-1,1,-1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
6,AA7492-0,,,-1,-1,-1,1,,1,1,-1,-1,,-1,1,1,1,1,1,1,1,1,1,-1
7,AA7149-0,-1,-1,1,-1,-1,-1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
8,MR7938-0,,,,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
9,AA6952-0,,,1,,-1,-1,-1,-1,,,-1,-1,-1,1,,,,,,1,1,1,-1
10,MW3346-0,,,,,,,,,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1
11,AA7195-0,-1,-1,-1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,4,3,1,1,1,
12,AA7488-0,-1,-1,-1,,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1,-1
13,AA7536-0,,-1,1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,,,,,1,-1
14,AA7252-0,-1,,2,-1,,,2,1,1,-1,-1,-1,-1,1,,,,,,1,1,1,-1
15,AA7871-0,-1,-1,2,-1,-1,4,2,1,1,-1,-1,,-1,1,1,1,1,1,1,1,1,1,-1
16,AA7101-1,,-1,-1,-1,-1,1,3,,1,-1,-1,-1,-1,,,1,1,1,1,1,1,1,-1
17,AA7530-1,-1,-1,1,-1,-1,1,4,1,1,-1,-1,,-1,1,1,1,1,1,3,1,1,1,-1
18,AA7418-1,,-1,1,-1,-1,,,,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,1,-1
19,AA7492-1,,,1,-1,-1,2,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
20,AA7637-1,,-1,1,-1,-1,3,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
21,AA6482-1,,-1,1,-1,,,2,1,1,-1,-1,-1,,,,1,,,,1,1,1,-1
22,AA7842-1,-1,-1,-1,,-1,1,4,1,,,,,,1,1,1,1,1,1,1,1,1,
23,AA6952-1,,,,,-1,1,3,1,1,-1,-1,,,,1,,,,,1,1,1,-1
24,AA7252-1,-1,-1,-1,-1,-1,2,,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
25,AA7536-1,-1,-1,-1,-1,-1,1,4,1,,,,,-1,1,1,1,1,1,1,1,1,1,-1
26,AA7871-1,-1,,1,-1,-1,1,3,1,1,-1,-1,,-1,1,1,1,1,1,1,1,1,1,-1
27,AA7418-2,,-1,-1,,,,,,1,,,,,,,,,,1,,,,-1
28,AA7492-2,-1,-1,1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
29,AA7530-2,-1,-1,-1,-1,-1,2,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
30,AA7637-2,-1,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
31,AA6482-2,,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,,,,,,,2,,1,1,-1
32,AA6952-2,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
33,AA7536-2,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
34,AA7871-2,,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
35,AA7101-2,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
36,AA7488-1,,,,,,,,,,,,,,,,,,1,2,1,1,1,-1
37,AA7530-3,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
38,AA7637-3,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
39,AA6952-3,-1,-1,,,-1,3,,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,,-1
40,AA7488-2,-1,-1,-1,,,,,,1,-1,-1,,,1,,,,,,,,1,-1
41,AA7871-3,,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
42,AA7530-4,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
43,AA7637-4,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
44,AA7706-0,,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
45,AA6952-4,,,-1,-1,-1,3,4,1,1,-1,-1,,-1,1,1,1,,,,,1,1,-1
46,AA7488-3,,,,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
47,AA7492-3,-1,-1,-1,-1,-1,3,,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
48,AA6701-0,,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
49,AA7871-4,-1,-1,-1,,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
50,AA7530-5,,,,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
51,AA7101-3,,,,,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
52,AA7637-5,,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
53,AA7418-3,,,-1,,-1,,,,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
54,AA6952-5,-1,,,-1,-1,3,4,1,,,,,-1,1,1,1,1,1,2,1,1,1,-1
55,AA7488-4,-1,-1,-1,-1,-1,,4,,,,,,,1,,,,,2,,,,-1
56,AA7149-1,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,,-1,1,1,1,1,1,2,1,1,1,-1
57,AA7536-3,-1,,-1,-1,-1,,,,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
58,AA7492-4,,-1,-1,-1,-1,,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
59,AA6701-1,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
60,AA7252-2,-1,-1,-1,-1,,,,,1,-1,-1,-1,-1,1,1,1,1,,,,,,-1
61,AA7418-4,-1,-1,,,-1,3,4,1,1,-1,-1,,-1,1,1,1,1,1,2,1,1,1,-1
62,AA7101-4,,,,,,,,,1,-1,-1,-1,-1,1,1,1,1,,,,,,-1
63,AA7530-6,,-1,-1,,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
64,AA7637-6,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,,-1,1,1,1,1,1,2,1,1,1,-1
65,AA7536-4,,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
66,AA7871-5,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
67,AA7530-7,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
68,AA7637-7,,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
69,AA6952-6,,-1,-1,-1,-1,,4,,,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,
70,AA7488-5,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,
71,AA7536-5,-1,-1,-1,-1,-1,3,4,,,,,-1,-1,1,1,1,1,1,2,1,1,1,-1
72,AA7871-6,-1,-1,-1,,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
73,AA7530-8,-1,-1,-1,,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,,,,,,
74,AA7637-8,-1,-1,-1,-1,-1,3,,,,,,,,,,,,,,,,,
