,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7488-0,,,,,,,,,,,070108,070500,070616,070732,070826,070920,071058,071436
1,AA7536-0,,,,,,,,,070108,,070743,071929,,,,,,073207
2,AA6952-0,,,,070108,,,,,,,082519,,083825,084016,084121,084215,084309,084728
3,AA7871-0,070108,070310,070616,070805,070942,071015,071225,071320,071353,071907,072141,073122,073344,073533,073650,073743,073859,074308
4,AA7101-0,,071530,,,072245,072317,072508,072613,072657,073122,073301,074656,074857,075056,075202,075308,075424,075753
5,AA7530-0,,,072816,073028,073144,073228,073355,073500,073606,074120,074435,075551,075815,075932,080037,080142,080309,080656
6,AA7842-0,091826,073639,074005,092435,092602,092657,092751,092907,092940,075224,093752,080645,095025,095224,095329,095445,081403,095918
7,AA7637-0,074508,074740,075045,075224,075330,075402,075446,075551,075636,080109,080236,081246,081509,081635,081741,081813,081940,082213
8,AA6482-0,075815,075932,080247,,,,080918,081024,081107,081708,081940,083403,083519,083720,083837,083931,084110,084519
9,AA7488-1,081708,081802,082140,082234,082350,082424,082519,082614,082657,083130,083352,084320,084540,084718,084824,084930,085056,085318
10,AA7536-1,083436,083825,084110,084226,084331,084425,084602,084645,084750,085203,085412,090331,090541,090719,090814,090846,090940,091710
11,AA7252-0,083752,084457,084803,,,,,,,,090202,091413,091638,091858,092003,092108,092234,092519
12,AA7871-1,085045,085308,085602,085635,085740,085812,090035,090119,090213,090646,090951,091847,092119,092223,092352,092446,092541,092918
13,AA7530-1,090613,090708,091035,091224,091329,091402,091458,091553,091638,092151,092435,093540,093814,094119,094235,094341,094529,094919
14,AA7101-1,,,,090624,090730,090824,091002,091057,091140,091553,091659,,,,,,093540,094057
15,AA7418-0,091046,091436,091753,091847,091952,092046,092140,092245,092318,092740,092918,094141,094402,094519,094624,094707,094836,095140
16,AA6952-1,100246,100647,100858,,,,,,101708,,102352,103413,,,,,091235,104824
17,AA7492-0,092635,092835,093203,093257,093424,093446,093551,093719,093803,094225,094446,095613,095802,095950,100057,100152,100308,100720
18,AA7637-1,093413,093540,093857,094108,094235,094308,094413,094529,094602,095119,095257,100319,100541,100658,100803,100858,101057,101519
19,AA7195-0,093803,094529,,,,,,,,,,,,,,,,102414
20,AA6482-1,,095257,095635,095802,,,,,100519,,,102635,103002,103308,103424,103541,103741,104307
21,AA7488-2,124949,,,,125835,125919,130013,130109,102541,130603,130857,104519,104657,104908,105023,105128,105307,133057
22,AA7536-2,102940,,,,103802,103908,104003,104108,104140,104802,105012,110014,110341,110511,110616,110649,110910,111413
23,AA7871-2,,105646,105942,110131,110236,110405,110554,110700,110754,111329,111635,112751,113003,113152,113257,113403,113519,113849
24,AA7418-1,110533,111036,111445,,,,,,112107,,,114121,114342,114545,114650,114745,114901,115155
25,AA7492-1,112202,112403,112657,112751,112920,113014,113141,113330,113413,114016,114258,115345,115606,115816,115920,120036,120203,120530
26,AA7101-2,113341,113457,113838,114037,114204,114236,114448,114628,114734,115251,115555,120602,120817,121039,121144,121227,121311,121606
27,AA7530-2,115240,115356,115700,115910,120025,120058,120235,120340,120413,120944,121155,122111,122342,122635,122740,122813,122918,123203
28,AA7637-2,120656,120828,121050,121227,121333,121405,121533,121617,121701,122100,122259,123435,123551,123740,123856,123917,124022,124233
29,AA6952-2,,123834,,,,,,,,,,,,,131107,131202,131307,131857
30,AA7536-3,130508,,131213,131402,131456,131602,131741,131836,131930,,132835,,134329,134509,134615,134721,134817,135215
31,AA7871-3,,132141,132540,132707,132846,132930,133141,133258,133341,133812,134224,135425,135719,135942,140048,140153,140309,140615
32,AA7101-3,,,134035,134213,134340,134425,134553,134753,134838,135646,140003,,141534,141755,141900,142005,142121,142447
33,AA7530-3,,,135508,135657,135834,135942,140037,140142,140309,140753,141051,142143,142426,142625,142740,142847,143025,143508
34,AA7637-3,,140436,140721,140816,140922,140956,141135,141251,141335,141900,142216,143446,143720,143900,144005,144110,144226,144637
35,AA6952-3,,142847,143225,143425,143541,143615,143720,143849,143922,144532,144731,145952,,150445,150551,150656,150824,151306
36,AA7488-3,144405,144543,144911,145133,145227,145311,145438,145604,145658,150225,150602,151622,151904,152041,152146,152240,152407,152850
37,AA7536-4,,,150308,150424,150540,150602,150728,150813,150907,,,,,,,,154503,154714
