,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7536-0,,,,,,,,,,070106,070246,070340,070436,070603,070657,070802,070940,071045,071128,071235,071529,071647
1,AA7706-0,,,,,,,,070106,070730,070802,071013,071128,071203,071330,071424,071456,071602,071657,071816,071943,072154,072310
2,AA7248-0,,,,,070106,,,,071319,071413,071614,071732,071816,071953,072027,072100,072227,072321,072427,072521,072721,072816
3,AA7149-0,,,070246,070625,070857,070951,071214,071319,072343,072511,072732,072910,073004,073153,073259,073404,073520,073625,073743,073943,074237,074416
4,AA7195-0,,,071107,071340,071551,071859,072016,072143,073142,073310,073520,073636,073732,073921,074015,074048,074216,074321,074405,074543,074838,074943
5,AA6952-0,071602,071647,071943,072227,072427,,072838,073004,073932,074121,074310,074500,074605,074838,074943,075049,075239,075355,075501,075555,075851,075945
6,AA7721-0,071624,071647,073448,,074059,074154,074332,074437,075312,075344,075533,075640,075735,075829,075913,080008,080124,080218,080302,080346,080619,080724
7,AA7488-0,072627,072910,073226,073647,073837,074004,074143,074248,075154,075228,075439,075555,075650,075807,075913,080008,080113,080218,080302,080357,080619,080820
8,AA7440-0,,074037,074310,074555,074816,074933,075143,075406,080314,080409,080558,080714,080809,080925,081052,081145,081324,081430,081513,081557,081851,081935
9,AA7530-0,074743,074816,074943,075239,075439,075629,075818,075923,080925,081030,,081346,081430,081641,081735,081841,082019,082124,082207,082345,082618,082702
10,AA7322-0,075250,075618,075807,080135,080325,080558,080724,080903,081735,081841,,082156,082229,082419,082451,082557,082713,082818,082902,083145,083428,083544
11,AA7101-0,080018,080357,080630,080925,081230,081335,081546,081714,082524,082640,,082935,082956,083145,083229,083334,083428,083533,083616,083744,083954,084101
12,AA7536-1,081324,081419,081725,081946,082251,082607,082723,082851,083744,083839,,084206,084300,084449,084533,084648,084815,084909,085003,085141,085414,085613
13,AA7706-1,081924,082301,082557,,083102,083250,083533,083659,084533,084627,084836,084941,085036,085214,085258,085403,085457,085602,085657,085754,090005,090110
14,AA7195-1,,,083439,083710,084028,,084343,084438,085331,085403,085540,085657,085732,085943,090027,090121,090342,090458,090542,090743,091003,091130
15,AA7248-1,,084249,084500,084732,085046,,085508,085624,090542,090636,,090910,091058,091246,091329,091445,091602,091708,091824,091950,092151,092246
16,AA7149-1,085057,,085551,085921,090215,090447,090636,090805,091741,091856,092107,092246,092350,092550,092644,092727,092948,093053,093147,093410,093657,093813
17,AA7721-1,090520,,,,,,,,,,,,,,,,,,,,,
18,AA6952-1,,090531,090837,091109,091340,091613,091646,091950,092937,093042,093243,093443,093516,093708,093802,093908,094003,094108,094213,094339,094624,094729
19,AA7488-1,,091646,092118,092456,092727,092821,093053,093219,094130,094202,094350,094508,094551,094656,094739,094825,094941,095046,095141,095246,095507,095614
20,AA7440-1,,,093410,093718,093930,094141,094414,094530,095351,095424,095636,095741,095845,100003,100057,100202,100351,100457,100541,100740,101023,101118
21,AA7322-1,,094403,094707,095119,095329,095550,095719,095835,100813,100907,,101150,101236,101424,101508,101541,101657,101802,101907,102046,102246,102446
22,AA7530-1,095035,095402,095741,100140,100425,100602,100707,100813,101741,101835,,102151,102235,102529,102635,102707,102802,102907,102950,103150,103424,103445
23,AA7706-2,100951,101330,101646,102046,102257,102435,102645,102802,104001,104106,104326,104526,104631,104809,104854,105010,105158,105303,105357,105619,105946,110136
24,AA7195-2,,,102707,103319,103540,,103823,104033,105020,105115,105303,105408,105451,105713,105756,105924,110008,110114,110157,110345,110606,110733
