,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4535-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070203,070352,070458,070820,070937,071222
1,MX3651-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070119,070213,070257,070658,070831,071138,071455,071709,071911,072338,072454,072611
2,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070224,070330,070604,070709,070809,070842,071010,071054,071127,071602,071709,072006,072410,072454,072600,072918,073035,073140
3,MX4021-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070130,070257,070425,070720,070904,071138,071244,071338,071411,071539,071647,071732,072134,072305,072611,072845,073035,073213,073436,073542,073720
4,MX4041-0,,,,,,,,,,,,,,,,,,,,070106,070119,070436,070709,070904,071010,071149,071222,071433,071539,071732,071944,072101,072410,072600,072824,072940,073057,073151,073308,073403,073447,073900,074027,074249,074500,074650,074902,075313,075429,075608
5,MX4159-0,,,,,,,,,,,,,,,,070106,070213,070308,070341,070425,070531,070842,070937,071149,071244,071400,071444,071636,071754,072156,072305,072444,072728,072802,073013,073129,073235,073257,073403,073509,073531,073944,074100,074300,074639,074841,075103,075346,075502,075713
6,MX4338-0,,,,,,,,,,,070106,070509,070604,070658,070758,070842,071021,071211,071255,071338,071444,071754,071922,072134,072232,072349,072432,072549,072655,,073246,073436,073658,073816,073922,074038,074133,074238,074355,074449,074555,075008,075125,075313,075535,075746,075914,080158,080305,080445
7,MX4365-0,,,,,,070106,070130,070235,070352,070604,070820,071349,071444,071550,071658,071805,071911,072006,072050,072112,072219,072516,072706,072856,073002,073107,073151,073403,073509,073720,073849,074038,074322,074416,074522,074628,074735,074819,074935,075052,075125,075535,075713,080125,080434,080635,080859,081111,081229,081335
8,MX4383-0,070106,,070615,070658,070747,070926,071032,071127,071306,071433,071838,072422,072516,072633,072802,072845,073013,073118,073213,073246,073425,073709,073816,073944,074049,074155,074249,074427,074555,074723,074935,075114,075346,075451,075702,075914,080031,080125,080316,080400,080456,080921,081100,081346,081609,081810,081927,082338,082444,082601
9,MX4388-0,070758,071211,071444,071528,071550,071838,071922,072028,072156,072243,072454,073013,073107,073213,073341,073414,073531,073625,073709,073816,073933,074238,074438,074555,074701,074830,074924,075135,075241,075451,075630,075841,080136,080232,080456,080602,080657,080743,080859,081005,081049,081452,081620,081959,082233,082444,082707,083216,083334,083439
10,MX4458-0,071709,072050,072243,072338,072410,072706,072824,072929,073057,073257,073509,074027,074133,074238,074406,074500,074606,074745,074841,074924,075030,075346,075557,075757,075852,080020,080114,080243,080400,080529,080805,081005,081313,081430,081703,081821,081948,082043,082211,082316,082349,082814,082953,083227,083608,083820,084104,084411,084539,084706
11,MX4535-1,072432,072951,073257,073341,073403,073636,073732,073805,073944,074122,074533,075135,075241,075419,075513,075608,075757,075936,080031,080114,080232,080613,080827,081100,081207,081335,081430,081558,081714,081832,082032,082211,082539,082634,082858,083004,083122,083206,083322,083439,083512,083936,084115,084444,084738,084938,085306,085635,085817,085945
12,MX3651-1,073647,074006,074155,074300,074344,074639,074841,074935,075052,075157,075357,075841,075958,080052,080208,080305,080423,080540,080624,080708,080827,081133,081324,081452,081620,081737,081821,081948,082105,082211,082411,082601,082836,083026,083110,083206,083300,083344,083535,083619,083703,084104,084220,084455,084749,084949,085306,085709,085828,085956
13,MS1953-1,073754,074808,074946,075052,075135,075429,075513,075619,075735,075947,080158,080805,080910,081005,081100,081156,081324,081430,081514,081620,081737,082116,082222,082444,082550,082707,082803,082942,083059,083206,083355,083450,083809,084020,084126,084220,084316,084411,084539,084622,084706,085137,085306,085528,085839,090040,090252,090515,090632,090800
14,MX4021-1,,075746,080009,080052,080136,080305,080423,080540,080646,080816,081026,081525,081631,081748,081854,081948,082127,082211,082305,082411,082528,082836,082953,083110,083206,083334,083439,083557,083703,,084053,084210,084506,084622,084905,084959,085054,085116,085233,085316,085412,085839,090040,090313,090526,090716,090917,091213,091330,091508
15,MX4041-1,,080602,080859,080943,081026,081430,081547,081631,081810,081937,082244,082836,082942,083048,083227,083334,083450,083557,083652,083820,083925,084220,084338,084517,084622,084800,084833,084959,085127,,085506,085624,085923,090029,090303,090357,090515,090610,090738,090905,090949,091424,091552,091803,092141,092319,092710,093209,093317,093444
16,MX4159-1,,081514,081832,081916,081959,082233,082433,082506,082634,082847,083110,083608,083714,083820,083925,084031,084148,084349,084422,084506,084611,084905,085054,085327,085412,085528,085602,085733,085828,085956,090219,090409,090727,090822,090927,091033,091117,091150,091330,091413,091457,091847,092014,092203,092531,092743,092924,093400,093517,093636
17,MX4338-1,082010,082455,082718,082740,082803,083037,083122,083155,083334,083523,083914,084411,084506,084601,084655,084738,084854,084949,085021,085105,085159,085455,085613,085806,085901,090029,090102,090241,090335,090705,090833,091022,091308,091424,091530,091635,091719,091803,091941,092036,092130,092542,092659,093008,093219,093433,093625,094029,094145,094251
18,MX4365-1,,083300,083512,083535,083557,083703,083809,083903,084031,084137,084528,085105,085148,085306,085401,085455,085624,085744,085839,090018,090124,090409,090526,090800,090905,091033,091106,091330,091424,091541,091814,091919,092141,092224,092330,092426,092531,092626,092754,092913,093008,093411,093528,093827,094051,094145,094345,094724,094830,094946
19,MX4383-1,083714,084232,084455,084517,084539,084916,085137,085233,085349,085539,085755,090335,090442,090537,090654,090800,090949,091150,091235,091319,091435,091814,092014,092214,092308,092437,092520,092637,092743,092902,093125,093317,093614,093827,093933,094051,094207,094312,094440,094545,094629,095051,095221,095505,095749,095949,100212,100659,100828,100946
20,MX4388-1,084633,,085517,085646,085733,090040,090241,090335,090504,090559,090811,091319,091413,091603,091708,091741,091857,092003,092047,092224,092330,092637,092807,092957,093103,093219,093255,093444,093550,093754,093955,094113,094418,094556,094830,094957,095051,095113,095232,095315,095359,095811,095928,100117,100414,100615,100913,101349,101506,101611
21,MX4458-1,085828,,090420,090504,090526,090716,090800,090844,091001,091213,091424,091930,092036,092141,092236,092341,092459,092553,092648,092818,092924,093232,093433,093636,093732,093849,093955,094145,094240,094345,094607,094735,095030,095135,095232,095326,095432,095538,095739,095906,095938,100447,100615,100924,101233,101327,101444,101917,102047,102258
22,MX4535-2,090548,090811,091022,091055,091150,091435,091624,091719,091847,092036,092448,093041,093147,093306,093422,093517,093647,093805,093849,094018,094134,094523,094713,094924,095041,095157,095232,095410,095516,095706,095855,100022,100339,100436,100709,100828,100924,101019,101158,101349,101433,101855,102057,102353,102732,102816,103145,103641,103757,103957
23,MX4604-0,091435,,,,,,,,,,093147,093636,093720,093911,094007,094051,094207,094345,094429,094556,094713,094957,095113,095348,095454,095622,095706,095822,095938,100150,100403,100520,100744,100828,101041,101208,101305,101400,101517,101622,101706,102119,102236,102604,102900,102933,103207,103641,103818,104042
24,MX3651-2,092224,092404,092615,092710,092743,093052,093209,093306,093444,093658,093911,094429,094534,094629,094757,094830,095008,095102,095146,095209,095326,095633,095749,100022,100139,100307,100339,100520,100637,100817,101041,101136,101549,101738,102014,102119,102236,102353,102520,102709,102743,103156,103335,103619,103913,103957,104220,104517,104644,104802
25,MS1953-2,092829,093209,093411,093506,093636,093816,094018,094113,094229,094512,094735,095304,095410,095516,095633,095728,095906,100022,100106,100245,100615,100924,101125,101338,101455,101622,101706,101844,101950,102119,102320,102458,102754,102900,103123,103240,103346,103440,103557,103713,103808,104232,104411,104644,104929,105108,105258,105711,105828,105946
26,MX4021-2,,094007,094207,094251,094429,094607,094702,094746,094957,095135,095348,100000,100055,100212,100339,100436,100626,100744,100839,101008,101136,101455,101611,101800,101855,102014,102108,102331,102425,,102805,103006,103229,103429,103652,103818,103913,103957,104125,104220,104305,104728,104857,105247,105542,105616,105806,110114,110255,110413
27,MX4041-2,094429,094841,095146,095221,095243,095454,095655,095739,095906,100150,100604,101147,101254,101411,101538,101633,101811,101928,102014,102119,102225,102604,102732,102944,103050,103218,103302,103502,103630,103840,104020,104232,104550,104739,105003,105152,105258,105403,105542,105711,105806,110233,110413,110719,111047,111132,111354,111649,111818,111945
28,MX4159-2,095221,095644,095906,100011,100033,100245,100350,100509,100709,101019,101422,101950,102057,102203,102331,102436,102626,102816,102900,103039,103145,103440,103619,103829,103946,104114,104158,104338,104433,104706,104940,105119,105437,105649,105924,110041,110147,110233,110413,110519,110540,110942,111109,111343,111722,111806,112018,112436,112625,112803
