,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4159-0,,,,,,,,,,,,,,,,,,,,,,,,,070104,070222,070306
1,MX4338-0,,,,,,,,,,,,,,,,,,,,,070104,070149,070306,070425,070520,070648,070721
2,MX4383-0,,,,,,,,,,,070104,070116,070211,070350,070458,070531,070659,070848,070931,071120,071247,071552,071805,071933,072038,072154,072249
3,MR8024-0,,,,,070104,070339,070542,070637,070804,071004,071226,071805,071911,072027,072154,072249,072418,072536,072620,072641,072819,073125,073242,073443,073548,073706,073811
4,MX1197-0,,070104,070350,070458,070531,070710,070804,070910,071025,071226,071638,072249,072407,072547,072725,072841,073008,073147,073231,073421,073559,073939,074108,074340,074435,074551,074646
5,MX4551-0,070255,071331,071530,071700,071754,072122,072354,072452,072630,072852,073103,073622,073717,073843,074003,074108,074246,074351,074435,074518,074646,075014,075236,075426,075542,075710,075805
6,MX4535-0,070328,070615,070953,071058,071142,071447,071700,071805,072005,072238,072452,073209,073325,073454,073749,073833,074025,074141,074246,074414,074551,074953,075214,075415,075531,075659,075754
7,MW3291-0,071120,,072038,072133,072205,072452,072609,072703,072852,073103,073515,074108,074213,074329,074435,074540,074656,074751,074846,075014,075203,075542,075805,,080134,080302,080357
8,MX4598-0,,072216,072418,072514,072630,072841,073041,073136,073358,073537,073928,074446,074635,074751,074857,075004,075131,075214,075258,075415,075553,075922,080039,080240,,080523,080556
9,MX4614-0,,072652,073103,073136,073231,073526,073800,074014,074246,074529,074751,075320,075437,075604,075721,075805,075922,080006,080039,080101,080218,080545,080724,080923,081039,081144,081228
10,MX3651-0,073443,074014,074340,074457,074613,075604,075805,080112,080357,080607,081028,081534,081639,081830,082019,082102,082251,082345,082440,082618,082745,083158,083314,083537,083632,083737,083853
11,MX4021-0,,074814,075426,075542,075754,080724,080913,081322,081555,081852,082251,082841,083008,083220,083358,083527,083715,083948,084032,084116,084244,084602,084752,084943,085059,085226,085321
12,MX3783-0,075342,075615,080735,080913,081039,081819,082029,082146,082451,082852,083303,083821,083926,084211,084435,084657,084932,085143,085226,085310,085440,085745,090008,090223,090329,090437,090520
13,MX4159-1,080429,081039,082334,082512,082936,083516,083821,083937,084255,084730,085143,085713,085841,085957,090212,090329,090604,090744,090828,090913,091041,091421,091623,092005,092111,092205,092300
14,MX4338-1,081333,082008,082830,082947,083220,083715,084021,084149,084519,084943,085343,085852,085957,090117,090245,090437,090721,090935,091019,091103,091231,091623,091731,092005,092111,092227,092322
15,MX4365-0,,082640,083231,083358,083748,084327,084530,084814,085016,085407,085757,090307,090426,090604,090806,090935,091231,091347,091432,091612,091720,092111,092322,092522,092628,092733,092806
