,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4535-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070205,070227,070451,070746,070903,071030
1,MX3651-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070205,070300,070344,070819,070958,071158,071422,071553,071745,072138,072306,072424
2,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070238,070418,070534,070640,070746,070830,071020,071103,071136,071616,071734,072010,072339,072519,072720,073015,073143,073311
3,MX3783-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070249,070344,070607,070841,070958,071103,071158,071305,071338,071455,071542,071616,072021,072138,072402,072720,072804,072909,073216,073311,073438
4,MX4041-0,,,,,,,,,,,,,,,,,,,,,,,070107,070121,070205,070333,070407,070607,070724,070852,071009,071220,071506,071723,071840,071947,072054,072149,072306,072402,072457,072953,073132,073438,073700,073850,074101,074241,074359,074601
5,MX4159-0,,,,,,,,,,,,,,,,070107,070216,070344,070429,070513,070618,070936,071052,071233,071338,071455,071531,071650,071807,071936,072116,072222,072530,072646,072909,073026,073121,073154,073322,073405,073511,073912,074039,074252,074623,074656,074857,075153,075300,075427
6,MX4338-0,,,,,,,,,,,070107,070513,070607,070702,070808,070852,071009,071114,071158,071220,071338,071627,071723,071840,072010,072116,072211,072328,072435,072614,072742,072953,073300,073427,073700,073755,073850,073945,074101,074207,074252,074656,074846,075058,075406,075556,075701,080040,080157,080325
7,MX4365-0,,,,,,070107,070227,070322,070513,070618,070819,071338,071444,071542,071701,071745,071851,072032,072116,072200,072328,072614,072731,072931,073026,073154,073238,073405,073522,073649,073817,073955,074252,074421,074527,074623,074729,074814,074908,075014,075047,075449,075556,075912,080157,080336,080515,080832,080948,081116
8,MX4383-0,070107,070322,070618,070724,070746,070958,071158,071305,071444,071616,071840,072413,072530,072624,072742,072826,073015,073143,073227,073300,073438,073755,073955,074156,074314,074432,074539,074707,074814,075004,075131,075333,075628,075818,080051,080230,080336,080420,080548,080726,080810,081255,081412,081752,082059,082154,082310,082640,082830,083010
9,MX4388-0,,071327,071531,071616,071701,072010,072138,072233,072424,072635,072859,073405,073511,073616,073733,073828,073955,074145,074230,074314,074421,074751,074941,075227,075406,075522,075556,075745,075850,075956,080113,080230,080504,080620,080853,080959,081054,081138,081244,081350,081423,081825,081942,082205,082500,082640,082852,083148,083306,083423
