,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070142,070650,070924,071114,071233,071338,071433,071517,071624,071730,071825,072003,072153,072247
1,MW3496-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070439,,,,,,,,,,,,,,,,,,,,070107,,,,,,,071220,071328,071444,071539,071658,071752,071858,071941,072058,072639,072853,073054,073200,073317,073445,073551,073657,073730,073835,074059,074121,074215
2,MS5097-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070321,070450,070606,070902,070957,071136,071233,071338,071411,071825,072025,072204,072247,072343,072427,072543,072627,072745,072820,072916,073401,073635,073846,074015,074121,074226,074343,074438,074554,074711,074933,075006,075100
3,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070204,070343,070416,070450,070545,070555,070628,070745,071041,071220,071338,071422,071539,071613,071730,071836,072142,072320,072448,072734,072831,073022,073105,073200,073233,073657,073857,074048,074215,074310,074416,074522,074616,074722,074755,074911,075409,075620,075853,080032,080137,080243,080337,080421,080516,080643,080844,081033,081128
4,MS2259-0,,,,,,,,,,,,,,070107,070215,070332,070405,,,070701,070723,070913,071136,071400,071444,071624,071730,071836,071952,072036,072120,072225,072247,072331,072427,072701,072853,,073105,,,,073116,073835,074037,,074321,074427,074616,074711,074744,074816,075314,075515,075642,075726,075820,075915,,,,080254,,080811,081044,081319,081509,081626,081721,081805,081933,082027,082049,082217,,082406
5,MW3430-0,070107,070215,070416,070555,070745,070946,071136,071233,071433,071528,071635,071730,071814,072153,072554,072712,072808,072916,073000,073127,073200,073339,073602,073825,073941,074142,074310,074416,074554,074638,074711,074755,074838,074922,075039,075347,075453,075620,075726,075853,075937,080126,080243,080621,080749,080833,081139,081235,081414,081531,081637,081721,082217,082450,082639,082745,082913,082958,083137,083243,083349,083444,083614,084144,084420,084610,084813,084919,085014,085119,085214,085353,085511,085713,085903,090031
6,MW2856-0,,,072003,072142,072320,072510,072605,072701,072756,072831,073054,073211,073401,073752,074131,074259,074321,074427,074522,074649,074722,074849,075100,075314,075409,075610,075737,075842,080053,080159,080243,080348,080432,080505,080610,080950,081117,081246,081330,081447,081531,081732,081838,082228,082428,082618,082902,083020,083221,083305,083400,083506,084049,084314,084505,084610,084727,084857,085036,085142,085236,085331,085449,085925,090159,090306,090458,090626,090806,090901,091018,091147,091316,091444,091647,091805
7,MW3053-0,073401,073434,073657,073857,074048,074310,074353,074449,074627,074711,074838,074922,075028,075409,075747,075926,080010,080126,080232,080359,080432,080610,080844,081044,081139,081330,081447,081542,081743,081838,081911,081955,082049,082111,082228,082607,082734,082947,083031,083159,083254,083455,083603,,083932,084122,084442,084559,084813,084908,084952,085036,085533,085746,085925,090042,090126,090210,090328,090425,090542,090615,090722,091158,091444,091647,091849,092029,092124,092240,092357,092503,092610,092822,093033,093116
8,MW2390-1,,075123,075218,075347,075442,075715,075809,075915,080053,080115,080305,080326,080505,080822,081235,081341,081414,081520,081626,081732,081805,081933,082155,082355,082501,082650,082829,082935,083053,083137,083210,083349,083411,083444,083550,083837,084005,084241,084336,084505,084548,084716,084824,085108,085258,085511,085830,085936,090031,090306,090403,090436,090901,091114,091305,091422,091517,091636,091805,091849,091945,092018,092135,092643,092938,093224,093425,093542,093709,093900,094016,094154,094301,094406,094607,094725
9,MW3496-1,,080833,081022,081117,081341,081520,081710,081816,081911,081933,082100,082144,082217,082556,082947,083104,083137,083316,083411,083603,083625,083731,083943,084133,084241,084409,084505,084610,084738,084800,084857,084941,085003,085047,085153,085449,085629,085841,085936,090020,090115,090221,090328,090436,090637,090850,091136,091243,091411,091517,091614,091647,092146,092357,092559,092716,092822,092906,093000,093055,093202,093235,093330,093805,094016,094154,094333,094428,094545,094703,094736,094853,094959,095106,095150,095259
10,MS5097-1,,082745,082840,083009,083115,083305,083400,083506,083603,083636,083753,083837,083921,084252,084632,084738,084824,084941,085014,085142,085225,085342,085533,085735,085819,085958,090115,090148,090306,090339,090425,090542,090626,090648,090806,091114,091232,091411,091517,091614,091647,091849,092007,092113,092324,092452,092727,092822,093011,093116,093202,093235,093636,093900,094111,094205,094301,094406,094545,094618,094725,094820,094937,095426,095711,095946,100124,100230,100303,100410,100516,100611,100716,100811,100917,101044
11,MW2780-1,,084442,084559,084824,085014,085320,085404,085500,085606,085651,085914,090009,090148,090458,090839,091007,091052,091210,091305,091433,091517,091732,091923,092124,092218,092346,092514,092610,092833,092927,093011,093213,093246,093319,093447,093816,094005,094132,094227,094355,094428,094545,094652,095044,095203,095353,095649,095805,095946,100041,100146,100230,100633,100811,101001,101106,101214,101258,101458,101604,101659,101753,101921,102438,102724,102958,103147,103338,103445,103625,103709,103850,103956,104123,104252,104410
12,MW3430-1,090115,092324,092610,092822,093011,093149,093246,093341,093436,093531,093636,093732,093911,094249,094725,094904,094959,095106,095150,095332,095415,095605,095805,100019,100052,100303,100443,100538,100749,100833,100906,101022,101117,101150,101258,101604,101804,101921,102026,102215,102259,102502,102618,102746,103042,103209,103529,103647,103721,103956,104113,104145,104633,104909,105110,105227,105355,105523,105713,105832,105948,110032,110221,110828,111145,111430,111547,111715,111906,112025,112142,112321,112438,112628,112756,112935
13,MS2259-1,,090403,090542,090648,090744,090945,091114,091243,091316,091400,091506,091614,,092018,092346,092525,092610,092749,,093022,093044,093224,093341,093542,093648,,093944,094005,094143,094238,094311,094417,094450,094523,094618,094915,094948,095203,095248,095415,095448,095627,095805,100230,,,100800,100917,101055,101203,101247,101320,,101932,102109,102215,102321,102438,,102640,102735,102902,,103434,103755,104040,104051,104348,104611,104655,,,,,105238,105344
14,MW2856-1,,094249,094355,094523,094747,094959,095106,095225,095404,095437,095554,095649,095755,100135,100516,100633,100705,100811,100855,101055,101128,101426,101626,101837,101910,102120,102237,102332,102502,102556,102629,102724,102746,102808,102924,103255,103445,103625,103721,103901,103934,104123,104252,104717,104847,105059,105439,105618,105748,110010,110116,110159,110639,110901,111101,111218,111335,111503,111631,111758,111950,112047,112214,112701,112957,113244,113423,113646,113836,113931,114121,114310,114500,114711,114817,114946
15,MW5645-0,095225,101837,102037,102204,102438,102808,102851,102947,103042,103136,103255,103400,103539,103923,104326,104454,104538,104644,104730,104920,105015,105205,105406,105607,105640,105832,105948,110043,110159,110308,110341,110438,110500,110555,110700,111040,111241,111503,111558,111737,111811,112014,112119,112416,112650,112829,113136,113233,113317,113539,113636,113719,114215,114427,114617,114722,114850,115008,115136,115254,115421,115527,115655,120157,120506,120814,120920,121037,121207,121325,121420,121622,121730,122004,122216,122356
16,MW3053-1,,100347,100527,100705,101022,101203,101247,101331,101615,101648,101837,101921,102120,102534,102947,103115,103147,103255,103400,103539,103614,103806,104007,104218,104252,104443,104549,104633,104858,104953,105110,105205,105249,105355,105512,105832,105948,110116,110221,110341,110414,110628,110722,110923,111134,111252,111525,111620,111811,112036,112142,112226,112628,112851,113052,113136,113255,113401,113539,113657,113803,113836,114004,114500,114744,115147,115305,115421,115538,115706,115804,120028,120157,120422,120517,120623
17,MW2390-2,,103614,103934,104145,104421,104633,104858,105015,105238,105322,105545,105651,105759,110233,110639,110806,110850,111018,111101,111230,111252,111441,111642,111855,111950,112203,112321,112427,112606,112650,112723,112851,112913,112946,113103,113412,113603,113814,113931,114121,114215,114449,114555,114828,114946,115136,115410,115517,115549,115815,115932,120017,120601,121015,121207,121347,121527,121611,121752,121847,122015,122121,122300,122812,123108,123247,123425,123542,123650,123818,124011,124139,124256,124425,124543,124700
18,MW3496-2,,105355,105640,105853,110244,110700,110923,111156,111346,111503,111726,111811,112003,112416,112829,112935,113019,113136,113220,113339,113412,113603,113803,114015,114048,114237,114343,114449,114650,114722,114756,114935,115019,115136,115243,115611,115753,115921,120101,120242,120315,120517,120623,120930,121133,121252,121655,121752,121942,122059,122205,122249,122812,123035,123224,123331,123458,123616,123756,123851,124011,124117,124234,124755,125102,125410,125601,125645,125814,130049,130216,130355,130545,130701,130903,131031
19,MS5097-2,,111503,111726,111939,112047,112343,112555,112734,113030,113147,113306,113401,113529,113942,114332,114438,114522,114650,114733,114912,114957,115209,115421,115655,115753,115955,120101,120208,120338,120411,120444,120623,120634,120706,120836,121144,121420,121600,121707,121847,121920,122143,,122610,122800,122929,123235,123353,123458,123712,123829,123902,124330,124605,124755,124901,125029,125135,125326,125410,125505,125601,125741,130227,130555,130745,130841,131020,131220,131433,131527,131647,131849,132101,132252,132431
20,MW2780-2,,113220,113350,113636,113836,114110,114332,114449,114806,114946,115147,115337,115538,120006,120359,120517,120601,120717,120825,120942,121037,121230,121420,121718,121803,121942,122227,122300,122430,122514,122547,122654,122727,122907,123013,123342,123532,123745,123924,124044,124117,124308,124414,124700,124934,125040,125421,125516,125707,125942,130049,130132,130555,130757,130936,131053,131158,131305,131454,131614,131743,131849,132028,132548,133033,133510,133713,133841,133959,134126,134244,134424,134625,134817,135008,135220
21,MS2259-2,115041,115147,,115549,115815,115921,120006,120411,120506,120550,120739,120836,121420,121803,122132,122311,122333,122536,122621,,,,123224,123414,123447,123627,123756,123840,124044,124139,124234,124341,124425,124447,124554,124923,125454,,,125707,125803,125953,130049,130534,,,131147,131305,131411,131636,131732,131805,132230,132420,132559,132705,132844,,,133236,133342,133459,133556,134043,134400,134901,135030,135136,135306,135434,,135732,135944,140040,140242,140516
22,MW3430-2,120433,121048,121230,121622,121741,122059,122345,122621,123046,123129,123342,123458,123616,124234,124638,124755,124829,124934,125029,125208,125304,125505,125741,125942,130015,130154,130311,130355,130650,130734,130829,130947,131031,131103,131232,131527,131636,131805,132006,132156,132241,132548,132643,133320,133556,133819,134054,134221,134349,134458,134603,134636,135157,135456,135637,135743,135859,140006,140135,140220,140326,140421,140600,141027,141355,141725,141926,142045,142341,142520,142615,142755,142902,143149,143306,143435
23,MW2856-2,,123331,123509,123650,124033,124458,124616,124722,124945,125124,125315,125432,125601,130005,130406,130523,130606,130745,130841,131009,131053,131243,131443,131720,131827,132017,132123,132218,132431,132537,132654,132833,132928,133044,133225,133556,133819,134054,134221,134413,134435,,,,135401,135507,135805,135859,140040,140304,140421,140505,140942,141155,141355,141534,141652,141747,141937,142034,142151,142257,142425,142913,143233,143609,143704,143843,144033,144212,144425,144553,144753,145049,145241,145411
24,MW5645-1,,125505,125656,125909,130027,130333,130439,130555,130757,130936,131209,131349,131505,131922,132337,132453,132526,132654,132727,133000,133044,133236,133447,133651,133725,133903,134032,134115,134306,134338,134435,134541,134614,134742,134850,135136,135220,135350,135456,135648,135910,140124,140231,140633,140824,140953,141300,141429,141545,141820,141926,142010,142414,142711,142851,142958,143138,143244,143413,143525,143653,143726,143854,144425,144742,145100,145145,145338,145433,145603,145815,150040,150146,150422,150539,150742
25,MW2390-3,130914,131305,131433,131625,131754,132134,132218,132337,132526,132727,133011,133139,133203,133808,134316,134530,134636,134817,134901,135041,135136,135401,135637,135848,135910,140102,140242,140348,140516,140633,140717,140813,140859,140953,141133,141501,141652,141842,141937,142118,142459,142913,143032,143350,143631,143843,144234,144351,144530,144804,144943,145027,145636,145859,150124,150316,150455,150612,150850,151009,151125,151233,151434,152039,152855,153556,153713,154000,154150,154511,154651,154926,155105,155306,155445,155639
26,MW3496-3,133106,133331,133447,133746,133914,134138,134435,134530,134742,134934,135157,135317,135339,135754,140146,140304,140326,140432,140505,140655,140728,141005,141228,141440,141512,141641,141842,141937,142140,142213,142341,142425,142520,142649,142807,143054,143222,143339,143503,143704,144055,144339,144447,144720,144848,145004,145253,145422,145636,145859,150007,150102,150601,150912,151136,151306,151445,151603,151815,151921,152039,152145,152334,152855,153640,154117,154235,154511,154651,154915,155043,155328,155510,155650,155745,155902
27,MS5097-3,134805,135626,140040,140242,140505,140836,141016,141333,141534,141714,141926,142118,142246,142755,143222,143435,143536,143704,143843,144000,144055,144256,144457,144720,144815,144943,145122,145156,145349,145455,145658,145815,145910,150018,150157,150528,150718,150912,151042,151401,151625,151848,152005,152643,152834,152929,153258,153404,153556,153820,153927,154033,154606,154852,155043,155200,155317,155458,155617,155712,155818,155913,160020,160543,161125,161719,161837,162016,162132,162355,162512,162642,162748,162938,163130,163309
28,MW2780-3,140953,141300,141523,141747,141959,142224,142459,142711,143127,143328,143536,143737,143938,144329,144753,144954,145027,145134,145230,145422,145506,145709,145910,150102,150157,150327,150444,150550,150816,150850,151020,151136,151210,151328,151529,151848,152017,152145,152334,152811,153119,153404,153510,153832,154044,154258,154651,154808,154904,155127,155339,155423,155913,160116,160256,160413,160510,160616,160807,160925,161041,161147,161318,161753,162205,162821,162949,163141,163309,163459,163616,163755,163901,164008,164158,164326
