,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4598-0,,,,,,,,,,,,,,,,,,,,,,1,1,-1
1,MX4604-0,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,-1
2,MX3651-0,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,1,1,-1
3,MX4021-0,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,1,-1,1,2,1,1,-1
4,MX4159-0,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,3,3,1,2,-1
5,MX4338-0,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,-1,1,4,3,5,-1
6,MX4365-0,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,3,3,-1,4,2,2,4,-1
7,MX4383-0,-1,1,1,1,1,1,2,1,1,1,1,1,-1,1,1,1,4,3,-1,4,3,2,4,-1
8,MX4388-0,1,1,2,1,2,1,1,1,1,1,1,1,-1,1,1,1,4,4,-1,4,1,2,4,-1
9,MX4458-0,1,-1,1,1,5,1,1,1,1,1,1,1,3,1,1,1,4,3,-1,4,2,2,3,-1
10,MX4535-0,5,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,4,4,-1,4,4,1,3,-1
11,MX4551-0,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,4,4,-1,3,3,1,1,-1
12,MX4598-1,1,2,1,1,2,1,1,1,1,1,2,1,-1,1,1,1,4,4,-1,3,3,1,1,-1
13,MX4614-0,-1,1,3,1,1,1,1,1,1,-1,2,2,-1,1,1,1,4,4,-1,4,2,1,1,-1
14,MX4604-1,1,1,1,1,1,1,1,1,3,-1,1,2,-1,1,1,2,4,3,-1,1,2,1,2,-1
15,MX3651-1,1,-1,1,2,4,1,1,1,-1,-1,2,1,-1,1,1,1,2,3,-1,2,1,1,2,-1
16,MX3783-0,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,-1,-1,3,1,3,-1
17,MX4021-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,2,3,1,-1,2,3,1,3,-1
18,MX4041-0,2,4,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,4,2,-1,2,1,1,2,-1
19,MX4159-1,1,1,1,1,3,1,3,1,2,-1,1,1,-1,1,1,-1,4,2,-1,2,1,1,2,-1
20,MX4338-1,,,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,3,2,-1,1,3,1,4,-1
21,MS2259-0,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,3,1,-1,2,2,1,3,-1
22,MX4383-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,3,1,-1,2,2,1,2,-1
23,MX4388-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,2,2,1,3,-1
24,MX4365-1,,,,,,,,,,,,,-1,1,1,1,3,1,-1,1,3,2,4,-1
25,MX4458-1,1,1,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,2,2,1,2,-1
26,MW3387-0,1,-1,1,1,5,1,1,1,1,1,1,1,-1,1,1,1,3,2,-1,1,3,1,1,-1
27,MX4535-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,1,4,1,1,-1
28,MX4551-1,3,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,2,3,1,1,-1
29,MX4598-2,-1,1,1,1,5,1,1,1,1,1,1,1,-1,1,1,1,2,3,-1,2,2,1,1,-1
30,MX4614-1,1,1,1,2,1,1,1,1,1,1,1,1,-1,1,1,1,3,3,-1,1,3,1,1,-1
31,MW3343-0,1,-1,1,1,4,1,1,1,1,1,1,1,-1,1,1,1,2,2,-1,1,2,1,1,-1
32,MX4604-2,1,1,1,1,1,1,2,1,1,1,1,1,-1,1,1,1,2,1,-1,1,2,1,2,-1
33,MW2780-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,3,1,1,-1
34,MX3651-2,1,-1,1,3,4,1,1,1,1,1,2,1,-1,1,1,1,3,2,-1,1,2,1,1,-1
35,MW3528-0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,-1,2,2,1,1,-1
36,MW5191-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,-1,3,2,1,1,-1
37,MX3783-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,4,2,-1,2,2,1,1,-1
38,MW5264-0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,-1,3,4,1,1,-1
39,MX4041-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,-1,2,3,1,1,-1
40,MW5346-0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,-1,2,3,1,1,-1
41,MX4338-2,1,1,1,1,4,1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,2,2,1,1,-1
42,MX4021-2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,-1,2,2,1,1,-1
43,MS2259-1,2,2,1,1,,1,1,1,1,1,1,1,-1,1,1,1,4,2,-1,1,2,2,1,-1
44,MX4159-2,1,1,1,4,1,1,1,1,1,1,1,1,-1,1,1,1,2,2,-1,1,2,1,2,-1
45,MX4365-2,1,1,1,1,1,1,1,1,1,2,1,1,-1,1,1,1,4,2,-1,2,2,1,1,-1
46,MX4383-2,1,1,1,1,4,1,2,1,1,2,1,1,1,1,1,1,3,2,-1,2,2,1,1,-1
47,MX4458-2,1,-1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,2,-1,1,2,1,1,-1
48,MX4535-2,4,1,2,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,2,-1,2,3,1,1,-1
49,MX4388-2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,-1,1,3,1,1,-1
50,MW3387-1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,-1,1,3,1,1,-1
51,MX4598-3,1,-1,1,2,1,1,1,1,1,2,1,1,-1,1,1,1,3,1,-1,3,3,1,1,-1
52,MX4614-2,1,2,1,1,1,1,1,1,1,3,1,1,-1,1,1,1,3,2,-1,1,2,1,1,-1
53,MW2780-1,-1,-1,1,1,4,1,1,1,-1,-1,1,1,-1,1,1,1,3,2,-1,4,3,1,3,-1
54,MX3651-3,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,2,2,-1,4,3,1,1,-1
55,MX4021-3,1,1,1,1,1,1,1,1,3,3,1,1,-1,1,1,1,3,3,-1,2,3,2,4,-1
56,MX4159-3,1,1,1,2,2,1,1,1,2,3,1,1,-1,1,1,1,3,3,-1,2,2,2,4,-1
57,MX4338-3,1,1,1,1,1,1,1,1,-1,4,1,1,-1,1,1,1,3,2,-1,2,3,1,4,-1
58,MX4365-3,-1,1,1,1,1,1,1,3,5,-1,1,1,-1,1,1,1,2,2,-1,3,3,1,1,-1
59,MX4383-3,,1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,3,1,-1,4,2,1,1,-1
60,MX4458-3,1,1,1,1,1,1,1,1,1,3,1,1,-1,1,1,1,2,3,-1,3,4,1,2,-1
61,MX4535-3,5,1,1,1,1,1,1,1,-1,4,1,1,1,1,1,1,3,2,-1,2,3,1,1,-1
62,MX4388-3,1,1,1,1,1,1,1,1,4,-1,3,1,-1,1,1,1,4,3,-1,3,2,1,1,-1
63,MW3387-2,1,1,1,1,1,1,1,2,-1,3,1,1,1,1,1,1,4,4,-1,4,1,1,1,-1
64,MX4598-4,1,1,1,1,1,1,1,1,1,2,1,1,-1,1,1,1,3,2,-1,3,1,1,1,-1
65,MX4614-3,1,1,1,1,1,1,1,2,3,-1,2,2,-1,1,1,1,4,3,-1,3,4,1,2,-1
66,MW2780-2,1,1,1,1,1,1,1,3,-1,-1,2,1,-1,1,1,1,4,2,-1,1,3,1,1,-1
67,MX3651-4,1,1,1,1,3,1,1,1,3,-1,1,1,-1,1,1,1,2,2,-1,2,2,1,2,-1
68,MX3783-2,-1,1,1,1,3,1,1,1,-1,-1,1,1,-1,1,1,1,2,2,-1,2,3,1,5,-1
69,MX4021-4,4,1,1,1,1,1,1,1,2,2,2,1,-1,1,1,1,4,3,-1,3,3,1,5,-1
70,MX4041-2,4,1,1,1,1,1,1,2,1,3,1,1,-1,1,1,1,4,4,-1,3,3,1,5,-1
71,MX4159-4,3,1,1,1,4,1,1,2,1,3,1,1,-1,1,1,1,4,4,-1,1,2,1,4,-1
72,MP6359-0,1,1,1,1,1,1,1,1,1,2,1,1,-1,1,1,1,5,4,-1,2,2,1,5,-1
73,MX4365-4,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,5,2,-1,3,4,1,4,-1
74,MX4383-4,1,1,1,1,2,1,1,1,1,2,2,2,-1,1,1,2,5,4,-1,3,3,1,4,-1
75,MX4458-4,1,1,1,1,1,1,1,1,1,2,1,1,-1,1,1,1,5,4,-1,1,2,2,3,-1
76,MX4604-3,4,1,1,1,1,1,1,1,1,2,1,1,-1,1,1,1,5,2,-1,1,2,1,4,-1
77,MX4551-2,4,1,1,1,2,1,1,1,1,2,1,2,-1,1,1,1,3,3,-1,4,2,1,2,-1
78,MX4388-4,-1,1,1,1,1,1,1,1,1,2,1,1,-1,1,1,1,4,4,-1,3,3,1,4,-1
79,MX4535-4,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,3,-1,2,5,1,1,-1
80,MX4598-5,-1,-1,1,1,1,1,1,1,1,2,1,1,-1,1,1,1,2,4,-1,1,3,1,4,-1
81,MX4614-4,4,1,1,1,1,1,2,1,1,1,1,1,-1,1,1,1,4,3,-1,3,3,1,4,-1
82,MS2259-2,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,4,3,-1,3,2,1,5,-1
83,MX3783-3,2,1,1,1,1,1,1,2,1,2,1,1,-1,1,1,1,2,4,-1,1,3,1,2,-1
84,MX4041-3,1,1,1,1,1,1,2,3,2,2,2,1,-1,1,1,1,4,4,-1,1,2,1,4,-1
85,MX4159-5,1,1,1,1,1,1,1,3,2,2,1,1,-1,1,1,1,2,3,-1,1,3,1,3,-1
86,MP6359-1,3,1,1,1,2,1,1,3,1,4,1,1,-1,1,1,1,4,4,-1,1,2,1,1,-1
87,MX4365-5,1,1,1,1,1,1,1,3,2,2,2,1,-1,1,1,1,3,4,-1,1,3,2,1,-1
88,MX4021-5,,,,,,,,,,,,,,,1,1,3,4,-1,1,3,1,2,-1
89,MX4383-5,-1,1,1,1,4,1,1,4,2,2,1,1,2,1,1,2,3,3,-1,2,3,1,1,-1
90,MX4458-5,1,1,1,1,1,1,1,3,1,2,2,1,-1,1,1,1,3,2,-1,2,2,1,4,-1
91,MX4604-4,1,1,2,1,4,1,1,2,3,-1,1,1,-1,1,1,1,3,2,-1,2,3,1,1,-1
92,MX4551-3,1,-1,1,3,1,1,1,3,-1,2,1,1,1,1,1,1,2,3,-1,1,3,1,1,-1
93,MX4388-5,1,1,1,1,5,1,1,1,1,2,2,1,-1,1,1,1,4,4,-1,3,2,1,1,-1
94,MX4598-6,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,2,-1,2,2,1,2,-1
95,MS2259-3,1,1,1,1,,1,1,1,1,1,1,1,-1,1,1,1,3,3,-1,4,2,1,2,-1
96,MX4535-5,,,,,,,,,,,,,,,,1,4,2,-1,2,2,1,1,-1
97,MX3651-5,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,2,-1,1,2,1,1,-1
98,MX3783-4,3,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,-1,1,2,1,1,-1
99,MX4614-5,1,1,1,2,2,1,1,1,1,1,1,1,-1,1,1,1,2,1,-1,1,1,1,1,-1
100,MX4021-6,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,2,1,1,1,-1
101,MX4365-6,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,2,2,1,1,-1
102,MX4159-6,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1
103,MX4458-6,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1
104,MX4383-6,-1,-1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,1,1,-1
105,MX4551-4,1,1,1,1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1
106,MX4535-6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,-1
107,MX4614-6,,,1,1,1,1,2,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,
108,MX4598-7,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1
109,MX3783-5,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,-1,1,1,1,1,-1
110,MX4021-7,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,-1,1,1,1,1,-1
111,MX4159-7,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,2,1,,
112,MX4458-7,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,,,,,,,
113,MX4383-7,-1,-1,-1,-1,1,1,1,1,1,1,,,,,,,,,,,,,,
114,MX4551-5,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,
