,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7322-0,-1,-1,1,-1,-1,-1,3,1,1,-1,,-1,-1,1,1,1,1,1,3,1,1,-1
1,AA7440-0,,,,,,,,,,,-1,-1,-1,-1,1,1,1,1,4,1,1,1
2,AA7173-0,,,,,,,,1,-1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1
3,AA6952-0,-1,-1,1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,1,1,1,1,1,5,1,1,-1
4,AA7488-0,,-1,-1,-1,-1,3,1,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
5,MR7964-0,,,,,-1,2,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1
6,AA7149-0,-1,-1,2,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
7,AA7530-0,,,,,,,,,-1,-1,-1,-1,-1,1,1,1,1,1,5,1,1,1
8,AA7706-0,,-1,2,-1,-1,2,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
9,AA7101-0,,,,-1,-1,2,2,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,-1
10,AA7492-0,,-1,1,-1,-1,,2,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
11,AA7323-0,,-1,1,-1,-1,3,2,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,-1
12,MW3346-0,,,,,,,,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
13,AA7248-0,-1,-1,1,-1,-1,4,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
14,AA7530-1,-1,-1,1,-1,-1,3,3,1,1,-1,,-1,-1,2,1,1,1,1,2,1,1,-1
15,AA7637-0,-1,-1,1,-1,-1,4,2,1,1,-1,-1,-1,-1,1,1,1,1,4,3,1,1,-1
16,AA7536-0,-1,-1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
17,AA7440-1,-1,-1,2,-1,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
18,AA7173-1,-1,-1,1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
19,AA7706-1,-1,-1,1,-1,-1,1,4,1,1,-1,,-1,-1,1,1,1,1,1,3,1,1,-1
20,AA7488-1,-1,-1,1,,-1,4,3,2,1,-1,-1,-1,-1,1,1,-1,1,1,3,1,1,-1
21,AA7149-1,-1,-1,1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,-1
22,AA7101-1,-1,-1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
23,AA7492-1,,-1,1,-1,-1,,3,1,1,-1,-1,-1,,,1,1,1,1,1,1,1,-1
24,AA7323-1,,,1,,-1,1,2,1,1,-1,,-1,-1,1,1,1,1,1,-1,1,1,-1
25,AA7637-1,-1,-1,1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
26,AA7322-1,-1,-1,1,-1,-1,3,3,1,1,-1,,,-1,1,1,1,1,1,3,1,1,-1
27,AA7530-2,-1,-1,1,,-1,-1,4,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
28,AA7440-2,-1,-1,2,-1,-1,4,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
29,AA7173-2,-1,-1,1,-1,-1,-1,2,1,1,-1,,-1,-1,1,1,1,1,1,-1,1,1,-1
30,AA7488-2,-1,-1,1,,-1,-1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
31,AA7149-2,-1,-1,1,-1,-1,-1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
32,AA7492-2,,-1,1,-1,-1,3,3,1,1,-1,,-1,,1,1,1,1,1,3,1,1,-1
33,AA7323-2,,-1,1,-1,,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,-1
34,AA7637-2,-1,-1,1,-1,-1,2,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
35,AA7322-2,-1,-1,1,-1,,,3,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
36,AA7440-3,-1,-1,1,-1,-1,4,4,1,1,-1,-1,-1,,1,1,1,1,1,1,1,1,-1
37,AA7173-3,,-1,1,-1,-1,2,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
38,AA7488-3,-1,-1,1,,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
39,AA7149-3,,-1,1,-1,-1,4,3,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
40,AA7492-3,,-1,1,-1,-1,-1,,1,1,-1,,-1,,,1,1,1,1,3,1,1,-1
41,AA7323-3,-1,-1,1,-1,-1,3,5,1,1,-1,,-1,-1,1,1,1,1,1,3,1,1,-1
42,AA7637-3,,-1,1,-1,-1,-1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,-1
43,AA7440-4,,-1,1,-1,-1,-1,2,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
44,AA7173-4,-1,-1,2,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,-1
45,AA7367-0,,-1,1,-1,-1,5,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
46,AA7322-3,-1,-1,2,,-1,2,4,1,1,-1,,-1,-1,1,1,1,1,1,2,1,1,-1
47,AA7488-4,-1,-1,1,-1,-1,2,4,1,1,-1,,-1,-1,1,1,1,1,1,2,1,1,-1
48,AA7149-4,-1,-1,1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
49,AA7706-2,,-1,1,,-1,-1,2,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
50,AA7323-4,-1,-1,2,,-1,-1,,,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
51,AA7492-4,,,,,-1,-1,2,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,,-1
52,AA7536-1,-1,-1,1,,,,3,4,1,-1,,-1,,1,1,1,1,1,3,1,1,-1
53,AA7248-1,-1,-1,1,-1,-1,-1,4,2,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
54,AA7637-4,-1,-1,1,-1,-1,-1,3,4,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
55,AA7101-2,-1,-1,2,-1,-1,2,4,4,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
56,AA7173-5,,-1,1,-1,-1,,4,4,1,-1,,-1,-1,1,1,1,1,1,4,1,1,-1
57,AA6952-1,,-1,1,-1,-1,,,,1,-1,-1,-1,,,1,,1,1,3,1,1,-1
58,AA7322-4,-1,-1,1,-1,-1,2,4,3,1,-1,,,-1,1,1,1,1,1,3,1,1,-1
59,AA7488-5,-1,-1,1,-1,-1,-1,2,2,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,-1
60,AA7149-5,,-1,1,-1,-1,-1,4,2,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,-1
61,AA7492-5,,-1,1,-1,-1,-1,4,1,1,-1,,-1,-1,1,1,1,1,1,3,1,1,-1
62,AA6979-0,,-1,,-1,-1,,3,,,,,,,,,,,,,,,-1
63,AA7101-3,,,,,,,,,,,,,,,,,,,,1,,
64,AA7323-5,-1,-1,1,,-1,-1,4,2,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,-1
65,AA7536-2,-1,-1,1,-1,-1,,4,2,1,-1,-1,-1,,1,1,1,1,1,1,1,1,-1
66,AA7706-3,,,,,,,,,,,,,,,,1,1,1,2,1,1,-1
67,AA7248-2,,-1,1,-1,-1,1,4,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
68,AA7173-6,-1,-1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
69,AA6952-2,-1,-1,2,-1,-1,1,4,1,1,-1,,-1,-1,1,1,1,1,1,2,1,1,-1
70,AA7488-6,-1,-1,2,-1,-1,3,3,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
71,AA7149-6,,-1,2,-1,-1,3,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
