,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW3528-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070122,070545,070809,071009,071114,071210,071243,071315,071432,071613,071730,071952,072110,072215
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070206,070323,070440,070512,071042,071315,071516,071624,071730,071825,071952,072110,072215,072301,072441,072953,073228,073512,073618,073820,073937,074054,074200,074318,074425,074604,074710,074838
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070429,070640,070809,071103,071210,071326,071432,071516,071602,072110,072301,072441,072600,072644,072750,072858,072953,073048,073121,073239,073713,073948,074116,074256,074402,074553,074659,074754,074911,075028,075144,075301,075406
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,070109,070239,070345,070440,070629,070702,070758,070903,070947,071009,071126,071454,071858,,072025,072132,072215,072334,072441,072814,073110,073121,073512,073629,073831,073926,074105,074211,074637,074911,075100,075217,075428,075512,075641,075736,075853,075959,080126,080633,080941,081216,081417,081512,081619,081747,081916,082021,082200,082432,082611,082803
4,MW2390-0,,,,,,,,,,,,,070109,070144,070534,070651,070736,070842,070947,071114,071147,071326,071550,071803,071836,072036,072227,072323,072525,072611,072644,072803,072825,072858,073004,073301,073417,073607,073651,073747,073831,074022,074138,074458,074710,074754,075144,075312,075417,075523,075619,075704,080148,080433,080633,080750,080908,081014,081153,081300,081439,081534,081714,082243,082527,082739,082836,083026,083216,083333,083500,083628,083747,084000,084140,084321
5,MW2856-0,,070206,070407,070556,070758,071009,071042,071137,071421,071454,071657,071751,071941,072301,072717,072847,072931,073059,073143,073323,073355,073544,073725,073937,074022,074200,074340,074446,074604,074648,074721,074816,074900,075017,075133,075501,075641,075831,075937,080116,080159,080305,080422,080836,080941,081058,081406,081501,081630,081714,081820,081905,082410,082739,082931,083026,083143,083238,083406,083511,083628,083712,083832,084428,084701,084840,085051,085241,085431,085537,085654,085811,085917,090129,090321,090430
6,MW3053-0,071952,072121,072312,072525,072717,073154,073406,073544,073747,073831,073958,074054,074127,074458,074849,075006,075100,075217,075312,075450,075534,075747,075959,080159,080232,080433,080600,080644,080825,080908,080952,081025,081109,081216,081333,081630,081725,081916,082105,082210,082316,082443,082549,082706,082909,083026,083355,083500,083617,083725,083809,083854,084428,084701,084902,085018,085124,085230,085420,085547,085716,085811,085949,090443,090731,090837,091006,091112,091251,091637,091805,091921,092100,092303,092454,092655
7,MW3528-1,072239,074234,074458,074648,074849,075144,075345,075501,075619,075715,075904,075948,080021,080327,080655,080814,080847,081036,081109,081238,081322,081534,081736,081916,082011,082200,082327,082400,082633,082717,082803,082931,083004,083026,083143,083511,083701,083809,083916,084011,084055,084214,084310,084956,085146,085252,085610,085727,085822,090055,090151,090237,090647,090911,091050,091156,091346,091432,091637,091743,091859,091932,092111,092538,092814,093047,093205,093300,093523,093618,093736,093842,094009,094254,094411,094506
8,MP5834-0,,075641,075820,080021,080221,080506,080611,080739,080930,081014,081204,081300,081417,081747,082149,082305,082349,082454,082538,082706,082750,083004,083227,083511,083617,083820,083938,084044,084321,084417,084523,084555,084628,084712,084818,085113,085230,085431,085526,085620,085643,085811,085917,090237,090430,090647,091006,091101,091218,091313,091421,091505,091932,092145,092325,092421,092611,092655,092836,092930,093121,093216,093322,093853,094116,094305,094422,094611,094655,094846,095003,095120,095311,095513,095652,095842
9,MS1695-1,080706,081153,081355,081545,081916,082232,082432,082611,082814,082858,083205,083300,083344,083701,084117,084310,084354,084606,084639,084851,084935,085135,085347,085610,085704,085906,090022,090106,090237,090333,090454,090623,090658,090731,090849,091229,091443,091637,091754,091859,091932,092100,092208,092454,092633,092750,093154,093250,093333,093555,093713,093758,094221,094455,094706,094814,095036,095131,095311,095406,095502,095619,095736,100255,100551,100719,100953,101142,101406,101511,101734,101901,102007,102240,102441,102630
10,MW2780-1,,083037,083238,083522,083854,084214,084332,084617,084840,084924,085113,085241,085325,085704,090033,090151,090237,090357,090454,090635,090720,090911,091134,091346,091421,091615,091732,091815,092049,092145,092230,092348,092421,092432,092549,092836,093004,093205,093344,093450,093534,093702,093809,093937,094149,094338,094706,094814,094835,095058,095215,095300,095703,095926,100149,100244,100400,100456,100624,100730,100909,101004,101109,101533,101755,102040,102146,102335,102513,102630,102821,102927,103117,103353,103531,103710
