,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7214-0,,,,,,,,,,,,,,,,,070106,070249
1,AA7195-0,,,,,,,,,,,070106,070816,071111,071249,071344,071427,071511,071809
2,AA7536-0,,,,,,,,,070106,,070605,071841,071914,072041,072146,072229,072334,072607
3,AA7522-0,070106,070130,070355,070605,070721,070816,070911,071005,071038,071554,071736,073018,073239,073355,073501,073607,073701,073936
4,AA7322-0,,071122,071355,071522,071628,071702,071841,071936,072008,072429,072712,073757,074030,074157,074313,074418,074546,074809
5,AA7706-0,,072312,072712,072830,073007,073051,073206,073311,073355,073914,074240,075451,075702,075925,080030,080147,080314,080811
6,MW4705-0,073156,073511,073947,074103,074218,074251,074407,074556,074629,075136,075440,080548,080833,081022,081138,081246,081352,081752
7,AA6952-0,074008,,074607,074650,074831,074904,075114,075208,075252,,080052,,,081719,081825,081919,082152,082414
8,AA7488-0,,075630,075841,080030,080147,080220,080314,080409,080453,081011,081308,082531,082752,082919,083036,083130,083246,083657
9,AA7149-0,080420,080620,081011,081225,081352,081446,081708,081814,081857,082425,082836,084014,084258,084541,084646,084741,084857,085330
10,AA7101-0,081330,081552,081857,082036,082152,082225,082403,082509,082603,083058,083319,084508,084730,084908,085013,085057,085236,085551
11,AA7214-1,082331,,083003,083214,083341,083435,083614,083730,083847,084635,084813,090249,090525,090736,090843,091010,091115,091425
12,AA7195-1,083308,104820,083919,084036,084141,084214,084309,084414,084508,,085456,090536,112316,091104,091214,091330,112832,113305
13,AA7248-0,084247,084657,084941,085035,085203,085257,085507,085635,085729,090249,090525,091603,,092026,092146,092252,092442,092820
14,AA7536-1,085225,085551,085824,090039,090144,090239,090356,090453,090547,,091246,092737,,092831,092936,093041,093114,093621
15,AA7522-1,,090609,090937,091054,091214,091246,091436,091541,091626,092135,092420,093718,094003,094214,094320,094437,094605,094933
16,AA7322-1,091330,,091804,092015,092146,092219,092303,092420,092453,,093420,094520,094805,095005,095121,095227,095406,095755
17,AA7706-1,,092420,092820,093030,093209,093242,093325,093442,093527,094120,094459,095638,095933,100239,100355,100513,100618,101040
18,MW4705-1,,093739,094036,094258,094415,094448,094616,094710,094816,095322,095544,100640,100935,101158,101326,101420,101515,101820
19,AA6952-1,094214,,094911,095027,095216,095311,095406,095522,095617,,100441,101726,,102355,102523,102606,102650,103239
20,AA7488-1,095849,100028,100301,100334,100441,100535,100651,100736,100819,101326,101547,102744,103039,103301,103406,103449,103555,103945
21,AA7149-1,101102,,101620,101820,101936,102041,102251,102355,102501,103050,103511,104546,104841,105302,105406,105522,105639,110151
22,AA7101-1,102355,102555,102913,103122,103239,103312,103406,103522,103629,104158,104346,105555,105816,110027,110151,110317,110540,111216
23,AA7214-2,103439,,104020,104230,104346,104420,104536,104630,104736,105251,105450,110519,110813,111013,111132,111311,111427,111932
24,AA7536-2,110049,,110634,110846,110951,111034,111227,111311,111416,,112210,113421,,114025,114131,114215,114321,114858
25,AA7522-2,111543,111744,112048,112210,112316,112410,112515,112620,112714,113210,113432,114804,115046,115308,115436,115603,115718,120226
26,AA7322-2,113443,113644,113950,114036,114215,114259,114426,114553,114658,115319,115624,120740,121014,121309,121426,121532,121712,122155
27,MW4705-2,115141,121141,121448,121617,121744,121817,121944,122039,122112,122638,122837,123921,124215,124437,124553,124626,124743,125428
28,AA7706-2,,,115802,115917,120046,120153,120341,120519,120602,121214,121510,122710,123143,123405,123521,123649,123837,124320
29,AA6952-2,121628,,122206,122322,122510,122555,122732,122859,122942,,123921,125100,125356,125607,125712,125806,125849,130438
30,AA7488-2,123228,123449,123816,124015,124131,124215,124342,124448,124543,125038,125301,130250,130522,130722,130827,130911,131026,131427
