,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
46,MX4388-4,-1,1,1,1,2,2,1,-1,3,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,-1
47,MW4762-4,-1,2,1,1,3,4,3,-1,3,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1
48,MX4551-3,-1,1,1,2,2,1,1,-1,3,-1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,-1
49,MX4598-0,,1,1,1,1,2,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,-1
50,MX4159-3,-1,1,4,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
51,MX4383-4,-1,1,1,2,2,2,1,-1,2,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1
52,MX4365-5,,2,1,1,2,3,1,-1,2,-1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,-1
53,MX4458-5,,1,1,3,3,2,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
54,MX4021-1,,1,1,1,2,2,1,-1,4,-1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,-1
55,MX3651-5,-1,1,1,2,2,2,1,-1,2,-1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,5,-1
56,MX4388-5,,1,1,1,3,2,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,2,-1
57,MS2259-1,-1,1,1,1,2,1,1,-1,2,-1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,-1
58,MW4762-5,-1,1,1,2,2,1,1,-1,3,-1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,-1
59,MX4551-4,-1,1,1,1,2,1,1,-1,3,-1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,-1
60,MX4365-6,-1,2,1,2,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1
61,MX4598-1,,,1,1,2,3,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,-1
62,MX4159-4,-1,1,1,2,2,1,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
63,MX3651-6,-1,1,1,1,2,3,1,-1,2,-1,1,1,1,1,1,1,1,2,1,1,1,1,1,-1,1,1,-1
64,MX4458-6,,1,1,1,2,1,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,-1
65,MX4021-2,,,1,1,2,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1
66,MX4388-6,-1,1,1,1,1,1,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1
67,MX4551-5,-1,1,1,3,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1
68,MX4159-5,-1,1,1,2,1,2,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,3,-1
69,MX4458-7,-1,1,3,2,1,2,1,-1,3,-1,1,1,-1,1,1,1,1,1,1,1,1,4,2,-1,1,-1,-1
70,MX4021-3,,-1,1,1,1,2,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1
71,MX4388-7,-1,1,1,1,1,1,1,-1,2,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1
72,MX4551-6,-1,1,1,1,-1,1,1,-1,2,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1
73,MX4159-6,-1,-1,1,1,-1,-1,1,-1,-1,-1,,,,,,,,,,,,,,,,,
