,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4825-0,,,,,,,,,,,,,,,,,-1,-1
1,AA7252-0,,,,,,,,,,,1,-1,2,1,,,,-1
2,AA7536-0,,,,,,,,,1,,1,1,1,1,1,-1,-1,-1
3,AA7405-0,,,1,1,-1,-1,1,1,1,1,1,-1,2,1,1,-1,-1,-1
4,MW4366-0,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
5,AA7842-0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
6,AA7418-0,,,,1,2,2,1,1,1,,,,,1,1,-1,-1,-1
7,AA7488-0,,1,,,1,1,1,1,1,1,1,-1,2,1,1,-1,-1,-1
8,AA6701-0,,1,1,1,1,,1,1,1,1,1,1,1,1,1,-1,-1,-1
9,AA7303-0,1,1,1,1,1,1,1,1,1,-1,1,1,1,,1,-1,-1,-1
10,AA6952-0,,,,,,,,,,,,,,,1,-1,-1,-1
11,MW4825-1,3,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
12,AA7101-0,,,,,1,,,,,1,1,1,1,1,1,,,-1
13,AA7637-0,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1
14,AA7492-0,1,,1,1,1,1,1,1,1,1,1,3,2,1,1,-1,-1,-1
15,AA7252-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,-1,-1,-1
16,AA7536-1,,,,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1
17,AA7405-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1
18,MW4366-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1
19,AA7530-0,1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1
20,AA7842-1,1,1,1,1,1,1,1,1,1,,,,1,,,-1,-1,-1
21,AA7418-1,1,,,,,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1
22,AA6952-1,4,-1,1,1,1,1,1,1,1,1,-1,1,2,1,1,-1,-1,-1
23,AA7871-0,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,2,1,-1,-1,-1
24,AA7488-1,,,1,1,1,1,1,1,1,,,,,,1,-1,-1,-1
25,AA7303-1,1,1,1,1,1,1,-1,1,1,-1,1,2,1,1,1,-1,-1,-1
26,MW4825-2,1,1,1,1,1,1,-1,1,1,1,-1,2,1,1,1,-1,-1,-1
