,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7195-0,072750,073002,073238,,073825,,074230,074335,075325,075408,075611,075738,075855,080011,080105,080200,080402,080500,080553,070106,081020,081210
1,AA7706-0,,,,,,,,,,,,,070106,070202,070302,070357,070515,070558,070714,070820,071031,071211
2,AA7492-0,,,,,,,,070106,070335,070431,070620,070736,,071020,071053,071147,071244,071356,071523,071735,071957,072124
3,MR7964-0,,,,,,,070106,070130,071136,071223,071429,071556,071651,071852,071935,072019,072113,072207,072317,072516,072728,072857
4,AA6952-0,,,,,070106,,070202,070251,071334,071440,071640,071809,071914,072040,072145,072244,072400,072459,072610,072705,073002,073024
5,AA7488-0,,,070106,070420,070653,070820,071020,071136,072113,072219,,072538,072632,072750,072846,072940,073046,073151,073259,073405,073615,073720
6,AA7149-0,070526,071009,071312,071640,071935,072145,072400,072516,073510,073615,073825,073952,074101,074252,074357,074503,074641,074736,074903,075146,075357,075506
7,AA7121-0,,071935,072156,072538,072824,073057,073248,073416,074335,074441,074641,074747,074914,075052,075209,075314,075517,075600,075716,075800,080044,080256
8,AA7101-0,,,,,,,,,073930,074014,074206,074314,074420,074641,074725,074830,075008,075124,075220,075346,075633,075749
9,AA7248-0,073930,073941,074314,074558,074830,,075146,075252,080350,080500,080648,080830,080925,081103,081158,081254,081422,081528,081625,081752,082038,082219
10,MW3346-0,,,,,,,,,074757,074903,075041,075220,075325,075431,075527,075611,075705,075800,075855,075938,080223,080318
11,AA7536-0,,074830,075146,075443,075822,080011,080212,080318,081327,081422,,081815,081921,082038,082145,082231,082336,082420,082504,082558,082819,083018
12,AA7522-0,075600,075844,080011,080339,080637,080803,081009,081114,082123,082231,,082558,082703,082819,082924,083018,083145,083242,083326,083548,083811,083906
13,AA7706-1,075716,081931,082145,082504,082641,082830,083124,083410,084323,084419,,,084809,085051,085135,085226,085416,085521,085616,085743,085943,090131
14,AA7322-0,080615,080904,081147,081454,081647,081848,082038,082156,083134,083221,,083537,083620,083738,083823,083928,084024,084130,084239,084356,084609,084809
15,AA7492-1,,082946,083221,083548,083845,,084228,084334,085310,085416,085605,085721,085815,085943,090048,090153,090300,090417,090501,090555,090816,090921
16,AA6952-1,,,084301,084620,084852,085135,085427,085542,090555,090628,,091037,091121,091300,091343,091448,091659,091753,091848,091954,092228,092345
17,AA7488-1,084820,085113,085321,085743,090026,090249,090523,090805,091732,091826,,092132,092217,092345,092451,092556,092713,092829,092945,093155,093433,093539
18,AA7149-1,090015,,090910,091142,091521,,091910,092016,092945,093028,093234,093400,093444,093646,093740,093856,094024,094141,094258,094509,094708,094835
19,AA7101-1,091521,091659,091921,092217,092556,092756,093112,093400,094353,094436,094647,094835,094908,095139,095236,095352,095552,095658,095753,100003,100228,100356
