,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070144,070238,070748,070949,071138,071254,071422,071455,071527,071624,071743,071838,072005,072155,072300
1,MW5645-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070133,070238,070311,070511,070639,071338,071527,071708,072049,072206,072406,072511,072605,072638,073135,073335,073536,073631,073759,073854,074021,074116,074222,074306,074411,074930,075205,075322,075533,075629,075724,075808,075913,080030,080147,080327,080411,080456
2,MW3496-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070354,,,,,,070108,,,,,,,,,,,,,,,,,,,,,071349,071455,071550,071719,071816,071911,072005,072111,072627,072902,073124,073156,073324,073357,073452,073557,073653,073748,073905,073937,074021
3,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070205,070406,070450,070522,070639,070723,070759,070905,071211,071305,071538,071635,071754,071827,071932,072100,072355,072605,072711,,,,,073346,073419,073832,074054,074233,074316,074422,074528,074656,074802,074857,074930,075037,075522,075735,075903,075946,080125,080219,080305,080349,080434,080539,080656,080751,080909
4,MS2259-0,,,,,,,,,,,,,,070108,070300,070439,070617,070628,070712,,070832,071054,071159,071400,071433,071614,071743,071827,071954,072027,072100,072144,072216,072238,072333,072616,,072934,072945,073051,073135,073357,073452,074222,074316,,074656,074740,074824,074908,074941,075026,075438,075629,075819,075924,080019,080103,080232,080316,080411,080507,080612,081050,081324,081526,081715,081748,081854,081949,082044,082149,082222,082403,082520,082627
5,MW3430-0,070108,070249,070417,070606,070916,071222,071433,071517,071614,071646,071849,071943,072122,072522,072934,073102,073146,073302,073419,073609,073653,073832,074043,074255,074400,074623,074751,074857,075037,075121,075216,075355,075417,075449,075555,075935,080114,080305,080411,080529,080601,080814,080931,081302,081420,081558,081915,082033,082222,082328,082436,082520,083031,083316,083505,083622,083727,083822,084003,084058,084203,084237,084354,084925,085233,085411,085538,085645,085732,085839,085945,090052,090158,090403,090531,090615
6,MW2856-0,071538,071754,071827,072005,072144,072344,072533,072627,072744,072807,072934,073007,073113,073441,073821,073937,074010,074116,074200,074306,074327,074506,074707,074930,075026,075154,075249,075322,075427,075522,075555,075735,075757,075830,075924,080209,080327,080529,080612,080729,080825,081004,081101,082138,082317,082458,082755,082902,083020,083115,083210,083243,083738,083928,084109,084203,084259,084343,084512,084556,084702,084746,084852,085338,085549,085709,085828,085956,090136,090232,090328,090414,090509,090604,090710,090818
7,MW3053-0,,073452,073704,073915,074233,074455,074612,074656,074802,074846,075059,075143,075249,075618,080008,080125,080209,080305,080349,080529,080550,080718,080920,081123,081207,081358,081526,081620,081737,081821,081854,081938,082022,082044,082149,082436,082554,082733,082840,082958,083031,083210,083316,083738,084003,084109,084428,084534,084618,084735,084831,084903,085443,085656,085850,085945,090041,090136,090305,090339,090436,090531,090659,091148,091433,091644,091823,091939,092108,092203,092258,092404,092521,092829,093030,093125
8,MW2390-1,074930,075154,075427,075555,075640,075757,075924,080008,080103,080158,080305,080349,080411,080729,081112,081229,081302,081431,081526,081631,081704,081821,082000,082222,082306,082509,082616,082700,082807,082851,082914,082958,083031,083104,083159,083516,083716,083928,084036,084141,084226,084332,084450,084556,084757,084831,085104,085210,085411,085516,085600,085645,090136,090339,090531,090637,090732,090818,090924,091030,091125,091148,091305,091801,092035,092236,092415,092459,092605,092711,092807,092902,092947,093147,093339,093456
9,MW3496-1,,080847,081026,081218,081408,081547,081726,081821,082000,082055,082222,082350,082447,082744,083137,083316,083400,083516,083600,083716,083800,083950,084141,084332,084428,084618,084735,084842,085031,085104,085137,085221,085243,085305,085411,085645,085744,085923,090029,090136,090220,090350,090447,090659,090829,091019,091232,091327,091422,091516,091600,091633,092057,092331,092510,092616,092722,092829,092924,093030,093125,093147,093255,093805,094051,094315,094549,094655,094803,094931,095015,095059,095205,095416,095500,095544
