,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW4503-0,,,,,,,,,,,,,070105,070200,070339,070435,070518,070634,070740,070908,071013,071330,071424
1,MW4619-0,,,,,,,,070105,070200,070256,070350,070507,070634,070729,070846,070930,071013,071140,071235,071351,071551,071824,071930
2,MW4557-0,,,,,,,070105,070117,071119,071214,071308,071434,071551,071646,071803,071857,072003,072057,072152,072321,072511,072753,072930
3,MP6361-0,,,,,070105,070117,070200,070402,071330,071424,071507,071635,071752,071846,071951,072036,072130,072237,072332,072500,072659,072930,073057
4,MW4705-0,,,070105,070200,070328,070445,070707,070825,071657,071752,071835,071941,072057,072141,072259,072353,072438,072543,072637,072753,072847,073035,073308
5,MW4846-0,070105,071919,072152,072416,072742,072930,073151,073425,074351,074446,074530,074657,074814,074920,075035,075140,075247,075424,075529,075646,075750,080022,080221
6,MW5124-0,070445,092659,092930,093309,093615,093930,094437,094740,095801,095844,095928,100032,100148,100231,100347,100419,100523,100628,100744,100902,101112,101344,101522
7,MR7964-0,,,,070518,070540,070750,071002,071129,072130,072204,072248,072416,072532,072626,072742,072825,072919,073024,073119,073224,073403,073635,073835
8,MW4825-0,070634,070729,071108,071456,071730,071930,072215,072500,073530,073624,073708,073824,073940,074057,074246,074340,074435,074541,074624,074741,074941,075203,091151
9,MW4781-0,,,,,070835,071140,071330,071551,072543,072637,072720,072847,073024,073129,073342,073436,073541,073646,073740,073857,073951,074246,074351
10,MW4837-0,071024,071319,071518,071741,072036,072248,072532,072804,073719,073824,073908,074024,074129,074224,074340,074435,074508,074551,074635,074741,074941,075203,075319
11,MR7938-0,,,,,071529,071803,072046,072215,073119,073213,073257,073425,073541,073635,073740,073846,073940,074119,074202,074403,074541,074858,075003
12,MW5645-0,071551,073129,073436,073740,074035,074246,074541,074646,075739,075812,075906,080022,080200,080304,080515,080609,080714,080912,081006,081132,081342,081624,081750
13,MW5132-0,072416,072500,072615,072815,073108,073257,073614,073708,074530,074624,074708,074814,074909,075014,075203,075247,075341,075446,075550,075656,075750,080105,080232
14,MW4229-0,073824,075108,075402,075602,075906,080116,080400,080537,081530,081624,081718,081834,081938,082043,082221,082315,082420,082524,082629,082744,082945,083220,083325
15,MW5594-0,074151,074403,074730,075025,075236,075435,075739,075855,080735,080829,080912,081028,081122,081216,081321,081414,081457,081624,081729,081844,081949,082231,082358
16,MW4366-0,075624,075906,080221,080558,080829,080945,081132,081248,082148,082242,082325,082503,082618,082723,082934,083028,083134,083242,083357,083502,083556,083840,083945
17,MW4503-1,,080818,081100,081447,081635,081801,082043,082159,083123,083242,083347,083502,083629,083734,083901,083945,084050,084250,084405,084521,084604,084835,085055
18,MW4705-1,081321,081425,081718,082116,082242,082430,082650,082934,084018,084123,084217,084300,084416,084521,084625,084719,084752,084857,084950,085055,085150,085351,085455
19,MP6361-1,082043,082210,082358,082712,083039,083144,083408,083545,084553,084658,084741,084857,085001,085055,085224,085318,085434,085600,085705,085748,085937,090208,090252
20,MW4846-1,082441,084857,085150,085434,085654,085809,090031,090157,091151,091245,091340,091434,091528,091633,091821,091903,091957,092102,092207,092312,092407,092616,092710
21,MW4619-1,,082755,083050,083545,083723,083912,084050,084322,085224,085318,085401,085506,085632,085726,085937,090031,090114,090324,090429,090534,090743,091035,091140
22,MW4557-1,083912,084145,084405,084752,085023,085117,085423,085705,090544,090638,090732,090837,091003,091035,091235,091340,091434,091633,091737,091831,091947,092207,092312
23,MW4781-1,,,085947,090208,090450,090700,090942,091224,092218,092301,092355,092501,092616,092659,092908,093013,093140,093248,093353,093458,093553,093846,094035
24,MW4837-1,090512,090732,091035,091351,091654,091821,092030,092145,093204,093258,093342,093458,093604,093709,093835,093930,094013,094140,094236,094330,094520,094740,094951
25,MW5132-1,091644,091716,091853,092113,092344,092501,092648,092753,093940,094013,094057,094204,094330,094404,094552,094647,094751,094857,095002,095056,095236,095519,095613
26,MW5594-1,093437,093615,093857,,094330,094647,094929,095045,100011,100054,100115,100231,100325,100357,100513,100607,100701,100806,100912,100956,101123,101344,101650
27,MW4229-1,094542,094614,094813,095045,095331,095436,095740,100126,101134,101228,101250,101427,101522,101606,101806,101912,102007,102124,102229,102334,102428,102639,102945
