,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7706-0,,,,,,,,,,,,070106,070213,070341,070425,070530,070646,070740,070857,071107,071414,071551
1,MW4705-0,,,,,,,,070106,070351,070458,070657,070813,070846,071012,071107,071214,071258,071403,071508,071635,071919,072059
2,MR7964-0,,,,,,,070106,070130,071002,071056,071258,071414,071519,071646,071740,071825,071930,072036,072155,072405,072628,072744
3,AA6952-0,,,,,070106,,070202,070308,071150,071236,071446,071602,071708,071847,071930,072048,072217,072322,072438,072555,072900,073016
4,AA7488-0,,070106,070202,,070835,071056,071203,071341,072332,072427,072649,072806,072900,073049,073132,073238,073406,073501,073618,073747,074032,074105
5,AA7149-0,070719,,071236,071530,071751,072014,072217,072332,073344,073439,,073842,073958,074159,074253,074359,074620,074725,074809,074948,075231,075336
6,MW3346-0,,,,070824,,,,,074747,074831,075042,075158,075242,075441,075547,075641,075820,075925,080031,080136,080420,080631
7,AA7101-0,,,,071857,072416,072606,072827,072955,073947,074105,074315,074431,074526,074725,074831,074937,075126,075231,075336,075536,075758,075903
8,AA7214-0,,071919,072121,072405,072555,072827,073016,073132,074127,074231,074431,074558,074653,074809,074915,075020,075126,075231,075347,075547,075841,080020
9,AA7195-0,072900,072944,073205,073450,073651,073831,074021,074137,075147,075242,,075608,075703,075852,075947,080114,080209,080252,080409,080547,080819,080935
10,AA7248-0,073819,074010,074242,074558,074831,,075420,075630,080725,080819,080957,081124,081207,081345,081544,081701,081755,081900,082016,082143,082440,082618
11,AA7536-0,074558,074842,075126,075441,075831,080125,080241,080420,081356,081450,,081806,081900,082100,082205,082300,082451,082523,082628,082744,082956,083312
12,AA7522-0,075925,075958,080147,080515,080830,081008,081240,081407,082355,082451,,082839,082933,083101,083156,083323,083502,083607,083712,083947,084231,084431
13,AA7322-0,080703,081008,081429,081733,,,082406,082545,083629,083725,,084158,084231,084347,084453,084609,084726,084831,084948,085147,085358,085453
14,AA7706-1,081639,082005,082238,082701,082933,083145,083513,083725,084748,084853,,085337,085431,085630,085747,085938,090105,090214,090321,090407,090701,090758
15,MW4705-1,082912,083006,083312,083701,083852,083957,084220,084453,085619,085725,085938,090105,090150,090356,090451,090618,090747,090853,091010,091137,091421,091548
16,AA6952-1,084020,,084642,084958,085315,085619,085714,090000,091020,091115,,091537,091621,091853,091959,092126,092326,092432,092610,092750,093024,093236
17,AA7488-1,084842,085147,085431,085714,085906,090000,090310,090502,091359,091443,091654,091810,091842,092104,092158,092326,092504,092559,092704,092803,093036,093247
18,AA7149-1,,090203,090546,090904,091232,091516,091759,092053,093215,093320,093604,093731,093847,094120,094215,094331,094458,094625,094731,094942,095235,095402
19,AA7101-1,,,091842,092136,092421,092621,092919,093109,094131,094215,094426,094604,094647,094847,094952,095119,095246,095402,095457,095708,095940,100036
20,AA7214-1,,,093203,093531,093942,094204,094426,094647,095741,095846,100109,100236,100308,100541,100635,100740,100857,101014,101140,101403,101614,101719
21,AA7195-1,,094120,094258,094625,094952,,,,100740,100813,,101151,101236,101457,101552,101647,101824,101929,102026,102131,102425,102635
22,AA7248-1,094930,095213,095340,095657,100025,100457,100541,100813,101803,101908,102131,102330,102425,102613,102646,102803,102940,103034,103151,103247,103541,103753
23,AA7536-1,100058,,100740,101119,101403,,101846,101951,103034,103056,103308,103508,103552,103742,103836,103952,104046,104152,104319,104403,104636,104730
24,AA7522-1,101530,101824,102015,102320,102813,103002,103257,103435,104424,104508,,104940,105045,105236,105342,105520,105647,105753,105919,110048,110255,110349
25,AA7322-1,103129,103519,103909,104236,104708,104940,105309,105531,110622,110716,,111054,111127,111258,111403,111508,111625,111730,111846,112108,112349,112548
26,AA7706-2,,105236,105742,110244,110527,110632,111054,111330,112410,112443,,112916,113010,113316,113432,113610,113823,113939,114057,114341,114635,114751
27,MW4705-2,105520,110516,110822,111138,111457,111635,111908,112159,113159,113254,113515,113654,113739,113907,114014,114131,114330,114435,114541,114718,115002,115130
28,AA6952-2,111330,,111857,112210,112715,113021,113316,113453,114635,114718,115046,115151,115235,115436,115553,115647,115909,120026,120143,120407,120726,120915
29,AA7488-2,112810,113043,113221,,113750,113939,114214,114424,115603,115636,115909,120048,120132,120334,120429,120512,120702,120821,120904,120948,121150,121331
30,AA7149-2,114046,114308,114541,114919,115257,,,120048,121043,121139,,121532,121627,121826,121942,122109,122320,122425,122519,122635,122846,123035
31,AA7214-2,,,115858,120121,120407,120651,120937,121053,122003,122036,122236,122403,122508,122730,122835,122941,123119,123225,123341,123540,123835,123940
32,AA7195-2,121020,121236,121510,121742,122141,122508,122741,122919,123951,124035,,124511,,124817,124912,125038,125206,125312,125407,125618,125936,130114
33,AA7536-2,,122730,122835,123119,123446,123751,123929,124309,125155,125250,,125618,125651,125914,130019,130114,130208,130303,130418,130534,130747,130957
34,AA7522-2,,123740,124141,124438,124839,125111,125334,125640,130809,130852,,131219,131252,131419,131513,131714,131914,132041,132147,132241,132515,132610
35,AA7322-2,124511,124839,125228,125608,130041,130429,130640,131030,132158,132241,,132610,132715,132915,133054,133148,133338,133455,133538,133728,134011,134139
36,MW4705-3,125546,130957,131357,131830,132136,132303,132621,132810,133811,133917,134211,134349,134506,134750,134857,135024,135247,135404,135509,135614,135825,135941
37,AA7706-3,125546,125725,130030,130451,130747,131008,131303,131619,132610,132642,,133043,133148,133444,133538,133706,133833,134000,134055,134305,134527,134655
38,AA6952-3,131903,132136,132420,132737,133043,,133622,133938,134951,135107,135426,135531,135636,135858,135952,140109,140226,140331,140437,140531,140836,141024
