,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7536-0,,,,,,,,,070133,,070615,,071755,071924,072031,072104,072304,072705
1,AA7637-0,,070133,070239,070459,070604,070637,070720,070826,070858,071438,071606,072621,072909,073217,073322,073438,073616,073958
2,MW4366-0,070814,071048,071438,071606,071733,071806,071957,072104,072147,072632,072825,074116,074359,074820,074935,075030,075124,075904
3,MW4647-0,071806,072158,072548,,,072932,073110,073205,073250,073721,074021,075242,075525,075853,075958,080125,080253,080946
4,MW4705-0,073037,073250,073605,073831,073936,074032,074221,074316,074359,074841,075135,080147,080431,080713,080830,080946,081134,081722
5,AA6952-0,073958,074243,074736,075040,075145,075242,075409,075536,075631,080231,080442,,081806,082133,082227,082354,082522,
6,AA69-59-0,,075220,075558,075831,075947,080030,080125,080242,080336,081040,081345,082311,082543,082805,,,,
7,MW4781-0,,080209,080452,080641,080757,080852,081102,081218,081251,081838,082027,,,,,,,
8,AA7286-0,080702,081102,081418,081617,081733,081806,081900,082016,082122,082648,,,,,,,,
9,MW4619-0,081943,082427,082754,082849,,,,,,,,,,,,,,
10,AA7706-0,,,082059,082227,082354,082449,082532,082648,082743,,,,,,,,,
11,AA74-92-0,082816,,,,,,,,,,,,,,,,,
