,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7536-0,,,,,,,,,070104,070431,070536,071817,,072254,072410,072433,,072927
1,MW4229-0,,070104,070336,070547,070702,070757,070956,071050,071134,071639,071806,072949,073405,073732,073910,074037,074153,074650
2,AA7566-0,070923,071249,071522,071650,071755,071839,072021,072116,072148,072705,072905,074121,074404,074700,074817,074924,075029,075514
3,MW4503-0,,072254,072600,072748,072854,072938,073033,073116,073215,073627,073838,075112,075525,075735,075902,075956,080051,080803
4,MW4705-0,073139,073310,073649,073838,074015,074059,074226,074320,074404,074956,075336,080541,080846,081246,081402,081520,081636,082355
5,AA6952-0,073910,074142,074523,074638,074806,074851,074945,075102,075145,,080214,081319,,,082003,082100,082144,082638
6,AA69-59-0,074744,075123,075619,075829,075946,080040,080124,080247,080341,080857,081214,082333,082555,,,,,
7,AA74-39-0,075735,080134,080602,080824,080930,081025,081141,081246,081340,082026,082228,,,,,,,
8,MW4781-0,080613,,081152,081435,081542,081647,081835,082003,082038,082544,082816,,,,,,,
9,AA7032-0,082038,082312,082638,082827,,,,,,,,,,,,,,
10,MW4825-0,082700,082827,,,,,,,,,,,,,,,,
