,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,070105,070447,070740,070930,071119,071225,071404,071459,071616,071721,071815,071956,072103,072230
1,MS2365-0,,,,,,,070105,070222,070402,070508,070552,070625,071119,071331,071543,071710,071837,071934,072114,072157,072326,072359,072516,073034,073257,073532,073714,073820,073937,074255,074414,074603,074742,074953,075109,075510
2,MW2390-0,070835,070952,071046,071204,071426,071543,071859,072019,072241,072359,072432,072516,073012,073257,073532,073641,073809,073915,074054,074149,074330,074403,074541,075120,075404,075637,075826,075925,080042,080336,080431,080558,081315,081708,081919,082440
3,MW2816-0,073034,073213,073308,073415,073606,073736,074032,074149,074233,074316,074403,074508,074953,075215,075415,075553,075721,075815,080020,080136,080303,080409,080609,081053,081359,081647,081846,082048,082226,082407,082502,082620,082759,083106,083353,083701
4,MW2856-0,074657,074826,074921,075026,075205,075248,075604,075742,075826,075925,075958,080053,080503,080703,080853,081053,081304,081412,081540,081708,081857,081941,082153,082631,082916,083117,083320,083449,083650,083945,084145,084312,084607,084819,085115,085530
5,MW3053-0,080725,081210,081326,081455,081719,081825,082215,082320,082418,082653,082843,082949,083617,083945,084156,084407,084546,084641,084841,085010,085221,085316,085508,090013,090318,090730,090908,091024,091214,091426,091617,091743,091912,092040,092156,092335
6,MW3060-0,082407,082513,082620,082748,083044,083203,083522,083734,083829,084050,084301,084407,085457,085730,085919,090057,090339,090436,090625,090720,090825,090857,091024,091521,091805,091923,092050,092156,092239,092346,092513,092650,092755,093050,093239,093440
7,MW3116-0,082715,084250,084345,084440,084652,084937,085243,085400,085434,085530,085741,085813,090350,090636,090814,090930,091057,091214,091415,091510,091617,091743,091923,092346,092640,092901,093039,093155,093323,093451,093630,093757,093926,094210,094327,094613
8,MS1953-1,090520,090636,090720,090803,091035,091152,091426,091532,091628,091859,091934,092007,092650,092923,093133,093250,093451,093546,093725,093830,093937,094031,094210,094658,094934,095221,095315,095431,095610,095737,095914,100043,100210,100530,100719,100941
9,MS2365-1,092955,093122,093228,093335,093608,093746,094137,094316,094445,094709,094754,094827,095326,095632,095904,100032,100232,100340,100519,100614,100719,100803,100941,101425,101730,101919,102057,102234,102340,102509,102625,102730,102858,103121,103251,103419
