,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070219,070334,070440,070710
1,MZ4228-0,,,,,,,,,,,,,,,,,,,070102,070229,070251,070323,070429,070534,070638,070710,071141,071426,071530,071646,071751,072043,072126,072314,072420,,072934
2,MW5853-0,,,,,,,,,,,,,070102,070219,070450,070555,070649,070721,070942,071227,071310,071353,071447,071541,071646,071740,072159,072442,072535,072755,072912,073101,073155,073354,073520,073740,074126
3,MZ3556-0,070102,070146,070313,070345,070429,070512,070534,070606,070659,070921,071036,071130,071310,071447,071718,071856,072011,072054,072303,072535,072607,072651,072817,072934,073101,073144,073603,073917,074022,074252,074410,074618,074806,075057,075225,075319,075646
4,MZ3559-0,070742,070910,071025,071109,071130,071215,071238,071342,071415,071519,071603,071657,071845,071906,072231,072431,072514,072546,072723,072934,073006,073050,073205,073310,073405,073437,073907,074116,074220,074503,074618,074806,074953,075225,075351,075507,075905
5,MW5936-0,071729,071740,071906,071938,072000,072032,072054,072126,072159,072303,072358,072442,072618,072712,073028,073216,073310,073354,073603,073834,073907,073939,074054,074159,074303,074348,074806,074942,075130,075330,075457,075656,075905,080103,080146,080344,080638
6,MZ3734-0,072618,072923,073039,073101,073122,073216,073249,073332,073405,073635,073729,073823,,074116,074348,074420,074525,074557,074755,075047,075130,075203,075308,075423,075507,075540,075959,080208,080344,080627,080742,080848,081025,081344,081500,081543,081837
7,MZ3825-0,074105,074209,074348,074420,074442,074525,074557,074640,074733,075015,075108,075214,075330,075446,075801,080020,080301,080333,080522,080838,080931,081036,081203,081312,081449,081532,082025,082237,082353,082658,082752,082857,083034,083525,083641,083840,084321
8,MZ3956-0,075119,075319,075423,075457,075518,075550,075613,075656,075729,075959,080042,080146,,,080825,081015,081130,081218,081417,081637,081721,081825,081931,082058,082248,082331,082752,083055,083244,083421,083536,083702,083944,084154,084353,084602,085242
9,MW3053-0,,,,,,,,,,,,,,,075529,075624,075718,075801,075938,080229,080301,080407,080511,080659,080825,080910,081312,081626,081732,081953,082058,082248,082353,082615,082658,082814,083244
10,MX1135-0,,080605,080721,080742,080814,080910,080931,081015,081057,081333,081427,081510,081637,081753,082047,082216,082331,082353,082605,082824,082857,082950,083117,083305,083410,083515,083934,084122,084310,084541,084728,084916,085052,085514,085640,085901,090508
11,MZ3987-0,081637,081742,081920,081953,082014,082047,082119,082216,082248,082511,082605,082658,082835,083012,083327,083421,083651,083735,083912,084143,084216,084310,084447,084613,084728,084811,085303,085546,085733,090248,090415,090541,090739,090950,091044,091210,091828
12,MZ4072-1,082532,082709,082846,082918,082940,083012,083034,083117,083149,083305,083359,083504,083713,083807,084101,084216,084447,084541,084645,084905,084937,085031,085135,085252,085409,085441,085912,090153,090248,090750,090940,091148,091410,091651,091745,091828,092331
13,MW5964-0,082626,083557,083735,083807,083828,083851,083923,084007,084039,084248,084353,084509,084717,084800,085020,085220,085303,085337,085503,085744,085839,085923,090038,090153,090332,090425,090846,091210,091326,091629,091755,091944,092038,092331,092446,092550,092947
14,MX1084-0,084415,085252,085409,085431,085503,085546,085608,085650,085723,090016,090131,090216,090404,090519,090835,091023,091116,091210,091326,091503,091557,091629,091745,091901,092038,092110,092529,092842,092947,093231,093420,093557,093755,094204,094330,094413,094832
15,MZ4228-1,084425,084541,084728,084811,084833,084905,084926,085009,085103,085420,085514,085618,085733,085839,090121,090216,090320,090342,090530,090739,090824,090918,091044,091148,091304,091326,091755,092027,092143,092550,092655,092810,092958,093325,093452,093608,094037
16,MW5853-1,084436,090121,090259,090320,090353,090425,090508,090551,090624,090803,090846,090950,091200,091410,091723,091817,091923,091955,092153,092403,092446,092550,092717,092832,093008,093051,093514,093702,093849,094131,094309,094601,094832,095114,095240,095450,095920
17,MZ3556-1,090634,090803,090940,091001,091023,091106,091138,091210,091243,091410,091503,091546,091755,091923,092237,092414,092529,092601,092810,093102,093145,093231,093358,093525,093640,093734,094204,094518,094655,095041,095157,095356,095659,095920,100057,100245,100633
18,MZ3559-1,091723,091850,092017,092049,092110,092205,092226,092309,092341,092529,092644,092749,092947,093113,093442,093525,093618,093702,093838,094142,094237,094330,094445,094550,094706,094738,095157,095334,095439,095720,095837,100014,100119,100402,100517,100633,100946
19,MW5936-1,092832,092904,093041,093113,093134,093156,093220,093253,093325,093514,093618,093734,093921,094110,094402,094456,094655,094749,094854,095124,095157,095240,095356,095511,095637,095731,100140,100350,100539,100842,100946,101220,101418,101710,101814,102003,102245
20,MZ3734-1,093409,093817,093932,094005,094016,094059,094120,094204,094237,094507,094550,094717,094947,095041,095334,095407,095501,095544,095648,095837,095930,100025,100119,100245,100350,100434,100852,101209,101356,101533,101638,101825,102025,102505,102610,102736,103145
21,MW3053-1,094800,094810,095009,095041,095103,095157,095229,095302,095334,095450,095554,095720,095930,100047,100413,100517,100737,100809,100957,101324,101407,101512,101627,101804,101931,102025,102433,102642,102830,103123,103301,103448,103802,104024,104140,104411,104912
22,MX1213-0,095616,100140,100318,100350,100413,100528,100550,100633,100716,101008,101145,101313,101544,101721,102025,102151,102422,102516,102725,103029,103123,103228,103355,103531,103708,103741,104223,104515,104703,105027,105153,105445,105726,110155,110322,110543,111014
23,MX1084-1,110720,112656,112854,112926,112948,113052,113113,113156,113229,113543,113638,113732,113922,114016,114319,114424,114633,114738,114937,115146,115241,115324,115450,115618,115733,115805,120224,120550,120853,121156,121322,121520,121708,101040,122418,122648,123057
