,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA6952-0,080630,100046,081229,081451,081555,100447,081816,081921,082004,082510,082722,102859,084112,084344,070108,070153,070237,103721
1,AA7488-0,,,,,,,,,,,070108,070832,070937,071053,071209,071305,071359,071633
2,AA7440-0,,,,,,,,,070108,070331,070615,071505,071611,071655,071800,071832,071938,072243
3,AA7322-0,070108,070131,070405,070553,070720,070759,070915,070959,071053,071516,071738,072655,072739,072918,073023,073128,073213,073529
4,AA7101-0,071104,071243,071516,071633,071811,071843,072021,072115,072220,072717,072846,074014,074059,074215,074331,074416,074532,074827
5,AA7536-0,072254,072305,072706,072813,072929,073012,073128,073235,073330,073812,074059,075101,075356,075512,075618,075712,075807,080325
6,AA7706-0,073435,073635,073856,074025,074132,074215,074343,074448,074521,074933,075144,080041,080157,080302,080409,080452,080558,080925
7,AA7248-0,074226,,074933,075028,,075207,075345,075450,075523,080018,080251,081146,081335,081451,081555,081639,081722,082026
8,AA7149-0,075607,,080041,080219,080336,080420,080609,080703,080746,081240,081440,082532,082755,082922,083027,083122,083310,083542
9,AA7488-1,080852,081921,082153,082226,082343,082427,082700,082755,082849,083405,083615,084807,085051,085302,085418,085502,085640,085903
10,AA7721-0,082554,082700,083110,083216,083321,083405,083531,083626,083720,084133,084440,085440,085713,085841,085947,090020,090137,090443
11,AA7530-0,082711,084639,084956,085040,085145,085218,085302,085346,085429,090009,090159,091243,091505,091632,091737,091820,091914,092157
12,AA7440-1,083658,083733,084301,084440,084545,084639,084745,084829,084902,085429,085607,090749,091021,091158,091305,091337,091516,091759
13,AA7322-1,085123,085429,085651,085819,085925,085958,090137,090220,090305,090800,090959,091914,092135,092254,092424,092519,092613,092835
14,AA7101-1,085841,090104,090349,090443,090611,090643,090832,090916,091010,091516,091653,092719,092951,093057,093203,093247,093403,093732
15,AA7536-1,090738,091053,091221,091421,091537,091621,091715,091820,091914,,093107,094216,094447,094657,094741,094847,094941,095224
16,AA7706-1,091653,091947,092243,092424,092530,092613,092741,092824,092908,093508,093732,094657,094941,095119,095224,095329,095435,095636
17,AA7195-0,092657,092846,093140,093257,093435,093457,093636,093720,093816,,094541,095457,,095846,100014,100119,100319,100719
18,AA7248-1,093658,093911,094259,094404,094509,094541,094603,094646,094730,095214,095351,100509,100614,100752,100846,100919,101003,101330
19,AA7149-1,094708,,095235,095340,095446,095518,095719,095835,095930,100414,100719,101754,102038,102259,102404,102509,102647,103039
20,AA7488-2,095636,101046,101414,101552,101709,101754,101943,102049,102122,102625,102910,103910,104206,104322,104428,104522,104638,104956
21,AA7440-2,102248,102625,102921,103049,103205,103249,103405,103449,103521,103943,104100,105217,105500,105649,105755,105901,105956,110305
22,AA7322-2,,,104406,104555,104723,104757,104840,104935,105039,105554,105850,110833,111126,111244,111433,111506,111600,111939
23,AA7530-1,104712,105627,105901,110030,110137,110209,110255,110400,110433,110959,111159,112130,112247,112403,112519,112614,112657,113035
24,AA7706-2,110158,155213,155528,155730,155857,155940,160202,160341,160435,160934,161312,162325,162618,162758,162903,163019,163146,163502
