,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,3,-1,1,1,1,-1,-1
1,MX4068-0,,,,,,,,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,2,1,1,1,1,5,-1,3,2,1,-1,-1
2,MX1545-0,3,1,1,1,1,1,1,1,2,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,2,1,5,-1,5,3,1,-1,-1
3,MS2365-0,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,3,1,1,2,5,-1,2,3,1,-1,-1
4,MX1624-0,1,1,1,1,5,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,5,3,1,-1,-1
5,MX1698-0,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,3,1,1,1,4,-1,4,2,1,-1,-1
6,MX1708-0,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,5,-1,2,4,1,-1,-1
7,MX3590-0,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,-1,,,,,-1
8,MS1953-1,,1,1,2,5,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,4,3,1,1,1,-1,-1,3,3,1,-1,-1
9,MX4068-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,-1,1,1,1,-1,-1
10,MX1545-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,4,-1,3,2,1,-1,-1
11,MS2365-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,-1,4,2,1,-1,-1
12,MX1624-1,-1,1,1,-1,2,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,-1,-1,4,2,1,-1,-1
13,MX1698-1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,-1,-1,4,3,1,-1,-1
14,MX1708-1,-1,,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,-1,4,3,2,-1,-1
15,MX3590-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,,1,1,-1,1,1,1,1,1,1,5,,,3,,,-1
16,MX4068-2,,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,-1,3,3,1,-1,-1
17,MS1953-2,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,5,-1,3,3,1,-1,-1
18,MX1545-2,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,-1,1,2,1,-1,-1
19,MS2365-2,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,-1,2,3,1,-1,-1
20,MX1624-2,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,5,-1,2,2,1,-1,-1
21,MX1698-2,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,-1,3,1,1,-1,-1
22,MX1708-2,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,-1,4,2,1,-1,-1
23,MX3590-2,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,,-1,1,1,1,1,1,1,5,-1,3,3,1,-1,-1
24,MS1953-3,-1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,3,1,1,1,1,-1,-1,5,3,1,-1,-1
25,MS5234-0,-1,1,1,-1,1,1,1,1,2,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,2,1,1,1,1,5,-1,4,4,1,-1,-1
26,MX1545-3,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,2,1,1,2,-1,-1,5,4,1,-1,-1
27,MS2365-3,1,1,1,1,,1,1,1,2,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,2,1,1,3,1,-1,-1,5,4,1,-1,-1
28,MX1624-3,,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,-1,-1,5,4,1,-1,-1
29,MX1698-3,-1,1,1,-1,1,1,1,1,1,-1,1,4,-1,-1,-1,1,1,1,1,1,1,1,-1,1,5,1,1,1,1,-1,-1,3,4,4,-1,-1
30,MX4068-3,,1,1,1,1,1,1,1,1,-1,1,5,-1,-1,-1,1,1,1,1,1,1,1,1,1,4,1,2,1,2,5,-1,5,3,5,-1,-1
31,MX1708-3,1,1,1,-1,1,1,1,1,1,-1,3,4,-1,-1,-1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,4,-1,5,4,1,-1,-1
32,MX3590-3,3,1,1,-1,1,1,1,1,1,-1,1,4,-1,-1,-1,1,1,1,1,1,1,1,-1,1,5,2,2,2,,5,-1,5,4,5,-1,-1
33,MW3343-0,1,-1,1,-1,1,1,1,1,1,-1,1,2,-1,-1,-1,1,1,1,1,1,-1,1,1,2,5,2,3,1,1,-1,-1,5,5,-1,-1,-1
34,MS1953-4,1,,1,-1,2,1,1,1,1,-1,1,3,-1,-1,-1,1,1,1,1,1,1,1,-1,2,4,1,3,2,2,-1,-1,5,4,,-1,-1
35,MS5234-1,-1,1,1,1,4,1,1,1,2,-1,1,3,-1,-1,-1,1,1,1,1,1,1,1,-1,1,4,1,1,2,2,4,-1,5,3,1,-1,-1
36,MX1545-4,-1,1,1,-1,1,1,1,1,3,-1,1,1,-1,-1,-1,1,1,1,1,,1,1,1,1,3,1,1,1,2,4,-1,3,3,-1,-1,-1
37,MS2365-4,-1,1,1,-1,4,1,1,1,2,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,-1,-1,5,3,1,-1,-1
38,MX1624-4,,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,4,-1,4,4,1,-1,-1
39,MX1708-4,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,5,-1,2,2,1,-1,-1
40,MX1698-4,,,,,,,,,,,,,,,,,,,1,1,1,1,-1,1,1,1,1,1,1,5,-1,3,2,1,-1,-1
41,MX4068-4,,,,,,,,,,,,,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,2,2,1,-1,-1
42,MX3590-4,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,2,3,1,-1,-1
43,MS1953-5,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,4,-1,-1,,1,-1,-1
44,MX1545-5,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,4,-1,1,2,1,-1,-1
45,MS2365-5,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,4,-1,1,3,1,-1,-1
