,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MX1517-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1
1,MS2243-0,,,,,,,,,,,,,,,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,,1,-1
2,MS2365-0,,,,,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,4,1,1,1,1,-1
3,MS1935-0,-1,1,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
4,MS1903-0,1,1,1,1,1,1,1,1,1,-1,1,2,1,1,2,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,3,2,1,-1,-1,-1
5,MS1953-0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
6,MS2259-0,1,2,1,2,,,1,1,,1,1,1,1,-1,1,1,1,,,1,,,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,,1,1,-1
7,MW5645-0,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
8,MX1517-1,,1,1,1,1,2,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,2,-1,1,1,1,-1
9,MS2243-1,1,1,,3,1,3,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,4,-1
10,MS2365-1,,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,3,-1
11,MS1903-1,,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,2,-1,1,1,1,-1
12,MS1935-1,,1,1,3,1,3,1,1,1,1,1,-1,1,1,1,1,1,1,,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
13,MR8026-0,,,,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
14,MS1953-1,,1,1,2,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,,1,-1,-1
15,MS2259-1,,1,1,2,1,1,1,,1,1,2,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,2,-1,1,1,3,-1
16,MW5645-1,,1,1,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
17,MX1517-2,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,2,-1
18,MS2243-2,,1,1,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,,1,1,-1
19,MS2365-2,,1,1,1,1,1,1,2,1,1,3,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,-1
20,MS1903-2,,1,1,1,1,1,1,2,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,2,1,1,1,-1
21,MR8026-1,,2,1,1,1,-1,1,2,1,1,3,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,4,-1,1,1,1,-1
22,MS2259-2,1,2,1,3,2,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,,1,1,-1
23,MS1953-2,,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,,1,1,-1
24,MW5645-2,1,1,2,4,1,4,1,1,1,2,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,2,1,-1,1,1,1,2,-1,-1,1,1,-1
25,MX1517-3,,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
26,MS2243-3,1,2,1,1,2,1,1,1,1,1,2,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
27,MS2365-3,1,1,1,4,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1
28,MS1903-3,2,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
29,MS1935-2,,1,1,3,1,2,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
30,MS1953-3,3,1,1,1,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1
31,MR8026-2,,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,3,1,1,1,1,-1
32,MS2259-3,,1,1,2,1,1,1,1,,1,1,-1,1,1,1,1,1,,,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,,-1,1,-1
33,MW5645-3,1,1,1,3,1,2,1,2,1,3,2,4,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
34,MX1517-4,,2,1,1,1,1,3,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
35,MS2243-4,,1,2,4,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,2,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,2,-1,1,1,1,1,-1,1,1,1,-1
36,MS2365-4,,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,-1,-1,1,1,-1,-1,-1,1,1,1,3,-1,1,1,1,1,-1,-1,-1,1,-1
37,MS1903-4,,2,2,3,1,4,2,2,1,2,1,2,1,-1,1,1,1,1,2,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,2,-1,1,1,1,1,-1,1,,1,-1
38,MS1935-3,,1,1,2,1,1,1,2,2,1,1,-1,3,1,1,1,1,1,2,1,2,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1
39,MR8026-3,,1,1,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
40,MS1953-4,,1,1,2,1,1,3,2,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
41,MS2259-4,,1,1,2,1,1,1,1,,1,1,1,1,-1,1,1,1,1,1,2,2,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,,1,1,-1
42,MW5645-4,,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1
43,MS2243-5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,3,-1,1,1,1,1,1,-1,1,1,-1
44,MS2365-5,,1,2,1,1,2,1,1,1,1,1,2,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,2,1,2,1,1,-1
45,MS1953-5,2,1,1,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
46,MS2259-5,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,4,-1,-1,1,1,-1
47,MW5645-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,2,-1,1,1,1,1,-1,-1,-1,-1,-1
48,MX1517-5,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,,,,,,,,,,,,
49,MS2243-6,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,,
50,MS1695-0,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
