,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW4503-0,,,,,,,,,,,,,,,,,,,,070104,070256,070519,070647
1,AA74-92-0,,,,,,,,070104,070709,070814,070858,,071142,071237,071405,071522,071545,071735,071841,071946,072139,,
2,MW4705-0,,,,,,,,070104,070709,070825,070920,071048,071215,071321,071449,071545,071651,071903,072009,072128,,,
3,MR7964-0,,,,,,070104,070212,070328,071343,071449,071533,071651,071808,071914,072117,072201,072256,,,,,,
4,AA6952-0,,,,,070104,,070201,070318,071204,071332,071427,071556,071746,071841,072106,072150,072256,,,,,,
5,AA69-59-0,,,070104,,070753,070942,071215,071405,,,,,,,,,,,,,,,
6,MW4781-0,,070104,071120,071438,071746,071957,072201,,,,,,,,,,,,,,,,
7,AA74-39-0,,070435,070709,071110,071416,071618,071852,072150,,,,,,,,,,,,,,,
8,MS4750-0,,,,,071215,071310,071533,071819,,,,,,,,,,,,,,,
9,AA6345-0,071248,,,,,,,,,,,,,,,,,,,,,,
10,MW4647-0,071259,071416,071545,071914,072106,072256,,,,,,,,,,,,,,,,,
11,MW3204-0,,,,,071545,071757,072032,072201,,,,,,,,,,,,,,,
12,AA7032-0,071819,072139,,,,,,,,,,,,,,,,,,,,,
