,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MW2856-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070257,070341,070403,070458,070520,070542,070648,070956,071040,071218,071334,071428,071501
1,MR8024-0,,,,,,,,,,,,,,070106,070403,070458,070542,070710,070806,070924,070945,071146,071334,071556,071640,071723,071841,072031,072125,072230,072314,072347,072419,072452,072546,072714,073043,073243,073410,073515,073620,073704
2,MR8026-0,,070106,070257,070447,070626,070945,071146,071251,071356,071501,071618,071734,071903,072230,072630,072747,072821,072948,073010,073148,073221,073421,073653,073914,074030,074114,074231,074502,074608,074734,074807,074923,074956,075039,075100,075227,075533,075700,075827,075921,080038,080121
3,MS1935-0,,071957,072419,072608,072905,073326,073504,073620,073758,073842,074019,074124,074231,074557,074956,075122,075206,,075511,075616,075721,075932,080215,080459,080616,080721,080827,081005,081049,081311,081406,081511,081556,081640,081702,081818,082133,082322,082451,082610,082726,082758
4,MR8462-0,,074041,074535,075100,075405,075816,080005,080153,080543,080627,080838,080932,081121,081427,081818,081933,082028,082206,082322,082526,082610,082809,083104,083336,083431,083525,,084335,084429,084640,084735,084851,084957,085040,085218,085335,085639,085838,090049,090217,090312,090344
5,MS2365-0,,080215,080510,081154,081545,081901,082206,082355,082642,082726,082915,083053,083252,083609,084019,084146,084230,084357,084502,084713,084756,085018,085240,085556,085722,085817,085933,090512,090555,090734,090817,090922,091006,091039,091112,091240,091641,091819,092010,092104,092158,092231
6,MW2390-0,,082333,082653,083031,083314,083609,083830,084103,084230,084324,084546,084640,084756,085113,085502,085617,085701,085817,085900,090038,090111,090312,090639,090850,090922,091017,091122,091546,091630,091830,091958,092209,092336,092421,092453,092559,092930,093014,093203,093258,093403,093436
7,MW2856-1,083325,084219,084557,084818,085040,085418,085639,085838,090027,090111,090301,090428,090501,090817,091155,091312,091356,091524,091608,091830,091913,092053,092304,092431,092537,092621,092740,092919,093014,093141,093225,093342,093425,093447,093520,093648,094014,094225,094403,094458,094552,094647
8,MR8024-1,,090344,090712,090955,091356,091851,092053,092209,092453,092548,092740,092836,093014,093342,093721,093825,093858,094025,094058,094308,094352,094708,094909,095122,095228,095311,095417,095641,095713,095937,100032,100147,100220,100241,100325,100441,100831,100926,,,101337,101420
9,MR8026-1,091323,092231,092431,092847,093141,093425,093603,093815,094058,094214,094352,094458,094552,094920,095311,095429,095513,095735,095757,095959,100042,100241,100514,100725,100831,100915,101031,101232,101315,101453,101526,101609,101715,101748,101810,101926,102402,102457,102707,102824,102919,102951
10,MS2259-0,,094624,094836,095049,095322,,095841,095959,100336,100430,100642,100736,100926,101243,101620,101737,101821,102011,102044,102211,102243,102508,102740,102951,103057,103151,103403,104450,104523,104629,104735,104830,104926,105009,105115,105220,105515,105705,110001,110055,110212,110244
11,MS1935-1,,101042,101326,101642,101853,102233,102435,102551,102835,102908,103118,103215,103331,103720,104109,104216,104311,104439,104534,104714,104757,104958,105136,105410,105504,105537,105654,110001,110106,110306,110424,110530,110613,110657,110803,110919,111313,111429,111620,111735,111851,111924
12,MS2365-1,,103720,104120,104238,104618,105031,105220,105359,105632,105749,110001,110106,110201,110519,110857,111017,111101,111251,111407,111630,111735,111935,112230,112443,112538,112632,112737,113000,113116,113254,113359,113443,113537,113631,113642,113809,114104,114231,114505,114601,114656,114729
13,MR8462-1,,105549,105938,110139,110403,110813,111005,111217,111345,111451,111620,111735,111757,112135,112505,112610,112632,112759,112905,113033,113127,113326,113547,113747,113830,113936,114031,114443,114516,114644,114740,114835,115025,115047,115109,115225,115510,115733,115911,120027,120121,120205
14,MW2390-1,,112241,112516,112833,113000,113242,113443,113714,114104,114158,114432,114601,114740,115109,115500,115627,115700,115817,115900,120059,120205,120354,120604,120829,120901,120945,121101,121230,121314,121440,121513,121557,121641,121737,121905,122022,122337,122443,122600,122655,122750,122825
15,MW2856-2,,114644,114930,115225,115521,115900,115954,120110,120332,120448,120553,120659,120806,121241,121619,121810,121854,122033,122127,122316,122410,122622,122836,123026,123142,123226,123352,123530,123624,123825,123858,124015,124109,124131,124310,124449,124753,124850,125124,125219,125325,125424
16,MR8024-2,,120510,120851,121158,121524,121810,121948,122348,122739,122825,123037,123153,123247,123613,124004,124131,124215,124331,124416,124616,124721,124956,125230,125446,125518,125603,125711,125838,125911,130050,130134,130250,130334,130417,130439,130556,130923,131101,131301,131407,131501,131545
17,MR8026-2,,122443,122836,123048,123436,123836,124015,124353,124743,124839,124956,125124,125325,125711,130050,130207,130301,130512,130556,130745,130912,131134,131312,131534,131618,131734,131851,132040,132134,132301,132407,132501,132556,132628,132811,132905,133202,133425,133626,133731,133849,133921
18,MS2259-1,,124804,125028,125208,,130007,130156,130512,130923,131018,131134,131301,131439,131818,132207,132323,132356,132628,132651,132822,132927,133202,133435,133637,133731,133816,133921,134049,134144,134344,134428,134606,134817,134850,135028,135134,135419,135629,135817,135944,140028,140122
19,MS1935-2,,131156,131439,131651,131807,132051,132312,132640,133127,133213,133330,133435,133615,133944,134344,134555,134711,,135017,135101,135156,135419,135640,135839,135922,140006,140133,140407,140450,140617,140701,140840,141039,141111,141250,141356,141700,141839,142030,142136,142230,142304
20,MR8462-2,133116,133319,133530,133720,134122,134511,134638,135050,135535,135629,135807,135911,135944,140311,140701,140807,140851,141028,,141239,141334,141544,141817,142030,142136,142230,142421,142751,142825,143016,143111,143355,143450,143534,143606,143713,144030,144146,144408,144452,144558,144641
21,MW2390-2,135524,135734,140049,140300,140512,140818,141207,141533,141744,141839,141945,142103,142326,142656,143111,143311,143406,143544,143628,143818,143924,144124,144452,144714,144831,144853,145031,145305,145411,145636,145909,150141,150258,150403,150508,150707,151045,151214,151425,151542,151731,151814
22,MW2856-3,141228,141606,141828,142019,142410,142814,143038,143344,143650,143840,144124,144313,144452,144831,145231,145411,145455,145614,145658,145909,150004,150214,150425,150707,150813,150918,151024,151235,151319,151509,151614,151752,151941,152036,152152,152308,152645,152816,,153059,153153,153226
23,MR8024-3,143701,144019,144219,144441,144620,145104,145254,145516,145909,145942,150119,150203,150236,150613,151002,151118,151214,151352,151425,151625,151709,152003,152203,152435,152529,152613,152657,152849,152943,153204,153258,153404,153458,153531,153648,153815,154214,154331,154459,154615,154709,154754
24,MR8026-3,150214,150414,150646,150856,151203,151625,151847,152141,152540,152634,152743,152849,153016,153425,153837,153942,154036,154203,154258,154459,154647,154954,155240,155513,155556,155641,155808,155934,160041,160219,160325,160431,160609,160703,160831,160947,161419,161534,161651,161745,161850,161923
25,MS2365-2,,151741,152025,152540,152911,153226,153531,154036,154416,154543,154805,154943,155122,155502,155913,160158,160241,160358,160558,160758,160853,161208,161513,161745,161818,161901,162039,162345,162440,162629,162724,162851,163030,163113,163146,163356,163747,163903,164159,164337,164455,164539
26,MS2259-2,,153342,153721,153942,154459,155155,155652,160158,160558,160714,160853,160958,161103,161451,161850,162039,162123,162345,162429,162629,162757,163124,163429,163714,163758,163841,164020,164115,164210,164315,164444,164601,164728,164750,164824,164951,165351,165614,165708,165813,165918,170003
27,MS1935-3,155629,155819,,160631,160947,161502,161934,162356,162702,162829,162946,163124,163356,163747,164137,164315,164359,,,164918,165045,165308,165657,165929,170036,170130,170257,170446,170529,170729,170856,170950,171151,171236,171425,171552,171941,172131,172330,172509,172636,172708
28,MS1953-0,,160809,161125,161839,162050,162418,162724,163030,163335,163440,163557,163714,163852,164242,164633,164802,164907,165045,165214,165424,165541,165813,170130,170351,170435,170518,170634,170751,170856,171045,171140,171236,171342,171414,171447,171615,172036,172203,172458,172552,172708,172752
29,MR8462-3,,162145,162345,162935,163345,163736,164126,164517,164835,164918,165045,165202,165340,165719,170108,170246,170340,170529,170634,170812,170928,171236,171552,171753,171858,171941,172047,172236,172330,172530,172636,172719,172813,172846,173013,173203,173540,173646,173857,174003,174047,174130
30,MS4914-0,,164020,164315,164517,164856,165214,165402,165940,170308,170424,170613,170751,170939,171247,171637,171815,171920,172036,172131,172414,172530,172813,173203,173413,173457,173540,173708,173824,173930,174236,174330,174425,174541,174635,174719,174824,175151,175330,,,175742,175815
31,MW2390-3,165202,165635,170014,,171012,171626,171858,172058,172530,172614,172803,172908,173036,173446,173835,174014,174119,174330,174435,174719,174824,175140,180121,180342,180427,180511,180606,180732,180839,181041,181146,181230,181347,181452,181620,181737,182128,182255,182542,182658,182805,182848
32,MW2856-4,170645,171458,171858,172131,172330,172719,172929,173214,173646,173752,173857,173941,174058,174414,174802,174918,175013,175203,175246,175458,175721,180016,,181620,181654,181737,181832,181949,182033,182201,182255,182350,182552,182625,182720,182838,183215,183415,183553,183711,183816,183849
33,MR8024-4,,173624,173846,174225,174508,174835,175118,175424,175804,175848,180016,180121,180226,180616,181030,181219,181314,181503,181536,181759,181843,182212,182531,182816,182848,182932,183015,183153,183248,183448,183542,183616,183743,183827,184017,184156,184606,184755,184911,185027,185122,185205
34,MR8026-4,175542,175753,180038,180321,180627,181041,181358,181631,181854,182022,182128,182403,182542,182827,183509,183722,183816,184017,184101,184344,184450,184744,185017,185238,185323,185406,185522,185628,185723,185901,190018,190156,190345,190407,190450,190556,191023,191202,191425,191509,191614,191647
35,MS2365-3,,184312,184617,184955,185144,185500,185701,185850,185956,190145,190356,190512,190629,191023,191530,191709,191803,192003,192130,192447,192552,192848,193142,193331,193428,193523,193629,193747,193830,194030,194135,194221,194351,194435,194614,194730,195047,195225,195414,195547,195645,195728
36,MS2259-3,,,,,,,,,,,,,,,,,,,,,,,190917,191056,191150,191235,191330,191509,191603,191741,191857,192046,192214,192236,192426,192552,192954,193116,,193439,193534,193608
37,MS1935-4,,191235,191447,191719,192130,192426,192509,192752,193236,193342,193545,193652,193830,194221,194603,194719,194803,194926,194952,195153,195328,195547,195812,200044,200116,200211,200327,200447,200552,200813,200908,200952,201049,201122,201300,201417,201726,201915,202116,202255,202402,202435
