,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4383-0,,,,,,,,,,,,,,,,,,,,,,1,-1,-1
1,MX4604-0,,,,,,,,,,,,,,,,,2,2,-1,1,1,1,1,-1
2,MX4021-0,,,,,,,,,,,,1,-1,-1,1,1,1,1,-1,1,2,1,1,-1
3,MX3651-0,,,,,1,-1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,-1
4,MX4159-0,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1
5,MX4338-0,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,2,1,1,2,-1
6,MX4365-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,-1,1,2,2,3,-1
7,MX4598-0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,-1,3,1,3,2,-1
8,MX4388-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,-1,4,2,1,1,-1
9,MX4458-0,-1,1,1,-1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,4,2,1,1,-1
10,MX4535-0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,-1,2,2,1,1,-1
11,MX4551-0,,,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,-1,2,2,1,1,-1
12,MX4383-1,-1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,3,2,-1,4,2,1,2,-1
13,MX4614-0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,-1,4,1,1,1,-1
14,MX4604-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,2,-1,1,1,1,2,-1
15,MX4021-1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,3,2,-1,2,1,1,1,-1
16,MX3783-0,-1,1,2,-1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,-1,3,2,1,1,-1
17,MX3651-1,-1,-1,1,-1,3,1,1,1,1,1,1,1,1,1,1,1,3,2,-1,2,2,1,5,-1
18,MX4041-0,-1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,2,1,4,-1
19,MX4159-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,2,1,3,-1
20,MX4338-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,2,1,1,-1
21,MS2259-0,3,1,1,-1,1,,2,1,1,1,1,1,,,1,1,2,2,-1,1,2,1,1,-1
22,MX4598-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,2,1,1,-1
23,MX4388-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,2,1,1,-1
24,MX4458-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,2,1,1,-1
25,MX4535-1,-1,1,1,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,2,2,1,1,-1
26,MW3387-0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,-1
27,MX4551-1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,2,1,1,-1
28,MX4383-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,2,1,1,-1
29,MX4614-1,5,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,2,1,1,-1
30,MX4604-2,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,2,1,1,-1
31,MW3343-0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,2,2,1,1,-1
32,MW2780-0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,-1,2,2,1,1,-1
33,MX4021-2,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,2,1,3,-1
34,MS1935-0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,2,1,3,-1
35,MW5191-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,-1,2,1,1,3,-1
36,MX3783-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,3,1,1,-1
37,MW5264-0,-1,1,1,-1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,2,1,1,-1
38,MX4041-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,-1,2,3,1,1,-1
39,MX4338-2,,,,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,3,1,1,-1
40,MW5346-0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,3,1,1,-1
41,MX3651-2,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,-1,1,3,1,1,-1
42,MS2259-1,-1,1,1,-1,1,,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,2,1,1,-1
43,MX4159-2,-1,1,1,-1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,1,1,1,-1
44,MX4365-1,,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,-1,2,2,1,1,-1
45,MW3974-0,,,,,,,2,1,1,,,1,1,1,1,1,3,,-1,2,2,,,-1
46,MX4598-2,1,-1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,-1,3,3,1,2,-1
47,MX4458-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,2,1,1,-1
