,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,070103,070534,070806,071016,071121,071226,071309,071354,071448,071532,071636,071857,072003,072129
1,MS2365-0,,,,,,,,070103,070157,070251,070335,070408,070806,071016,071204,071343,071427,071510,071615,071708,071824,071857,072014,072453,072734,073015,073202,073307,073401,073443,073526,073631,073735,074005,074110,074225
2,MR8583-0,071026,071237,071343,071448,071625,071730,072024,072108,072223,072338,072421,072453,072910,073109,073307,073422,073609,073703,073829,073922,074016,074120,074236,074759,075041,075301,075427,075521,075636,075719,075812,075927,080011,080231,080335,080450
3,MS1044-0,072806,073152,073317,073411,073548,073735,074120,074214,074413,074456,074600,074654,075124,075322,075542,075636,075812,075927,080043,080158,080252,080346,080512,081035,081307,081516,081704,081819,081924,082006,082122,082216,082320,082415,082531,082624
4,MS2095-0,,080303,080407,080512,080700,080753,081128,081235,081412,081506,081549,081643,082133,082343,082531,082635,082801,082844,083042,083137,083242,083346,083450,083940,084222,084515,084651,084756,084902,085017,085111,085226,085343,085458,085624,085739
5,MS1903-0,,082635,082718,082812,083021,083127,083450,083555,083649,083857,084003,084046,084630,084840,085049,085154,085332,085415,085602,085707,085822,085916,090042,090545,090816,091003,091140,091318,091411,091559,091726,091851,092155,092437,092542,092729
6,MS1953-1,084912,085937,090053,090147,090323,090523,090848,090941,091035,091256,091350,091433,091934,092144,092354,092448,092635,092729,092908,093012,093128,093244,093410,093911,094152,094351,094507,094705,094821,094937,095041,095157,095335,095533,095721,095836
7,MS2365-1,091516,091704,091758,091841,092018,092122,092426,092531,092625,092718,092803,092846,093359,093756,094016,094131,094308,094403,094539,094633,094738,094821,094926,095418,095659,095815,100013,100128,100305,100503,100619,100723,100849,101047,101130,101246
8,MR8583-1,093327,093619,093745,093900,094059,094214,094507,094601,094759,094915,095009,095041,095616,095847,100046,100150,100254,100348,100503,100608,100702,100756,100932,101444,101714,101840,101934,102038,102225,102330,102413,102507,102550,102706,102832,102948
9,MS1044-1,095815,095952,100035,100118,100244,100327,100712,100806,100849,101058,101152,101235,101714,101923,102142,102308,102424,102518,102655,102738,102832,102937,103052,103616,103928,104011,104222,104305,104348,104514,104607,104733,104943,105153,105357,105544
10,MS2095-1,103157,103252,103345,103500,103606,103753,104105,104210,104358,104503,104546,104640,105037,105335,105512,105544,105710,105804,105941,110024,110118,110224,110339,110821,111114,111243,111409,111525,111712,111816,111953,112047,112214,112402,112519,112706
11,MS1903-1,,110937,111020,111148,111348,111431,111755,111921,112120,112225,112307,112351,112822,113103,113303,113429,113555,113659,113825,113930,114025,114129,114245,114726,115009,115219,115418,115606,115804,115930,120045,120201,120600,120854,121031,121209
