,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,070109,070557,070830,071031,071159,071253,071348,071431,071526,071621,071726,071903,071958,072114
1,MS2025-0,,,,,,,,070109,070133,070239,070312,070355,070830,071020,071220,071315,071421,071453,071610,071704,071820,071903,072019,072522,072754,072900,072955,073049,073205,073228,073334,073407,073501,073618,073723,073850
2,MW5645-0,070109,071220,071304,071359,071504,071559,071903,072019,072208,072324,072356,072450,072944,073217,073429,073523,073640,073745,073922,074017,074122,074216,074332,074828,075111,075333,075501,075555,075628,075712,075806,075910,080015,080214,080319,080424
3,MX1517-0,,072849,073006,073049,073239,073345,073629,073734,073818,074100,074133,074216,074733,074944,075133,075228,075345,075417,075545,075639,075755,075838,080015,080456,080750,081003,081057,081235,081412,081507,081603,081718,081834,081939,082057,082151
4,MS2243-0,074544,074700,074806,074911,075017,,075512,075617,075816,075910,075954,080037,080601,080825,081014,081129,081235,081340,081445,081539,081646,081751,081917,082350,082612,082802,082951,083106,083233,083338,083454,083559,083704,083809,083903,084041
5,MS2365-0,074700,080803,080909,080952,081140,081318,081603,081708,081823,082057,082140,082224,082656,082856,083045,083200,083255,083349,083454,083537,083642,083715,083831,084314,084548,084716,084855,085000,085055,085213,085340,085413,085529,085646,085750,085906
6,MS1903-0,,082318,082350,082445,082623,082656,083012,083106,083222,083454,083559,083653,084147,084420,084654,084759,084855,084939,085106,085202,085308,085340,085456,090000,090232,090359,090525,090619,090652,090830,090914,091029,091145,091323,091428,091546
7,MS1953-1,084610,085340,085434,085529,085656,085750,090055,090149,090232,090326,090409,090453,090946,091134,091312,091407,091513,091556,091652,091757,091841,091936,092051,092607,092829,093051,093156,093302,093358,093452,093535,093641,093746,093945,094122,094238
8,MS2025-1,091345,091513,091556,091652,091830,091936,092219,092313,092429,092701,092745,092840,093347,093535,093724,093840,093956,094050,094216,094321,094417,094522,094649,095142,095425,095624,095741,095909,100058,100152,100257,100402,100507,100717,100858,101003
9,MW5645-1,091629,093302,093409,093503,093641,093840,094133,094248,094406,094511,094605,094700,095237,095447,095635,095741,095847,095942,100108,100152,100257,100340,100507,101003,101235,101434,101539,101730,101907,102002,102119,102235,102340,102456,102612,102717
10,MX1517-1,,,,095602,095752,095909,100152,100257,100434,100539,100633,100717,101257,101646,101951,102108,102213,102257,102424,102456,102601,102656,102824,103319,103551,103814,104025,104119,104256,104445,104634,104733,104921,105037,105225,105435
11,MS2243-1,101025,101141,101235,101402,101539,101708,102024,102119,102318,102402,102446,102540,103002,103203,103341,103424,103540,103647,103824,103846,104003,104046,104223,104711,104921,105037,105214,105319,105352,105435,105551,105656,105812,105928,110035,110203
12,MS2365-1,102318,103034,103129,103225,103647,103709,103951,104108,104151,104434,104538,104700,105214,105414,105613,105750,105928,110013,110151,110235,110402,110458,110636,111129,111413,111631,111737,111843,111937,112115,112210,112315,112431,112703,112852,112957
13,MS1903-1,,,,,,,110151,110257,110425,110530,110636,110719,111235,111519,111726,111821,111927,112010,112220,112326,112431,112526,112703,113156,113450,113638,113805,113921,114049,114227,114353,114521,114658,114836,115015,115130
14,MX1537-0,,,114037,114205,114404,114542,114848,115036,115257,115519,115635,115719,120329,120623,120858,121003,121203,121340,121506,121611,121716,121821,121949,122526,122821,123053,123313,123429,123523,123640,123807,124005,124216,124428,124638,124743
15,MS1953-2,114459,115835,115931,120130,120318,120434,120728,120813,120941,121035,121151,121235,121810,122126,122348,122410,122526,122621,122759,122843,122959,123042,123147,123712,123955,124143,124356,124501,124649,124754,124848,125004,125120,125258,125426,125532
16,MS2025-2,121906,122022,122137,122348,122610,122726,123042,123147,123219,123429,123523,123607,124038,124238,124439,124617,124805,124921,125058,125131,125236,125342,125510,125954,130216,130448,130604,130658,130848,131110,131217,131356,131534,131840,132051,132218
