,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070133,070249,070332,070627,070732,070805,071301
1,MZ4228-0,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070343,070616,070721,071016,071121,071344,071522,071732,071816,071943,072247
2,MW5853-0,,,,,,,,,,,,,,070109,070238,070311,070532,070616,070721,071048,071121,071154,071301,071428,071605,071627,072142,072457,072645,073036,073152,073406,073629,073840,073947,074115,074348
3,MZ3556-0,,070227,070343,070427,070449,070543,070616,070649,070732,070900,071005,071110,071301,071344,071700,071754,071859,071953,072204,072403,072435,072519,072635,072751,072920,072952,073406,073702,073807,074031,074159,074348,074526,074758,074925,075031,075358
4,MZ3559-0,070605,070805,070921,070954,071016,071037,071059,071132,071206,071311,071417,071511,071638,071754,072026,072142,072247,072320,072446,072613,072645,072740,072824,072920,073003,073047,073501,073724,073903,074242,074348,074653,074914,075136,075241,075430,075725
5,MZ3734-0,071616,071837,072015,072037,072120,072204,072225,072309,072331,072508,072613,072718,072857,072930,073248,073428,073651,073745,073936,074209,074253,074337,074526,074642,074747,074831,075303,075557,075736,075958,080136,080409,080525,080936,081041,081158,081707
6,MX1135-0,072908,072941,073130,073152,073214,073248,073310,073355,073417,073534,073629,073713,073936,074031,074315,074420,074526,074620,074820,075020,075114,075209,075325,075452,075608,075703,080136,080358,080503,080652,080840,081009,081305,081600,081728,081812,082352
7,MZ3825-0,074009,074115,074326,074348,074409,074442,074515,074547,074620,074725,074809,074914,075114,075241,075608,075819,075936,080009,080147,080419,080503,080546,080724,080840,080936,081009,081517,081834,082014,082258,082414,082603,082740,083014,083225,083403,083719
8,MZ3956-0,074703,075336,075452,075525,075608,075641,075703,075746,075830,080009,080103,080209,080441,080546,080852,081020,081254,081400,081506,081728,081823,081918,082108,082247,082425,082508,083014,083308,083458,084235,,084647,084730,084941,085046,085215,085458
9,MZ3978-0,080619,080702,080829,080914,080936,080958,081020,081052,081136,081243,081327,081433,081549,081801,082120,082236,082458,082519,082635,082941,083035,083214,083425,083614,083751,083835,084330,084720,084919,085247,085353,085625,085803,090027,090143,090226,090533
10,MZ3987-0,081645,081801,081928,082003,082025,082058,082131,082203,082236,082341,082436,082541,,082941,083319,083425,083657,083740,083857,084235,084330,084415,084636,084803,084952,085035,085458,085752,085941,090449,090555,090937,091105,091327,091454,091643,092255
11,MZ4072-1,082846,083057,083203,083235,083246,083352,083414,083458,083530,083646,083730,083835,084014,084213,084542,084814,084919,084952,085119,085404,085447,085531,085658,085814,090005,090110,090533,090818,090959,091537,091654,091855,092127,092352,092458,092531,093015
12,MZ4228-1,084319,084341,084542,084604,084625,084720,084730,084836,084919,085024,085140,085236,085531,085647,085908,090016,090121,090215,090353,090617,090712,090829,090926,091105,091233,091316,091759,092033,092139,092403,092552,092847,093036,093440,093545,093651,094232
13,MW5853-1,085426,085531,085647,085720,085731,085803,085836,085919,085941,090049,090154,090259,090555,090712,091032,091211,091454,091527,091643,092022,092106,092200,092352,092520,092625,092720,093153,093502,093702,094200,094316,094505,094717,094940,095056,095140,095458
14,MZ3556-1,090404,090522,090650,090712,090734,090807,090840,090915,090948,091116,091200,091305,091516,091632,092000,092211,092328,092403,092531,092847,092931,093026,093142,093323,093451,093523,094009,094305,094433,094846,095002,095309,095414,095722,095900,100122,100607
15,MZ3559-1,091737,091821,091949,092022,092044,092106,092127,092245,092306,092436,092531,092636,092858,092953,093311,093418,093640,093735,093903,094115,094222,094316,094444,094622,094802,094846,095309,095542,095649,100027,100300,100524,100735,101103,101209,101335,101641
16,MZ3734-1,093131,093300,093429,093502,093523,093618,093640,093713,093746,093903,093958,094115,094243,094433,094739,094918,095140,095225,095436,095638,095722,095816,095954,100122,100249,100322,100757,101019,101157,101819,101947,102124,102313,102818,102914,103041,103348
17,MX1135-1,094126,094222,094411,094433,094516,094633,094706,094802,094835,094940,095046,095214,095414,095616,095910,100027,100249,100333,100556,100819,100936,101041,101252,101430,101620,101652,102124,102440,102629,102936,103053,103326,103453,103725,103830,104027,104532
18,MZ3825-1,095140,095225,095342,095403,095425,095520,095542,095616,095649,095805,095900,100038,100238,100355,100640,100746,101009,101103,101157,101430,101514,101620,101735,101914,102030,102052,102523,102840,102958,103220,103326,103526,103714,103943,104100,104215,104438
19,MZ3956-1,100618,101346,101525,101547,101620,101725,101746,101830,101903,102052,102146,102240,102513,102724,103031,103209,103431,103526,103703,103905,103943,104027,104215,104405,104532,104616,105120,105330,105509,105919,110036,110152,110329,110606,110723,110840,111312
20,MZ3978-1,102440,102545,102713,102734,102756,102829,102852,102925,102958,103103,103147,103253,103431,103642,104016,104132,104353,104449,104554,104816,104921,105004,105120,105247,105414,105509,105930,110141,110329,110745,110924,111251,111407,111618,111734,111839,112306
21,MZ3987-1,103526,103714,103830,103854,103921,104038,104100,104143,104215,104342,104438,104554,104816,104921,105215,105425,105530,105625,105847,110119,110213,110308,110500,110650,110840,110914,111356,111606,111712,112031,112200,112424,112646,112909,113014,113058,113636
22,MZ4072-2,104554,104732,104859,104932,105015,105048,105110,105204,105247,105352,105458,105552,105825,105930,110224,110352,110617,110701,110924,111124,111240,111323,111523,111701,111756,111839,112306,112635,112825,113120,113236,113414,113541,113940,114046,114202,114732
23,MW5943-0,105741,105752,105919,110003,110046,110235,110257,110340,110405,110511,110628,110756,110914,111102,111345,111501,111723,111839,112104,112402,112508,112613,112825,112952,113058,113131,113614,113856,114046,114352,114458,114626,114838,115131,115258,115425,115900
