,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070131,070215,070437
1,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,,071216,071333,071500,071606,071807,071851,071935,072359
2,MZ4228-0,,,,,,,,,,,,,,,,,,,,,,070107,070131,070237,070331,070353,070859,071428,,072737,072854,073044,073305,073411,073538,073611,073749
3,MX1067-0,,,,,,,,,,,,,,070107,070310,070415,070531,070604,070815,071038,071122,071227,071322,071406,071522,071606,072030,,,073505,073655,073916,074023,074234,074339,074529,074919
4,MZ3556-0,070415,070459,070615,070658,070720,070815,070837,070921,071005,071059,071154,071300,071522,071606,071913,072103,072219,072242,072420,072632,072715,072737,072854,073000,073105,073149,073600,,,074940,075045,075150,075403,075530,075635,075730,080025
5,MZ3559-0,071111,071216,071406,071439,071500,071533,071555,071639,071700,071807,071924,072041,072231,072326,072610,072642,072748,072821,072916,073138,073211,073254,073349,073433,073527,073549,074012,,,075341,075446,075657,075741,080004,080120,080258,080636
6,MZ3734-0,071913,072041,072219,072242,072315,072337,072359,072431,072504,072621,072726,072832,073011,073105,073349,073433,073655,073727,073843,074055,074139,074223,074339,074456,074613,074645,075128,,,080733,080827,080922,081123,081356,081440,081524,081808
7,MZ3740-0,072938,073243,073349,073422,073444,073505,073538,073611,073644,073800,073916,074034,,074339,074613,074645,074857,074929,075056,075341,075403,075435,075541,075646,075752,075825,080247,,,082147,082303,082409,082525,082735,082852,082946,083156
8,MZ3825-0,074507,074602,074729,074751,074814,074846,074919,074951,075023,075128,075224,075341,075508,075719,075931,080025,080131,080204,080309,080509,080542,080625,080733,080838,080933,081005,081451,,,082757,082924,083135,083251,083451,083608,083651,083946
9,MZ3987-0,075635,075730,075836,075858,075920,075952,080014,080058,080131,080214,080320,080447,080552,080721,080955,081038,081251,081345,081502,081757,081830,081914,082019,082136,082241,082303,082724,,,084241,084335,084536,084714,084853,084947,085030,085324
10,MZ3978-0,080743,080911,081038,081123,081145,081218,081240,081323,081407,081502,081608,081757,081957,082125,082347,082441,082652,082808,082924,083124,083156,083218,083335,083502,083556,083618,084114,,,085545,085702,085840,085956,090228,090322,090333,090816
11,MZ3956-1,081830,082157,082325,082409,082431,082503,082536,082630,082703,082819,082913,083029,083218,083346,083608,083640,083902,083924,084114,084252,084335,084420,084525,084641,084758,084915,085418,,,090816,090922,091237,091332,091510,091616,091710,092122
12,MZ4072-1,083651,083808,083935,084019,084052,084125,084147,084230,084303,084420,084547,084703,084842,085009,085251,085418,085534,085556,085702,085912,090006,090050,090206,090311,090417,090439,090911,,,092227,092354,092605,092805,093016,093207,093241,093631
13,MZ4228-1,084725,085418,085556,085618,085702,085735,085756,085840,085912,090006,090133,,090544,090733,091016,091216,091321,091354,091543,091754,091838,091933,092027,092154,092354,092427,092922,,,094530,094708,094838,095004,095132,095320,095415,101004
14,MX1067-1,090355,090511,090627,090711,090733,090806,090827,090900,090933,091100,091205,091332,091543,091754,092038,092216,092448,092605,092754,093005,093038,093133,093241,093409,093525,093547,094021,,,095520,095658,095826,100037,100237,100414,100647,101048
15,MZ3556-1,091459,091532,091710,091754,091805,091849,091911,091954,092027,092143,092238,092427,092605,092732,093016,093100,093336,093431,093536,093810,093905,093937,094053,094221,094338,094414,094827,,,100541,100647,100827,101059,101311,101416,101522,101912
16,MZ3559-1,092554,092659,092816,092911,092943,093027,093100,093133,093207,093325,093420,093536,093759,093905,094137,094306,094402,094457,094636,094859,094943,095026,095153,095320,095510,095553,100027,,,101722,101901,102133,102314,102716,102832,102937,103412
17,MZ3734-1,093027,093154,093303,093336,093347,093431,093442,093525,093547,093642,093737,093905,094137,094233,094552,094647,094753,094827,094954,095143,095226,095309,095426,095520,095626,095709,100132,,,101711,101850,102039,102314,102538,102621,102759,103054
18,MZ3740-1,094148,094327,094457,094530,094541,094625,094636,094719,094753,094849,095015,095132,095342,095510,095815,095942,100215,100309,100436,100742,100827,100921,101037,101121,101249,101322,101755,,,103455,103636,103847,104038,104322,104428,104511,104744
19,MZ3825-1,095637,095731,095858,095920,095942,100016,100037,100121,100153,100258,100353,100520,100720,100753,101015,101110,101333,101405,101533,101755,101839,101923,102039,102206,102325,102347,102810,,,104544,104711,104850,104944,105155,105419,105451,105902
20,MW5898-0,100005,100625,100731,100827,100849,100921,101004,101059,101143,101238,101344,101554,101744,101934,102358,102549,102832,102915,103126,103433,103506,103602,103709,103847,104005,104111,104511,,,105935,110135,110325,110505,110750,110857,111025,171439
21,MZ3987-1,101154,101238,101405,101449,101511,101543,101605,101627,101711,101755,101901,102007,102206,102314,102538,102610,102832,102937,103137,103444,103539,103625,103742,103931,104111,104227,104649,,,110857,111120,111310,111342,111520,111649,111744,112038
22,MZ3978-1,102217,102358,102527,102610,102632,102716,102737,102821,102843,102959,103054,103244,103506,103709,104016,104239,104522,104628,104901,105206,105303,105346,105513,105640,105808,105913,110336,,,112005,112154,112321,112500,112700,112838,112911,113241
23,MZ3956-2,103455,103636,103742,103815,103858,104005,104027,104100,104133,104301,104355,104522,104755,104839,105241,105357,105629,105702,105840,110051,110146,110253,110358,110527,110622,110706,111131,,,112522,112627,112849,113122,113440,113536,113643,114104
24,MW5943-0,,105217,105335,105357,105429,105502,105535,105607,105702,105840,110019,110207,110410,110600,110930,111047,111321,111437,111755,112143,112300,112354,112522,112711,112849,112922,113357,,,115118,115330,115626,115830,120310,120426,120647,121122
25,MZ4072-2,105756,105935,110051,110124,110146,110231,110253,110325,110421,110549,110644,110813,111036,111131,111415,111616,111849,111943,112111,112405,112511,112544,112744,112911,113027,113133,113610,,,115403,115637,115924,120150,120426,120542,120625,121206
