,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070133,070218,070335,070431,071009
1,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070133,070240,070313,070620,070714,070842,070925,071242,071420,071504,072116
2,MW5964-0,,,,,,,,,,,,,,,,,,,,,070133,070218,070324,070420,070526,070609,071019,071231,071325,071537,071643,071822,072011,072254,072349,072518,072751
3,MX1084-0,,,,,,,,,,,,,070133,070251,070609,070704,070914,070947,071114,071420,071515,071610,071749,071927,072116,072200,072656,072858,073005,073421,073548,073809,074116,074446,074624,074909,075626
4,MS2259-0,,,,,,070133,070156,070251,070335,070442,070536,070704,070842,,071515,071610,071833,071916,072043,072316,072400,072445,072612,072751,072921,072954,073442,073758,073831,,074316,074508,074602,074857,075048,075353,080210
5,MZ3559-0,070313,070609,070759,070842,070904,070936,071009,071041,071114,071220,071336,071504,071810,072000,072327,072529,072751,072836,073027,073314,073358,073453,073631,073820,074043,074105,074529,074931,075121,075342,075531,075806,080115,080454,080622,080822,081445
6,MZ3734-0,071515,071654,071822,071916,071938,072011,072032,072116,072200,072305,072400,072456,072656,072921,073219,073421,073526,073559,073714,074009,074105,074210,074340,074519,074646,074729,075154,075342,075531,075817,080053,080422,080738,081128,081244,081540,082417
7,MZ3740-0,072550,072706,072836,072858,072921,072954,073016,073100,073155,073336,073442,073537,073853,074032,074340,074435,074656,074729,074857,075132,075226,075448,075637,075817,075956,080053,080516,080811,081011,081400,081603,081826,082005,082333,082450,082734,083328
8,MZ3825-0,073703,073820,073958,074032,074043,074116,074138,074210,074243,074402,074508,074624,074814,075004,075331,075426,075531,075604,075744,080041,080221,080316,080505,080643,080832,080905,081349,081636,081826,082533,082745,082913,083114,083508,083636,083731,084101
9,MZ3978-0,074803,074909,075015,075048,075059,075132,075215,075259,075342,075520,075615,075733,080019,080159,080600,080822,081055,081117,081317,081657,081910,082005,082216,082355,082606,082639,083125,083457,083647,084502,084619,084857,085037,085448,085554,085700,090238
