,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MX1708-0,,,,,,,,,,,,,,,,,,,,,,,070109,070447,070708,070919,071024,071151,071224,071318,071424,071603,071720,071941,072059,072226
1,MX4068-0,,,,,,,070109,070204,070342,070447,070541,070625,071046,071235,071434,071539,071709,071814,072003,072048,072132,072248,072416,072901,073144,073311,073556,073651,073808,074114,074231,074409,074547,074913,075051,075523
2,MX1545-0,070941,071057,071203,071329,071518,071637,071931,072037,072226,072310,072405,072459,072955,073205,073407,073534,073651,073757,073935,074031,074158,074252,074431,075019,075313,075512,075703,075841,075936,080020,080127,080421,081241,081653,081821,082340
3,MS2365-0,071858,072933,073028,073122,073332,073545,073841,074009,074042,074252,074358,074503,075019,075240,075440,075641,075808,075914,080116,080210,080337,080421,080620,081103,081357,081620,081747,081939,082108,082307,082414,082532,083016,083217,083345,083639
4,MX1582-0,075051,075219,075302,075418,075630,075652,075958,080053,080210,080316,080359,080432,081009,081252,081526,081653,081832,081918,082108,082213,082318,082425,082554,083038,083301,083533,083733,083838,084038,084154,084353,084521,084849,085133,085323,085608
5,MX1614-0,080758,081241,081336,081431,081642,081811,082119,082235,082425,082532,082627,082721,083250,083523,083816,084121,084415,084521,084721,084827,085006,085100,085301,085819,090116,090435,090540,090646,090751,090858,091048,091153,091330,091519,091646,092005
6,MX1698-0,,082425,082532,082637,082838,083005,083312,083439,083617,083911,084048,084132,084732,085017,085239,085418,085651,085819,090033,090149,090256,090424,090540,091037,091330,091603,091709,091848,092121,092259,092406,092532,092710,092955,093205,093332
7,MX1708-1,090635,090826,090921,091004,091203,091403,091624,091720,091826,092059,092215,092248,092850,093216,093415,093520,093637,093731,093846,093942,094047,094141,094308,094740,095026,095155,095346,095441,095705,095929,100025,100130,100246,100436,100614,100719
8,MX4068-1,093111,093238,093321,093415,093615,093752,094130,094235,094414,094646,094740,094847,095441,095811,100014,100130,100224,100340,100458,100541,100635,100740,100846,101321,101615,101742,101847,101920,102058,102309,102425,102554,102710,102826,102953,103131
9,MX1545-1,095301,095452,095611,095705,095950,100130,100447,100624,100846,101120,101248,101353,102026,102342,102615,102742,102910,103026,103205,103343,103437,103553,103722,104341,104636,104814,104953,105120,105333,105514,105621,105854,110031,110253,110535,110945
10,MS2365-1,095525,100552,100646,100740,100931,101036,101415,101531,101615,101659,101753,101858,102615,102920,103142,103248,103415,103520,103647,103752,103848,103921,104040,104530,104803,105015,105225,105355,105558,105715,105821,110021,110148,110452,110641,111029
11,MX1582-1,101931,102037,102120,102236,102436,102509,102826,102920,103058,103142,103310,103404,103943,104207,104436,104530,104709,104752,104920,104953,105036,105131,105236,105715,105959,110242,110420,110503,110652,110840,110956,111112,111250,111535,111712,111901
