,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW5084-0,,,,,,,,,,,,-1,-1,-1,1,-1,1,1,-1,-1,1,1,-1
1,MW4619-0,,,,,,,,1,1,-1,-1,-1,-1,1,1,-1,-1,1,4,-1,-1,1,-1
2,MW4647-0,,,,,-1,-1,2,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1
3,MW5132-0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1
4,MW4781-0,-1,,1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1
5,MR7938-0,,,,,,,,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1
6,MW4856-0,-1,,2,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,3,-1,-1,1,-1
7,MW5594-0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,4,-1,-1,1,-1
8,MW4366-0,-1,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,-1,1,1,1,1,4,1,-1,1,-1
9,MW5084-1,-1,-1,1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1
10,MW4647-1,-1,-1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
11,MW5132-1,-1,-1,-1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
12,MW4781-1,,-1,1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1,-1
13,MW4856-1,,-1,-1,-1,-1,,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,5,1,1,1,-1
14,MW5594-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
15,MW4366-1,-1,-1,-1,-1,-1,3,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,3,1,1,1,-1
16,MW5084-2,,-1,1,-1,-1,4,2,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,1,-1
17,MW4647-2,-1,-1,-1,-1,-1,1,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,2,1,1,1,-1
18,MW4781-2,,,1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1,-1
19,MW4856-2,,-1,1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,3,2,-1,1,-1
20,MW5594-2,,-1,-1,-1,-1,-1,3,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
21,MW4366-2,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1
22,MW4781-3,,,,,,,,,,,,,,,,,,,,,1,1,-1
23,MW5084-3,-1,-1,1,-1,-1,-1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1,-1
