,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7101-0,,,,,,,,,,,,,,,,,,,070107,070153,070436,070603
1,AA7536-0,,,,,,,,,,070107,,070131,070225,070352,070436,070508,070624,070719,070814,070920,071214,071320
2,AA7706-0,,,,,,,,070107,070530,070624,070825,070941,071036,071225,071320,071414,071553,071701,071818,072030,072253,072431
3,AA7248-0,,,,,070107,070131,070153,070247,071342,071447,071639,071756,071851,072103,072209,072315,072358,072504,072620,072758,073031,073053
4,AA7149-0,,070107,070425,070742,071025,071130,071320,071425,072326,072537,072758,072937,073042,073304,073421,073515,073631,073737,073842,073948,074212,074317
5,AA7195-0,070436,,070836,071152,071404,071628,071650,071829,072915,072948,,073304,073410,073515,073548,073642,073820,073915,074012,074150,074401,074444
6,AA6952-0,071330,071458,071712,071924,072125,,072526,072631,073748,073842,074023,074201,074255,074539,074622,074705,074844,074949,075044,075150,075352,080743
7,AA7488-0,072231,072420,072758,073137,073315,073442,073737,073904,074749,074833,075055,075203,075257,075519,075613,075708,075908,080014,080058,080204,080447,080552
8,AA7721-0,,073253,073621,074023,074244,074506,,074738,075719,075813,075951,080120,080215,080320,080353,080458,080614,080709,080754,080943,081218,081345
9,MW4640-0,073937,074212,074455,074727,074833,074928,075139,075246,080058,080153,080331,080447,080542,080659,080743,080838,080932,081027,081102,081156,081356,081451
10,AA7530-0,,075033,075341,075646,075908,080237,080342,080509,081345,081451,,081830,081936,082125,082158,082304,082347,082505,082548,082747,083020,083114
11,AA7322-0,075541,075719,080003,080237,,,,080805,081724,081757,,,082147,082325,082421,082454,082653,082747,082842,082947,083147,083327
12,AA7101-1,080225,080520,080827,081051,081301,081451,081724,082008,082947,083053,083316,083454,083610,083820,083903,083957,084113,084219,084335,084545,084839,084954
13,AA7536-1,081407,,081702,081936,082231,082421,082515,082632,083537,083642,083841,083946,084019,084157,084241,084325,084429,084534,084628,084755,085027,085227
14,AA7706-1,082147,082454,082747,083209,083432,083620,083903,084146,085121,085216,085416,085543,085615,085825,085919,090025,090141,090246,090341,090551,090803,090942
15,AA7195-1,,083316,083620,083852,084103,,084534,084701,085521,085615,,085941,090014,090213,090257,090341,090457,090613,090646,090751,090953,091109
16,AA7248-1,084157,084429,084650,085005,085227,085731,085742,085847,090729,090825,,091203,091236,091352,091436,091552,091718,091824,091907,092141,092403,092602
17,AA7149-1,,085532,085731,090025,090308,090446,090646,090751,091729,091834,,092202,092235,092446,092540,092647,092803,092931,093014,093203,093414,093551
18,AA6952-1,,,090825,091058,091320,,091729,091813,092731,092825,093025,093152,093236,093414,093446,093541,093657,093802,093846,094046,094329,094446
19,AA7488-1,091657,091918,092108,092446,092637,092752,093109,093236,094202,094318,,094719,094827,095048,095142,095247,095425,095530,095614,095730,100002,100129
20,MW4640-1,093119,093403,093603,093857,094108,094256,094457,094614,095508,095541,095730,095856,095940,100035,100107,100213,100350,100457,100613,100657,100846,101002
21,AA7530-1,093214,094731,094910,095247,095603,095646,095856,100013,100940,101035,,101351,101456,101708,101752,101836,102003,102119,102202,102340,102552,102657
22,AA7322-1,095603,095918,100140,100613,,,101246,101517,102603,102646,102846,102951,103034,103213,103319,103413,103551,103709,103804,103837,104110,104215
23,AA7706-2,100951,101413,101635,102025,102246,102435,102741,102918,103952,104100,,104426,104509,104657,104803,104919,105035,105154,105238,105521,105830,105935
24,AA7195-2,102519,,,103402,103456,,,103952,104930,105035,105216,105343,105437,105616,105648,105745,105830,105935,110030,110242,110505,110600
25,AA7101-2,,104003,104310,104636,104908,105132,105415,105648,110811,110917,111138,111316,111443,111654,111749,111905,112054,112159,112327,112515,112748,112926
26,AA7536-2,105024,105332,105553,105914,110242,110454,110748,111055,112432,112515,,112959,113115,113336,113430,113610,113654,113821,113926,114158,114421,114610
27,AA7248-2,,,111359,111527,111811,112116,112149,112316,113347,113430,113643,113715,113810,114053,114158,114303,114443,114548,114643,114748,115022,115129
28,AA7149-2,,112338,112600,112843,113031,,113358,113632,114537,114654,,115045,115140,115403,115459,115636,115747,115843,115937,120043,120317,120505
29,AA6952-2,,114009,114303,114610,114811,,115213,115459,120411,120505,,120822,120905,121054,121138,121232,121349,121505,121559,121727,122043,122148
