,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4041-0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-1
1,MX4159-0,,,,,,,,,,,,,,,,,1,-1,-1,-1,1,1,-1,1,1,1,-1
2,MX4338-0,,,,,,,,,,,1,1,1,1,1,-1,-1,-1,1,-1,1,4,1,1,1,5,-1
3,MX4365-0,,,,,,2,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,4,1,1,1,1,-1
4,MX4383-0,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,,1,-1
5,MX4388-0,-1,1,-1,-1,1,2,-1,-1,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,2,-1
6,MX4535-0,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,4,1,1,1,-1,-1
7,MX3651-0,-1,-1,2,-1,1,2,1,-1,-1,-1,-1,1,1,-1,1,,1,1,1,1,1,2,1,1,1,1,-1
8,MS2259-0,-1,-1,1,1,1,-1,1,-1,-1,-1,,1,1,1,,,1,1,1,1,1,1,-1,-1,1,1,-1
9,MX4021-0,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1
10,MX4159-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1
11,MX4041-1,,1,1,1,1,2,1,-1,3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,-1
12,MX4338-1,,-1,1,-1,2,3,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,-1
13,MP6039-0,-1,1,1,1,1,1,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,,,2,-1
14,MX4551-0,-1,1,1,1,2,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,-1
15,MX4365-1,,1,1,2,2,1,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,-1
16,MX4383-1,-1,1,1,1,1,2,1,-1,2,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,-1,1,1,-1
17,MX4388-1,-1,1,1,1,1,1,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1
18,MX4535-1,-1,1,1,1,1,3,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,-1
19,MX3651-1,-1,1,1,1,2,1,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
20,MS2259-1,-1,1,1,1,1,1,1,-1,2,-1,1,1,1,,2,1,1,1,1,1,1,,1,,1,1,-1
21,MX4021-1,-1,1,1,1,2,2,1,-1,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,2,-1,2,1,-1
22,MW5191-0,-1,1,1,1,1,2,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,-1
23,MW5346-0,-1,1,1,1,2,3,1,-1,3,-1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,-1
24,MX4159-2,-1,1,1,1,1,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
25,MX4041-2,,1,1,1,2,2,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,-1
26,MW5264-0,-1,1,1,1,1,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
27,MW5112-0,-1,1,1,1,2,2,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
28,MX4338-2,-1,1,1,1,2,1,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
29,MX4365-2,,1,1,1,1,2,1,-1,2,-1,1,1,1,1,2,1,1,1,1,1,1,1,3,-1,1,1,-1
30,MX4383-2,-1,1,1,1,1,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
31,MX4551-1,-1,1,1,1,1,3,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
32,MW5537-0,-1,1,1,1,2,2,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1
33,MX4388-2,-1,1,1,1,2,3,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
34,MX4041-3,-1,1,,,,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
35,MX4535-2,-1,1,1,1,2,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
36,MX3651-2,-1,1,1,2,2,2,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,3,-1,1,1,1,-1
37,MW5346-1,-1,1,1,1,1,2,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,-1
38,MS2259-2,-1,1,1,1,1,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,,1,1,-1
39,MX4021-2,-1,1,1,1,1,1,1,-1,2,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,1,4,-1
40,MW5264-1,-1,1,1,1,1,1,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
41,MX4338-3,-1,1,1,1,2,2,1,-1,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
42,MX4365-3,,2,1,1,3,3,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1
43,MW5112-1,-1,1,1,1,1,2,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1
44,MX4551-2,-1,1,1,1,1,1,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,4,-1
45,MX4388-3,-1,2,1,1,2,1,1,-1,3,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1
46,MX4535-3,-1,1,1,1,2,3,1,-1,3,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1
47,MS2259-3,-1,1,2,4,1,3,1,-1,2,-1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,-1
