,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7322-0,080203,080520,080720,081109,081258,081447,081731,082036,083259,083500,,083902,083946,084125,084231,084431,084609,084714,084819,084946,070107,085345
1,AA7440-0,,,,,,,,,,,070107,070246,070352,070403,070530,070742,070933,071038,071205,071427,071805,071911
2,AA7173-0,,,,,,,,070107,070258,070414,070625,070742,070849,071100,071144,071238,071416,071522,071638,071816,072143,072300
3,AA6952-0,083650,083723,084725,085146,085512,085841,070107,070152,071155,071322,071532,115142,071733,071838,072006,072216,072405,072510,072626,072731,073109,161218
4,AA7488-0,,070107,070203,070636,071027,071155,071406,071532,072532,072637,072921,073059,073214,073415,073520,073625,073720,073825,073930,074141,074425,074552
5,MR7964-0,,,,,070152,070319,070541,070709,071543,071638,071838,072016,072121,072300,072332,072438,072532,072637,072753,072921,073203,073353
6,AA7149-0,070436,070625,070827,071205,071427,071628,071849,072006,072942,073059,073258,073425,073531,073625,073741,073952,074152,074257,074414,074541,074814,074930
7,AA7530-0,,,,,,,,,070458,070541,070816,070955,071049,071227,071333,071427,071554,071700,071816,072006,072238,072427
8,AA7706-0,,071344,071700,072121,072354,072448,072710,072837,073741,073858,074130,074257,074403,074530,074635,074740,074909,075014,075119,075342,075647,075741
9,AA7101-0,,,,072143,072438,072615,072848,073015,073941,074058,074330,074508,074614,074719,074803,074858,075036,075130,075258,075541,075836,080003
10,AA7492-0,,072300,072532,072804,073120,,073520,073647,074635,074740,,075119,075247,075309,075320,075509,075603,075657,075814,075941,080257,080458
11,AA7323-0,,073037,073520,074036,074119,074330,074508,074751,075825,075930,080152,080352,080437,080604,080709,080825,080953,081109,081225,081342,081709,081803
12,MW3346-0,,,,,,,,073636,074625,074719,074919,075036,075130,075258,075352,075436,075552,075647,075803,075941,080247,080426
13,AA7248-0,073919,074025,074319,074541,074847,100646,075436,075603,080542,080626,080909,081025,102650,081309,081415,081636,081825,081920,082036,082142,082449,103827
14,AA7530-1,075214,081320,081520,081858,082109,082416,082544,082849,084336,084452,,084946,085041,085251,085345,085440,085630,085713,085830,085946,090250,090407
15,AA7637-0,075614,075657,075920,080308,080520,080636,080931,081225,082320,082500,082711,082911,083005,083205,083259,083522,083734,083840,083946,084147,084420,084547
16,AA7536-0,100236,100352,100729,122935,080036,101614,080058,080247,081320,081425,125332,125416,150128,082131,082203,082427,082533,082638,082755,082943,130535,151451
17,AA7440-1,082131,082258,082606,083005,083310,083511,083829,084136,085735,085946,090207,090407,090501,090723,090829,091029,091219,091346,091513,091747,092041,092230
18,AA7173-1,082805,083110,083404,083650,083913,084147,084347,084630,090218,090356,090628,090745,090840,091007,091113,091219,091357,091503,091619,091758,092051,092241
