,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7530-0,,,,,,,,,,,,,,,1,-1,-1,-1
1,MW4366-0,,,,,,,,,,,1,-1,-1,-1,1,-1,-1,-1
2,MW4619-0,,,,,,,,,1,-1,-1,,,,-1,-1,-1,-1
3,AA7101-0,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1
4,AA7503-0,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,-1,-1
5,AA6345-0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,-1,-1
6,AA7848-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
7,MW4647-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
8,MW4781-0,1,,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1
9,AA7530-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1
10,MW4366-1,2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
11,MP6039-0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
12,AA7637-0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
13,MW4619-1,1,1,,1,1,1,1,1,1,1,,1,,1,1,-1,-1,-1
14,AA7479-0,1,,1,1,1,1,-1,1,1,1,1,-1,3,1,1,-1,-1,-1
15,AA7101-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1
16,AA7503-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,-1,-1,-1
17,AA6345-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1
18,AA7488-0,,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1
