,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,AA6942-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070121,,,070717,070750
1,AA6738-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,,,,070431,070847,071014,,071607,071834,071940,072242,072413,072535
2,AA7450-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070121,070358,070453,070600,070706,,,070942,071344,071501,,072143,072230,072413,072802,072920,073048
3,MX4551-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070205,070303,070431,070644,070836,071121,071245,071501,071607,071703,071750,071929,072025,072110,072546,072704,073015,073313,073452,073653,073918,074036,074141
4,AA7539-0,,,,,,,,,,,,,,,,,,,,,,,070106,070132,070240,070336,070420,070537,070655,070836,071036,071234,071512,071629,071856,071951,072047,072110,072230,,072413,072813,072920,073229,073503,073653,073856,074025,074119,074228
5,AA7731-0,,,,,,,,,,,070106,070121,070217,070409,070526,070537,,070825,070847,070942,071058,071439,071739,,071918,072036,072143,072242,072350,,073015,,073346,073441,073715,073845,073940,074036,074301,,074418,,075058,,075710,075849,075933,080347,080542,080807
6,AA7600-0,081720,104903,105331,082703,105511,105851,083055,110147,070106,110553,110807,111331,111437,111605,111755,111901,112007,112223,112257,112437,112543,112900,113102,113253,113409,113505,113538,,,114131,,114419,,114931,,,,115451,,152430,115930,120335,120442,120728,142121,121257,121829,122426,143218,164205
7,AA7838-0,,,,,,,,,070106,070205,070611,071121,071245,071322,071439,071523,071640,071750,071834,072003,072121,072413,072641,072909,073004,073110,073207,073335,073441,073609,073739,073834,074119,074228,074333,074418,074535,074630,074749,074833,074908,075334,075530,075710,080006,080208,080325,080638,080744,080951
8,MX3783-0,,,,070106,070121,070409,070453,070526,070717,070836,071234,071801,071907,072014,072121,072218,072402,072501,072546,072641,072750,073132,073313,073441,073547,073727,073801,073951,074058,074216,074345,074502,074749,074856,075058,075228,075323,075418,075530,075637,075710,080123,080241,080542,080755,080940,081252,081550,081732,081945
9,AA7155-0,070106,072110,072242,072339,072426,072641,072739,072836,073015,073110,073503,074014,074119,074203,074312,074355,074535,074620,074704,074811,074930,075301,075407,075615,075732,075900,075955,080134,080241,080700,080929,081046,081337,081432,081709,081817,081922,082019,082200,082301,082334,082747,082915,083230,083454,083635,083859,084411,084528,084707
10,MX4365-0,070106,070153,070431,070549,070622,070836,071014,071109,071311,071428,071640,072143,072230,072339,072513,072557,072750,072847,072931,073004,073121,073419,073558,073715,073812,073929,074025,074152,074301,074641,074856,075003,075301,075418,075659,075816,075911,080006,080134,080303,080347,080819,080951,081348,081709,081754,082105,082535,082703,082820
