,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,AA7712-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070159,070244,070435,070519,070603,071039,071207,071557,071937,072139,072256,072542,072711,072924
1,MX4021-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070159,070424,070519,070614,070646,070815,070910,070954,071407,071546,071809,072150,072351,072542,072851,073052,073242
2,MX4159-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070244,070402,070658,070741,071005,071101,071207,071251,071418,071524,071608,072022,072150,072414,072626,072840,073041,073455,073613,073708
3,AA7450-0,,,,,,,,,,,,,,,,,,,,,,,070103,,,,,,,,,,,,,,,,,,,,,,,,,,,071039
4,AA7279-0,,,,,,,,,,,,,,,,,,,,,,,070103,070232,070328,070446,070530,070646,070859,071027,071251,071407,071714,071843,072106,072223,072318,072403,072531,072649,072733,073147,073348,073635,074004,074310,074701,075220,075337,075610
5,MX4365-0,,,,,,,,,,,,,,,,,070103,070149,070232,070350,070519,070837,071027,071239,071345,071502,071557,071758,071937,072128,072318,072447,072829,072957,073125,073242,073337,073444,073646,073836,073931,074405,074533,075114,080014,080226,080652,081139,081310,081438
6,MX4383-0,,,,,,,,,,,070103,070255,070350,070508,070625,070719,070910,071050,071134,071301,071440,071853,072044,072245,072351,072531,072626,072829,072946,,073455,073635,073953,074048,074259,074438,074544,074628,074818,074935,075031,075453,075643,075929,081117,081258,081651,082221,082403,082532
7,MX3783-0,,,,,,,,070103,070138,070402,070614,071112,071207,071323,071440,071524,071652,071809,071853,072033,072201,072458,072604,072743,072851,073008,073052,073231,073411,073539,073731,073920,074237,074427,074533,074617,074723,074807,074924,075031,075103,075526,075727,075940,081258,081523,081852,082221,082414,082605
8,MX4458-0,,070103,070210,070255,070339,070457,070552,070658,070826,071005,071229,071747,071843,071948,072055,072150,072256,072403,072447,072604,072743,073114,073231,073433,073613,073731,073803,073931,074059,074226,074354,074606,074958,075042,075304,075420,075526,075632,075822,075918,080025,080417,080557,081044,081607,081819,082126,082436,082605,082756
9,AA7562-0,070138,070457,070815,070859,071005,071239,071451,071608,071758,071853,072256,072851,073030,073209,073359,073455,073624,073741,073825,073858,074048,074416,074606,074840,075031,075158,075253,075453,075621,075749,080003,080215,080608,080820,081055,081225,081320,081405,081607,081713,081746,082221,082403,082723,083009,083054,083340,083721,083902,084126
10,MX4551-0,070646,071156,071407,071502,071546,071831,071937,072044,072201,072307,072659,073220,073326,073455,073624,073720,073847,073953,074026,074059,074215,074533,074712,074840,075042,075158,075253,075504,075632,075822,080003,080153,080546,080641,080853,081021,081139,081236,081405,081556,081640,082137,082306,082616,082936,083043,083307,083710,083851,084053
11,AA7920-0,071112,072711,072935,072957,073136,073506,073550,073658,073836,074121,074354,074935,075042,075158,075315,075409,075548,075738,075833,075918,080047,080451,080714,080937,081055,081214,081310,081450,081629,081830,082020,082221,082605,082829,083105,083307,083456,083637,083946,084104,084148,084615,084816,085431,085857,090240,090558,090953,091144,091408
12,AA7450-1,071736,071926,072128,072256,072340,072637,072818,072924,073158,073304,073517,074037,074153,074321,074500,074544,074712,074807,074851,075019,075158,075515,075632,075833,075929,080036,080120,080311,080451,080641,080820,081128,081416,081629,081724,081903,082042,082159,082425,082532,082605,083031,083222,083957,084306,084531,084743,085229,085409,085633
13,MX4614-0,,073242,073602,073658,073741,074048,074204,074259,074500,074606,074958,075420,075548,075705,075749,075844,080003,080131,080215,080238,080355,080652,080820,080937,081055,081214,081310,081523,081651,082104,082255,082436,082701,082841,083105,083255,083402,083615,083924,084042,084137,084604,084805,085313,085823,090100,090504,090942,091059,091335
14,AA7712-1,073455,074015,074226,074321,074405,074723,074851,075019,075158,075409,075800,080333,080451,080546,080714,080758,080926,081021,081106,081214,081343,081713,081925,082210,082317,082436,082543,082734,082841,083200,083402,083637,084020,084210,084458,084648,084805,085029,085302,085420,085515,085930,090134,090558,090953,091206,091514,091811,092003,092558
15,AA7731-0,074204,074511,074818,074902,075008,075409,075559,075822,080215,080238,080758,081320,081450,081640,081757,081852,082148,082350,082436,082458,082639,082947,083116,,083446,083603,083648,083851,083946,084306,,084531,084901,085029,085302,085358,085515,085633,085846,090027,090112,090526,090751,091206,091704,091906,092407,092716,092940,093249
16,MX4021-1,075019,075442,075918,080047,080142,080406,080619,080725,080904,081106,081427,081947,082115,082221,082403,082458,082639,082756,082903,083020,083149,083529,083637,083902,084009,084126,084210,084402,084509,084659,084944,085123,085515,085622,085728,085857,090016,090134,090358,090621,090727,091144,091346,091609,091917,092109,092513,092906,093131,093442
17,MX4159-1,075705,080058,080652,080853,080948,081343,081534,081629,081819,082031,082447,083031,083149,083329,083518,083626,083924,084020,084104,084210,084339,084626,084732,084955,085145,085251,085336,085504,085633,085823,090038,090251,090526,090621,090858,090942,091059,091144,091312,091441,091525,092003,092120,092407,092800,092951,093300,093834,093951,104257
18,AA7559-0,080725,081032,081416,081556,081702,103034,103202,103320,,103756,083200,083637,083806,083935,084104,084210,084435,084553,084637,084816,084933,110055,091026,110510,110617,110734,110808,,,,,112414,,112958,113137,113338,113506,113646,113932,114028,114112,114537,093442,115155,115441,115631,094705,095112,095252,122044
19,AA7279-1,081021,081343,081724,081746,081819,082126,082255,082414,082650,082914,083329,084020,084115,084255,084520,084637,084923,085029,085101,085218,085336,085706,085857,090123,090229,090347,090442,090643,090751,090942,091121,091346,091620,091833,092058,092237,092355,092502,092631,092749,092833,093322,093442,093823,094120,094302,094548,095123,095252,095506
20,MX4535-0,081021,,082605,082701,082745,083043,083138,083255,083435,083721,084137,084710,084827,085007,085145,085336,085548,085739,085835,085919,090049,090431,090537,090705,090847,091004,091037,091217,091335,091631,091811,092014,092344,092451,092704,092833,092940,093025,093205,093322,093358,093834,094036,094441,094750,094943,095208,095901,100040,100253
21,MX4365-1,,082829,083255,083340,083424,083659,083818,083957,084210,084626,085145,085717,085835,085942,090123,090229,090420,090548,090632,090716,090835,091239,091346,091514,091558,091716,091811,092014,092120,092311,092536,092749,093047,093300,093409,093537,093643,093750,093918,094047,094132,094610,094814,095101,095421,095614,095912,100400,100550,100741
22,AA7393-0,083020,083626,083946,084104,084210,084531,084710,084816,085018,085442,090005,090526,090621,090740,090847,090953,091133,091346,091452,091620,091716,092058,092300,092418,092525,092609,092704,092855,093002,093249,093610,093706,094120,094239,094504,094632,094739,094921,095101,095326,095421,095901,100029,100338,100741,100943,101304,101816,101933,102126
23,MX4383-1,083721,084232,084637,084721,084816,085123,085347,085515,085706,085942,090409,090942,091048,091228,091408,091514,091811,091939,092036,092120,092237,092609,092800,093036,093131,093249,093333,093515,093632,093918,094144,094346,094643,094814,095039,095157,095304,095410,095528,095658,095731,100158,100338,100719,101100,101304,101540,102041,102159,102328
24,MX3783-1,084637,,085207,085302,085358,085706,085835,085930,090112,090358,091015,091514,091609,091716,091917,092025,092237,092355,092429,092513,092620,092940,093131,093358,093504,093610,093706,093940,094047,094228,094430,094526,094858,094954,095101,095241,095326,095455,095625,095742,095816,100242,100411,100730,101122,101315,101720,102317,102426,102555
25,AA7562-1,085610,090049,090504,090537,090621,091037,091206,091312,091503,091642,092036,092609,092738,092906,093058,093153,093344,093442,093537,093655,093823,094206,094346,094526,094632,094803,094847,095101,,095359,095614,095838,100220,100455,100719,100858,101005,101133,101338,101433,101518,102008,102211,102606,103118,103258,103756,104234,104425,104628
26,MX4458-1,,,085655,085749,085930,090251,090504,090558,090740,091015,091419,091950,092109,092226,092344,092451,092704,092940,093014,093058,093227,093643,093812,094003,094120,094239,094335,094452,094559,094739,095050,095304,095709,095912,100018,100147,100242,100400,100550,100708,100752,101219,101400,101743,102104,102255,102544,103309,103448,103701
27,MX4551-1,090558,090824,091155,091312,091408,091844,092047,092153,092333,092502,092855,093504,093621,093801,094014,094120,094302,094430,094526,094632,094836,095230,095432,095709,095816,100007,100103,100315,100444,100646,100921,101156,101551,101805,102030,102211,102339,102448,102713,102854,102938,103437,103628,104044,104425,104628,105021,105545,105714,105948
28,AA6738-0,091121,091620,091950,092109,092153,092536,092738,092855,093036,093300,093706,094217,094313,094441,094643,094654,094847,094943,095028,095145,095326,095636,095827,,,100147,100231,100411,100517,100921,,,101805,101944,102052,102148,102255,102351,102640,102758,102820,103235,103404,,103926,104117,104414,104948,105032,105258
29,AA7450-2,091716,092109,092429,092513,092558,093014,093036,093249,093431,093526,093907,094441,094548,094716,094847,094954,095241,095326,095410,095541,095647,100007,100125,100327,100433,100550,100624,100803,100910,101049,,101529,101900,101955,102233,102426,102533,102640,102809,102906,102950,103353,103543,103841,104234,104319,104903,105309,105427,105629
