,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
29,AA6374-0,-1,1,2,2,3,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,2,-1,3,3,1,1,-1
30,MX4021-2,-1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,2,5,4,2,1,1,-1
31,AA7920-1,,1,2,2,2,2,1,1,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,2,-1,2,2,1,1,-1
32,MW5425-0,-1,3,2,1,2,2,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,2,-1,4,1,1,1,-1
33,AA7838-0,-1,1,2,1,2,3,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,-1,3,2,1,1,-1
34,AA7712-2,-1,1,2,1,2,4,2,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,-1,3,1,-1,1,1,1,3,5,-1,1,1,1,2,-1,1,1,1,1,1,2,2,-1,4,3,1,1,-1
35,AA7559-1,-1,2,2,2,2,1,1,1,3,3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,4,,1,1,1,1,1,1,1,1,1,1,2,2,5,3,2,1,1,-1
36,MW5645-0,-1,1,1,2,2,1,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,2,1,4,4,4,1,1,-1
37,AA7537-0,-1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,3,-1,5,2,1,1,-1
38,AA7450-1,-1,1,2,1,1,2,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,3,-1,3,3,1,1,-1
39,AA7539-0,-1,,2,3,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,4,-1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,2,2,2,-1
40,MX4338-2,-1,1,1,1,1,2,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,-1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,3,3,-1,4,4,1,1,-1
41,AA7393-1,-1,1,2,1,1,2,1,1,4,4,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,-1,-1,1,1,1,3,-1,1,1,1,1,-1,1,1,1,1,1,2,2,-1,4,,,1,-1
42,MX4159-2,-1,,2,1,2,2,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,-1,1,1,1,4,-1,1,1,1,1,-1,1,1,1,1,1,4,3,,4,3,1,1,-1
43,MX4365-2,,1,1,2,2,3,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,3,2,5,3,3,1,1,-1
44,MX4383-2,,2,1,2,2,2,2,1,3,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,-1,2,2,1,1,-1
45,MX4458-2,-1,2,2,2,2,2,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,2,-1,1,1,1,1,1,2,2,-1,4,2,1,1,-1
46,AA7562-2,,1,1,1,1,2,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,3,3,4,2,2,1,1,-1
47,AA7731-2,-1,,2,1,2,1,1,1,3,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,-1,1,1,1,1,1,3,,-1,,2,,,-1
