,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,AA7562-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070104,084415
1,MX4598-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070104,070215,070332,070501,070903,071031,085020
2,AA7712-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070104,070204,070310,070439,070534,070713,070808,070841,071328,071445,071803,072155,072407,072557,072832,073000,073236
3,MX4021-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070104,070143,070321,070651,070841,071104,071222,071328,071434,071550,071657,071741,072206,072333,072620,072854,073106,073437,073659,073818,074008
4,MX4159-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070104,070143,070321,070439,070702,070841,071115,071222,071339,071434,071602,071708,071741,072217,072344,072620,072916,073106,073448,073659,073829,074030
5,MX4338-0,,,,,,,,,,,,,,,,,,,,,,,,,070104,070215,070248,070439,070607,070724,070841,070947,071255,071423,071635,071752,071847,071931,072122,072206,072250,072704,072821,073022,073320,073521,073710,074104,074222,074350
6,MX4365-0,,,,,,,,,,,,,,,,070104,070237,070406,070501,070545,070713,071020,071222,071350,071455,071624,071708,071836,072016,072155,072301,072407,072704,072905,073128,073236,073342,073426,073616,073723,073818,074255,074414,074659,074914,075104,075255,075509,075649,075912
7,MX4383-0,,,,,,,,,,,070104,070143,070226,070355,070523,070640,070746,070841,070925,071020,071137,071528,071730,072016,072122,072250,072323,072451,072557,072726,072916,073022,073320,073426,073659,073818,073913,073957,074137,074317,074414,074819,074947,075306,075604,075733,080018,080346,080515,080654
8,AA7731-0,,,,,,,,070104,070237,070439,,071159,071306,071455,,,071730,071909,071953,072038,072144,072557,072810,,073000,073106,073202,073404,073543,073734,074104,074115,074458,074626,074734,074841,075009,075115,075148,075509,075615,080040,080157,,080917,081140,081309,081648,081806,082052
9,MX4458-0,,,,070104,070204,070439,070545,070640,070808,071009,071233,071730,071836,071931,072038,072133,072301,072451,072524,072557,072726,073044,073139,073331,073426,073543,073627,073756,073913,074041,074255,074350,074722,074830,075053,075210,075306,075350,075520,075604,075637,080113,080313,080537,080917,081107,081331,081648,081828,082103
10,MX4551-0,070104,071210,071412,071455,071550,071909,072005,072049,072217,072440,072653,073202,073309,073426,073543,073638,073807,073946,074019,074052,074210,074615,074734,074852,075031,075148,075255,075531,075649,075923,080051,080218,080526,080632,080917,081045,081203,081320,081458,081626,081710,082125,082304,082611,082931,083215,083534,084020,084209,084415
11,AA7920-0,,072546,072832,072916,072949,073247,073459,073605,073829,073935,074339,075115,075233,075401,075531,075649,075839,075956,080040,080218,080335,080705,080844,081140,081247,081415,081510,081637,081755,081923,082136,082359,082706,082836,083109,083215,083311,083406,083702,083819,083925,084351,084533,084903,085210,085412,085730,090156,090324,090514
