,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
53,AA7871-2,,-1,-1,,-1,2,3,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
54,MW3204-0,-1,-1,2,-1,-1,2,3,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1
55,AA7488-3,,,,,-1,3,2,1,1,-1,-1,-1,-1,1,1,1,1,,,,1,1,-1
56,MP5991-0,,-1,2,-1,-1,2,3,1,1,-1,-1,,-1,-1,1,1,1,-1,1,1,1,1,-1
57,MW4825-4,-1,-1,1,-1,-1,2,3,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
58,AA7418-3,-1,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,,,
59,AA7530-3,,-1,-1,,-1,4,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
60,AA7252-2,,-1,2,-1,-1,3,3,1,1,-1,,,,,1,1,1,1,1,1,1,1,-1
61,AA7637-2,,,2,-1,-1,3,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
62,AA7536-2,,,,,-1,,3,1,,,,,,,,,,,,,,,-1
63,AA7405-4,-1,-1,-1,-1,-1,,4,1,1,-1,-1,,-1,1,1,1,1,1,4,1,1,1,-1
64,MW4366-5,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
65,MW4798-1,-1,-1,-1,-1,-1,3,4,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
66,AA7871-3,-1,-1,1,,-1,2,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
67,AA7842-4,-1,,,,,,,,1,-1,,,,,1,1,1,1,1,1,1,1,
68,AA7303-4,-1,-1,-1,,,2,3,1,1,-1,-1,-1,-1,-1,1,1,1,,,,,,
69,AA7488-4,,-1,,,,2,3,1,1,-1,-1,,,,,,,,,,,,
70,MW4825-5,-1,-1,-1,-1,-1,4,3,,,,,,,,,,,,,,,,
71,AA7252-3,,-1,-1,-1,-1,2,,,,,,,,,,,,,,,,,
72,AA7637-3,-1,,,,,,,,,,,,,,,,,,,,,,
73,AA7530-4,,-1,1,,,,,,,,,,,,,,,,,,,,
