,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MX1517-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070121,070154,070227,070406,070438,070501,070607,070914,071031,071242,071336,071505,071548
1,MS2243-0,,,,,,,,,,,,,,070109,070249,070355,070427,070534,070607,070735,070757,070936,071147,071409,071505,071600,071717,071834,071939,072057,072141,072235,072308,072340,072507,072645,073004,073203,073351,073456,073603,073635
2,MS2365-0,,,,070109,070238,070523,070639,070745,070925,071009,071220,071326,071515,071855,072246,072424,072456,072634,072740,072858,072931,073109,073319,073518,073624,073708,073812,073941,074036,074235,074319,074413,074551,074623,074656,074813,075153,075330,075435,075544,075640,075723
3,MS1935-0,070639,073014,073214,073402,073551,073908,074003,074119,074213,074246,074351,074507,074540,074920,075258,075425,075508,075618,075650,075818,075923,080144,080344,080619,080713,080807,080924,081040,081145,081303,081347,081442,081548,081655,081717,081833,082203,082331,082542,082647,082805,082839
4,MS1903-0,,071242,071515,071717,071950,072257,072413,072540,072751,072824,073025,073130,073308,073657,074036,074213,074257,074402,074446,074623,074707,074858,075058,075309,075352,075435,075544,075650,075756,075923,075956,080050,080144,080206,080228,080344,080713,080924,081145,081253,081347,081420
5,MS1953-0,074602,074824,075014,075203,075236,075712,075818,075912,080050,080123,080355,080501,080640,080957,081336,081526,081611,081739,,082003,082047,082236,082458,082730,082839,082934,083040,083156,083251,083442,083536,083632,083748,083821,083904,084009,084325,084442,084610,084705,084821,084853
6,MW5645-0,080713,082320,082542,082828,082934,083240,083409,083621,083915,083959,084209,084325,084526,084853,085221,085348,085420,085548,085655,085833,085905,090120,090341,090552,090646,090740,090847,091014,091047,091203,091247,091342,091426,091448,091619,091735,092112,092228,092355,092449,092537,092610
7,MS2259-0,,,080734,080913,,081644,081717,082003,082047,,082404,082414,,082850,083240,083347,083453,,,,,,084420,084654,084759,084853,084959,085115,085147,085326,085431,085559,085621,085642,085706,085811,090120,,090425,090436,090541,090613
8,MX1517-1,,084209,084504,084705,084904,085420,085559,085833,090152,090236,090414,090508,090646,091026,091426,091608,091703,091819,091902,092101,092156,092344,092548,092811,092905,092949,093054,093221,093304,093442,093536,093631,093736,093757,093830,093946,094314,094503,094703,094808,094924,095008
9,MS2243-1,090034,090319,090519,090729,091036,091353,091557,091714,091956,092101,092322,092427,092621,092949,093315,093442,093525,093653,093757,093913,093957,094209,094431,094631,094725,094819,094935,095102,095157,095324,095420,095525,095608,095641,095702,095829,100156,100323,100417,100522,100650,100712
10,MS2365-1,090225,092217,092355,092559,092811,093221,093358,093514,093757,093830,094030,094136,094220,094536,094924,095052,095146,095324,095441,095608,095651,095903,100156,100417,100522,100607,100723,100839,100923,101156,101301,101356,101440,101502,101534,101650,102006,102122,102249,102407,102501,102535
11,MS1903-1,,093852,094147,094503,094903,095347,095651,095818,100051,100156,100355,100439,100556,100945,101322,101451,101545,101712,101806,101955,102050,102249,102450,102713,102818,102902,103017,103133,103227,103405,103521,103615,103709,103731,103825,103942,104330,104508,104711,104818,104934,105007
12,MS1935-1,,095946,100134,100344,100639,101040,101207,101344,101639,101712,101922,102006,102144,102535,102934,103050,103133,103249,103332,103542,103637,103847,104109,104341,104436,104530,104638,104755,104840,105050,105145,105229,105335,105358,105420,105558,105852,110031,110208,110334,110450,110501
13,MR8026-0,,102101,102355,102651,102807,103206,103448,104004,104330,104447,104700,104755,104945,105313,105641,105820,105903,110031,110125,110302,110345,110619,110819,111019,111124,111208,111313,111431,111515,111726,111831,111914,111947,112009,112031,112209,112505,112621,112822,112905,113022,113108
14,MS1953-1,,104457,104616,104829,104934,105431,105536,105652,105946,110053,110251,110334,110418,110725,111040,111219,111313,111431,111515,111653,111726,111925,112114,112253,112336,112421,112526,112643,112715,112854,112938,113044,113141,113203,113321,113522,113912,114124,114302,114409,114526,114547
15,MS2259-1,,110345,110536,110736,110902,111219,111347,111442,111548,111642,111820,111914,112009,112347,112759,112905,113001,113119,113224,113321,113405,113607,113807,114029,114102,114146,114252,114358,114453,114704,114747,114831,114936,115009,115031,115147,115536,115641,,120052,120147,120241
16,MW5645-1,,112454,112726,112927,113235,113639,113934,114051,114313,114409,114558,114642,114809,115147,115514,115641,115725,115914,120019,120208,120252,120514,120736,120947,121052,121157,121313,121503,121538,121705,121748,121842,121936,122103,122157,122302,122651,122840,123136,123242,123358,123453
17,MX1517-2,,114347,114704,114853,115147,115442,115609,115725,120030,120136,120409,120548,120631,120958,121347,121538,121621,121737,121831,122009,122052,122313,122522,122712,122745,122829,122935,123041,123125,123326,123442,123525,123620,123703,123747,123852,124124,124251,124358,124504,124620,124704
18,MS2243-2,,120452,120631,120820,121135,121442,121538,121705,121936,122030,122251,122417,122618,122957,123348,123525,123620,123747,123841,124030,124113,124335,124537,124758,124852,124936,125052,125208,125252,125420,125526,125620,125725,125758,125925,130030,130358,130525,130810,130926,131031,131115
19,MS2365-2,,122103,122323,122501,122640,122913,123136,123253,123525,123620,123819,123903,124041,124358,124747,124925,125019,125124,125219,125347,125453,125714,125936,130135,130219,130302,130420,130536,130609,130725,130810,130854,131010,131053,131220,131348,131654,131820,132009,132103,132218,132251
20,MS1903-2,,124218,124504,124704,124957,125313,125409,125515,125925,130019,130219,130302,130431,130810,131137,131325,131409,131548,131654,131831,131914,132113,132347,132547,132631,132714,132819,132946,133021,133139,133235,133331,133425,133446,133519,133641,134020,134221,134326,134505,134615,134648
21,MR8026-1,125725,125820,125936,130135,130313,130746,131010,131137,131336,131431,131609,131715,131759,132113,132441,132558,132631,132757,132852,133021,133056,133247,133519,133714,133758,133842,133947,134042,134126,134253,134337,134411,134532,134543,134615,134720,134942,135131,135351,135446,135551,135657
22,MS1953-2,131726,131936,132113,132324,132631,132747,132946,133129,133331,133425,133608,133714,133747,134104,134443,134615,134659,134826,134953,135120,135203,135351,135551,135740,135834,135918,140035,140151,140245,140507,140612,140707,140802,140835,140858,141004,141330,141436,141658,141804,141859,141933
23,MS2259-2,133630,133842,134031,134253,134605,134920,135025,135235,135518,135624,135740,135823,135856,140213,140602,140740,140847,,141109,141225,141319,141519,141709,141933,142008,142102,142229,142323,142406,142534,142628,142744,143006,143049,143133,143249,143649,,,144027,144132,144226
24,MW5645-2,134742,140213,140413,140612,140751,141109,141403,141541,141720,141826,142019,142113,142229,142617,142955,143122,143205,143321,143405,143554,143639,143849,144048,144259,144406,144500,144617,144744,144851,145018,145124,145231,145431,145514,145558,145714,145946,150101,150300,150344,150438,150510
25,MX1517-3,142019,142113,142334,142545,142911,143310,143427,143606,143744,143838,144027,144143,144331,144711,145102,145220,145314,145431,145525,145725,145819,150123,150416,150616,150721,150806,150912,151028,151100,151238,151344,151438,151532,151606,151723,151840,152323,152524,152629,152734,152829,152902
26,MS2243-3,143921,144005,144154,144342,144650,145113,145231,145347,145547,145652,145851,145946,150050,150449,150838,150956,151050,151227,151322,151510,151606,151829,152041,152302,152345,152440,152546,152723,152818,152923,153028,153155,153343,153405,153437,153542,153909,154108,154246,154403,154530,154602
27,MS2365-3,145935,150112,150427,150626,150956,151344,151606,151734,152041,152156,152334,152440,152618,152956,153333,153448,153510,153647,153753,153930,154025,154246,154447,154635,154657,154751,154858,155003,155047,155152,155258,155352,155435,155457,155635,155740,160108,160257,160413,160550,160657,160741
28,MS1903-3,151640,152229,152356,152535,152745,153228,153437,153553,,153847,154047,154130,154319,154646,155025,155214,155247,155352,155435,155624,155718,155907,160057,160318,160413,160507,160624,160813,160848,161026,161132,161310,161437,161521,161542,161710,162037,162142,162320,162447,162614,162708
29,MS1935-2,,153825,154108,154257,154657,155014,155225,155403,155718,155801,160003,160119,160257,160657,161100,161216,161321,,,161826,161921,162142,162342,162552,162646,162741,162848,163015,163059,163238,163343,163416,163522,163554,163617,163806,164136,164306,164518,164635,164730,164803
30,MS1953-3,155058,155718,160025,160318,160635,161100,161248,161521,,161743,161921,162109,162226,162603,162953,163142,163238,163405,163511,163701,163744,164007,164233,164445,164529,164602,164719,164835,164921,165111,165218,165302,165407,165451,165621,165715,170203,170403,170534,170653,170812,170856
31,MR8026-2,,161553,161753,162026,162342,162646,162859,163026,,163438,163617,163744,163806,164148,164529,164719,164740,164921,165016,165302,165356,165621,165832,170046,170130,170235,170341,170457,170609,170800,170845,170950,171023,171056,171214,171330,171755,171901,172145,172239,172356,172450
32,MS2259-3,163015,163427,163650,163902,164306,164921,164943,165037,165240,165312,165502,165547,165654,170024,170403,170520,170714,,,171034,171139,,171553,171744,171816,171901,172007,172112,172207,172334,172429,172534,172618,172650,172817,172956,173311,173631,,,173833,173906
33,MW5645-3,,165037,165334,165621,165832,170130,170319,170424,170642,170725,170917,171056,171139,171457,171838,172007,172112,172229,172323,172512,172629,172839,173028,173301,173344,173439,173558,173714,173809,173952,174058,174208,174345,174419,174442,174600,174949,175116,175359,175505,175625,175709
34,MX1517-4,171150,171424,171553,171838,172145,172439,172545,172712,172945,173017,173206,173301,173501,173820,174208,174334,174419,174600,174633,174811,174905,175105,175421,175636,175709,175753,175922,180017,180112,180217,180311,180406,180545,180607,180629,180745,181102,181313,181538,181655,181801,181834
