,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MR8462-0,,,,,,,,,,,,,,,,,,,,,,,070106,070318,070540,070718,070857,070941,071047,071203,071308,071424,071530,071730,071847,072024
1,MS2365-0,,,,,,,,070106,070245,070340,070424,070508,071003,071224,071413,071530,071646,071730,071858,071952,072119,072202,072329,072846,073140,073308,073457,073647,073803,073930,074035,074152,074320,074542,074803,074921
2,MW2390-0,070941,071025,071108,071203,071341,071446,071825,071930,072130,072213,072308,072340,072835,073057,073247,073446,073603,073709,073836,073930,074035,074130,074247,074730,075005,075310,075532,075638,075721,,,,,080627,080710,081015
3,MW2856-0,072813,072930,073024,073119,,073413,073752,073858,074014,074108,074203,074259,074658,074910,075048,075216,075332,075427,075616,075710,075826,075920,080037,080543,080805,081131,081321,081448,081625,081846,081940,082119,082235,082446,082624,082824
4,MW3053-0,073836,074815,074921,075037,075300,075448,075754,075920,080026,080248,080405,080449,081058,081520,081835,082119,082224,082329,082457,082551,082740,082824,083003,083520,083806,084039,084249,084416,084637,084911,085016,085143,085342,085647,085847,090204
5,MR8026-0,080459,081037,081131,081215,081404,081509,081846,082014,082213,082318,082446,082540,083258,083626,083900,084028,084217,084311,084521,084637,084743,084849,085016,085542,085825,090047,090215,090321,090415,090532,090648,090825,091003,091141,091330,091709
6,MS1935-0,082424,084238,084333,084449,084743,,085216,085342,085436,085658,085752,085847,090459,090720,090931,091058,091258,091403,091614,091719,091836,091920,092047,092524,092747,093020,093114,093221,093304,093453,093609,093736,093946,094156,094345,094512
7,MS2259-0,082435,082530,082646,082751,083057,,083733,083933,084028,084300,084405,084449,085342,085825,090047,090226,090459,090604,,090858,091036,091131,091258,091825,092120,092418,092652,092820,093031,093221,093358,093547,093703,093946,094113,094251
8,MR8462-1,090025,090153,090258,090354,090553,090720,091120,091214,091236,091457,091614,091647,092237,092451,092652,092820,092958,093053,093221,093326,093453,093547,093703,094146,094418,094555,094733,094849,095049,095311,095428,095533,095649,095921,100110,100249
9,MW2390-1,093902,093946,094040,094146,094418,094606,094933,095144,095249,095333,095417,095511,095954,100259,100523,100639,100755,100849,101049,101154,101248,101343,101510,101933,102206,102450,102627,102805,102943,103110,103216,103355,103533,103744,103921,104230
