,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4837-0,,,,,,,,,,,,,,,,070105,070116,070358
1,MW5132-0,,,,,,,,,,,070105,070651,070912,071016,071121,071206,071249,071603
2,MW5594-0,,,,,,,,070105,070116,070557,070723,071741,071951,072108,072214,072257,072423,072644
3,MW4366-0,070200,070348,070744,070850,071006,071038,071217,071322,071354,071813,071951,073125,073357,073523,073628,073722,073805,074216
4,MW4503-0,,072246,072518,072738,072905,072937,073210,073314,073357,073827,074142,075128,075342,075520,075646,075729,075834,080137
5,MW4619-0,,073052,073314,073513,073617,073711,073805,073901,073933,074519,074814,,080116,080222,080327,080402,080517,080749
6,MP6361-0,073722,073805,074110,074227,074342,074436,074519,074625,074657,075056,075258,080340,080601,080717,080822,080854,080916,081209
7,MW4557-0,074458,074708,075045,075225,075330,075404,075531,075625,075719,080222,080424,081557,081817,082050,082144,082300,082343,082648
8,MW4781-0,075330,075603,075834,,,080232,080316,080402,080445,,081231,082332,,082721,082827,082921,083036,083424
9,MW4837-1,080350,080717,080948,081042,081220,081314,081430,081535,081619,082101,082300,083246,083456,083633,083748,083832,083925,084219
10,MW5132-1,081441,081712,082007,082216,082311,082417,082500,082554,082648,083151,083308,084334,084555,084732,084848,084942,085058,085507
11,MW5645-0,082354,082605,082859,083025,083141,083214,083341,083434,083507,083936,084135,085236,085457,085635,085750,085906,090044,090326
12,MW5124-0,083047,083308,083611,083821,083936,084009,084103,084157,084240,084743,084942,090200,090420,090557,090713,090818,090934,091344
13,MW5594-1,084030,084135,084417,084616,084721,084826,084953,085036,085130,085602,085740,091110,091333,091510,091616,091659,091825,092142
14,MW4229-0,084555,084754,085025,085226,085341,085435,085551,085646,085740,090211,090337,091416,091627,091731,091825,091909,092036,092435
15,MW4366-1,085119,085319,085844,090033,090138,090211,090305,090348,090431,090955,091153,092319,092540,092717,092823,092917,093022,093248
