,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070159,070655,070927,071138,071349,071517,071613,071708,071802,071857,072003,072214,072331,072437
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070210,070305,070349,070611,070706,070738,071306,071528,071708,071751,071846,071918,072036,072130,072225,072258,072414,072924,073147,073336,073515,073642,073737,073916,074022,074116,074243,074454,074610,074737
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070221,070349,070506,070749,070855,070927,071022,071105,071200,071635,071908,072036,072152,072247,072352,072542,072615,072721,072754,072935,073431,073704,074000,074105,074210,074411,074538,074632,074737,074904,075054,075221,075327
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,070103,070116,070254,,070549,070644,070738,070855,070927,071000,071116,071444,071813,,072108,072236,072309,072425,072553,073008,073220,073420,073821,073949,074032,074254,074348,074443,,075221,075411,075549,,075801,075928,080025,080153,080226,080342,080852,081116,081316,,081614,081658,082004,082154,082344,082606,,082712,083113
4,MS1935-0,,,,,,,,,,,,,070103,070210,070611,070749,070833,071044,071105,071233,071317,071506,071708,071929,072046,072258,072425,072531,072710,072732,072850,072946,073030,073158,073325,073715,073927,074116,074221,074337,074421,074610,074726,,075433,075505,075844,080003,080036,080259,080353,080417,080924,081149,081349,081539,081709,081814,082004,082132,082311,082405,082522,083008,083230,083442,083559,083748,083915,084149,084306,084436,084541,084804,,085312
5,MW3053-0,,070103,070232,070411,070549,070811,071000,071105,071211,071306,071444,071602,071646,072003,072341,072509,072553,072721,072818,072946,073019,073231,073526,073748,073821,073927,074105,074210,074337,074432,074527,074610,074643,074716,074821,075138,075243,075505,075600,075706,075750,080058,080226,080651,080902,081138,081444,081602,081825,081910,082048,082132,082840,083124,083358,083610,083748,083904,084105,084211,084402,084458,084731,085239,085535,085852,085958,090055,090223,090350,090458,090614,090742,091026,091216,091322
6,MS2365-0,072046,072130,072414,072743,073030,073420,073653,073843,074210,074254,074454,074621,074832,075232,075633,075834,075918,080047,080204,080331,080417,080629,080913,081127,081222,081422,081614,081647,081910,082004,082037,082143,082205,082238,082405,082756,082957,083113,083241,083336,083420,083643,083810,084211,084402,084509,084910,085048,085228,085334,085450,085535,090117,090436,090625,090826,091015,091110,091300,091417,091534,091641,091809,092317,092614,092826,092953,093121,093238,093523,093641,093819,093925,094106,094234,094457
7,MW2390-1,073927,074305,074632,074915,075200,075549,075706,075855,080025,080131,080342,080501,080556,080924,081305,081433,081517,081709,081803,081943,082026,082354,082617,083030,083230,083420,083537,083632,083748,083854,083937,084021,084116,084211,084350,084709,084848,085004,085143,085301,085345,085546,085641,090011,090150,090306,090647,090731,090826,090920,090953,091026,091853,092106,092244,092436,,,,,093110,093216,093344,093842,094128,094329,094414,094614,094805,094911,095028,095207,095313,095558,095704,095832
8,MW2856-0,,075633,075844,080109,080450,080757,081030,081149,081305,081349,081602,081658,081752,082132,082555,082829,082913,083040,083135,083347,083453,083821,084116,084458,084625,084837,085015,085121,085301,085356,085501,085557,085641,085703,085842,090150,090306,090509,090658,090753,090826,091026,091132,091546,091703,091853,092200,092339,092436,092709,092826,092909,093714,094032,094245,094425,094531,094658,094827,,095050,095145,095324,095832,100200,100350,100508,100658,100849,101018,101146,101315,101433,101731,101858,102015
9,MS1695-1,,081233,081602,081741,082205,082511,082650,082818,083113,083209,083347,083504,083704,084021,084402,084530,084603,084742,084837,085004,085059,085250,085524,085925,090055,090245,090414,090520,090731,090847,091015,091143,091205,091238,091344,091618,091725,091926,092022,092116,092149,092306,092425,092709,092942,093026,093311,093439,093523,093725,093853,093947,094753,095101,095324,095452,095610,095653,095810,095916,100055,100139,100306,100742,101007,101135,101326,101455,101603,101731,101909,102004,102132,102345,102524,102758
