,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070131,070229,070346,070835,071036,071243,071349,071444,071539,071613,071718,071815,071920,072038,072122,072243
1,MS5097-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070131,070314,070409,070453,070526,071003,071217,071400,071506,071624,071707,071826,071920,072016,072111,072208,072704,072931,073110,073218,073346,073514,073558,073652,073811,073917,074055,074223,074307
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070204,070846,071047,071231,071528,071646,071804,071859,071953,072038,072451,072704,072836,073004,073059,073154,073324,073419,073514,073558,073652,074149,074436,074658,074826,074932,075026,075121,075205,075300,075355,075646,075803,075858
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070153,070240,070357,070442,070515,070633,070654,070727,070846,071204,,071602,071646,071804,071848,071953,072100,072514,,072750,073110,073218,073441,073652,073811,073844,,074625,074815,074921,075048,075143,,075417,075551,075646,075752,080300,080605,080756,080824,081134,081221,081444,081614,081743,081900,082049,082145,082326
4,MW3430-0,,,,,,,,,,,,,,070106,070420,070548,070621,070727,070846,071025,071058,071243,071455,071707,071804,072005,072143,072243,072424,072503,072608,072652,072739,072802,072920,073239,073430,073703,073749,073844,073949,,,,074859,074954,075300,075417,075613,075708,075803,075836,080406,080650,080900,080955,081112,081210,081327,081433,081551,081636,081805,082315,082622,082822,083023,083129,083326,083432,083538,083633,083739,084002,084204,084250
5,MW2856-0,,070106,070120,070240,070336,070515,070537,070643,070802,070835,071025,071109,071143,071433,071815,071920,071953,072100,072132,072254,072316,072440,072630,072824,072931,073110,073229,073324,073536,073609,073641,073738,073800,073822,073928,074200,074340,074519,074614,074731,074815,074921,075015,075814,075941,080025,080333,080439,080605,080701,080756,080835,081316,081506,081720,081827,081922,082019,082122,082219,082304,082337,082505,082939,083217,083443,083549,083739,083845,083940,084057,084153,084323,084514,084620,084812
6,MW3053-0,,072154,072400,072536,072750,073154,073346,073441,073558,073641,073906,073938,074044,074414,074804,074910,074932,075048,075132,075300,075355,075518,075741,075952,080036,080216,080344,080428,080544,080616,080701,080756,080824,080848,081006,081243,081444,081636,081743,081911,081932,082111,082219,082410,082549,082738,083023,083140,083230,083505,083600,083655,084131,084407,084609,084749,084855,084950,085118,085203,085321,085405,085544,090029,090304,090537,090715,090834,091002,091129,091226,091320,091448,091638,091839,091955
7,MW3528-0,073312,075602,075708,075847,080120,080406,080544,080712,080911,081006,081146,081254,081411,081743,082145,082315,082359,082538,082622,082749,082833,083045,083315,083527,083622,083834,084002,084046,084250,084334,084407,084536,084609,084632,084800,085128,085237,085511,085555,085701,085745,085912,090040,090559,090800,090951,091320,091459,091616,091733,091828,091912,092442,092802,093014,093141,093311,093427,093618,093724,093924,093956,094220,094727,095044,095342,095532,095710,095805,095932,100039,100155,100324,100515,100705,100919
8,MW2390-1,,074519,074636,074815,075037,075322,075429,075529,075741,075814,075952,080058,080227,080533,080900,081028,081101,081221,081316,081433,081506,081647,081900,082049,082145,082315,082422,082527,082633,082717,082800,082939,083001,083034,083140,083421,083527,083644,083750,083907,083951,084109,084204,084855,085045,085237,085544,085650,085818,085912,090018,090051,090515,090715,090845,090951,091056,091140,091258,091353,091510,091605,091733,092155,092409,092643,092802,092919,093014,093108,093203,093322,093427,093545,093629,093735
9,MS5097-1,,081101,081316,081455,081720,082005,082038,082134,082242,082337,082454,082527,082633,082939,083337,083443,083516,083644,083717,083845,083940,084109,084334,084536,084620,084800,084928,085001,085150,085237,085310,085354,085427,085449,085606,085839,090018,090156,090304,090358,090431,090548,090917,091045,091258,091448,091850,091934,092028,092123,092207,092242,092750,092941,093108,093203,093322,093427,093640,093735,093902,094030,094231,094738,095044,095353,095532,095710,095805,095943,100050,100206,100335,100632,100654,100824
