,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
21,MX1708-2,133111,133343,133510,133710,133921,134215,134458,134857,135519,135603,135730,135857,140003,140320,140658,140814,140858,141024,141130,141320,141415,141553,141813,142013,142057,142140,142245,142350,142424,142635,142729,142803,142932,143004,143026,143132,143418,143513,143650,143807,143901,143944
22,MX1545-3,135246,135508,135657,135908,140225,140625,140741,141309,141625,141719,141908,142002,142151,142540,142953,143132,143216,143333,143440,143701,143756,143955,144155,144418,144513,144606,144722,144839,144944,145143,145344,145556,145723,145839,145944,150112,150427,150627,150806,150921,151037,151131
23,MS2365-3,140836,141625,141824,142057,142403,142707,143300,143807,144123,144251,144451,144556,144711,145038,145440,145618,145723,145828,145934,150102,150156,150406,150648,150900,150943,151037,151142,151341,151425,151710,151741,151831,152018,152054,152217,152333,152743,152851,153050,153205,153332,153426
24,MX1582-3,143712,144018,144228,144429,144744,145122,145312,145650,145944,150051,150217,150311,150417,150755,151204,151320,151425,151619,151643,151854,152018,152250,152447,152658,152743,152830,152923,153133,153238,153405,153459,153615,153658,153742,153859,154004,154330,154424,154635,154740,154846,154919
25,MX1614-3,145922,150156,150355,150532,150921,151309,151551,152134,152614,152658,152851,153007,153050,153426,153814,153921,154015,154204,154258,154446,154540,154813,155035,155246,155340,155435,155550,155719,155824,160013,160129,160307,160436,160509,160601,160726,161116,161305,161621,161715,161820,161853
26,MX4068-2,,151806,152054,152301,152647,153122,153448,153921,154225,154319,154540,154646,154740,155130,155518,155657,155741,155952,160046,160245,160403,160705,160905,161116,161159,161243,161359,161453,161537,161704,161809,161904,161958,162041,162146,162323,162618,162819,163050,163144,163300,163333
27,MX1641-0,153731,153921,154225,154435,154813,155141,155319,155802,160140,160256,160509,160748,160854,161243,161654,161820,161904,162052,162146,162356,162503,162808,163112,163333,163427,163532,163638,163816,163921,164109,164243,164318,164425,164508,164614,164722,165027,165205,165426,165531,165647,165720
28,MS1935-2,155046,155246,155507,155719,160057,160643,160821,161211,161621,161748,161936,162030,162146,162557,162956,163144,163300,163510,163553,163806,163932,164340,164603,164828,164922,165017,165154,165320,165415,165614,165730,165835,170036,170130,170247,170415,170824,171035,171257,171445,171602,
29,MX1698-2,,160832,161126,161842,162041,162334,162513,162756,163112,163239,163510,163638,163827,164243,164646,164818,164922,165132,165215,165404,165520,165824,170036,170247,170341,170436,170541,170708,170813,171056,171151,171225,171351,171424,171456,171613,,,,,,
30,MX1708-3,161359,162157,162735,163206,163616,163943,164059,164318,164614,164708,164850,164933,165110,165426,165803,165941,170036,170214,170258,170509,170614,170835,171107,171330,171413,171507,171613,,,,,,,,,,,,,,,
31,MX1483-0,,164603,165110,165520,165930,170214,170341,170509,170751,170941,171203,171351,171550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MX1545-4,165353,165636,170036,170404,170803,171203,171340,171602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MS2365-4,170309,171518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
