,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA6482-0,,,,,,,,,,,,,,,,,-1,-1
1,MW4503-0,,,,,,,,,,,1,-1,-1,1,1,-1,-1,-1
2,AA7536-0,,,,,,,,,1,,1,-1,-1,1,1,-1,-1,-1
3,MW4229-0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
4,AA7842-0,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
5,MW4619-0,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
6,MW4647-0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
7,AA6952-0,1,,,,,,,1,1,1,1,,-1,1,1,-1,-1,-1
8,AA7488-0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,,,,-1
9,MW4825-0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
10,AA7149-0,1,1,1,1,1,1,,,,1,1,-1,-1,1,1,-1,-1,-1
11,AA7101-0,,,1,1,1,1,1,1,1,1,,,,,1,-1,-1,-1
12,AA7492-0,1,,1,1,1,1,1,1,1,,1,-1,-1,1,1,-1,-1,-1
13,AA6482-1,,,,1,1,1,1,1,1,1,,-1,,,,,,-1
14,AA7637-0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
15,MW4503-1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
16,AA7536-1,,,,1,1,1,1,1,1,,1,,-1,1,1,-1,-1,-1
17,MW4229-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
18,AA7530-0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
19,MW4619-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
20,MP5824-0,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
21,MW4647-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
22,AA6952-1,1,1,1,1,1,1,1,1,1,,1,-1,-1,1,1,-1,-1,-1
23,AA7706-0,1,,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
24,AA7488-1,,1,1,1,1,1,1,1,1,1,1,,-1,1,1,-1,-1,-1
25,AA7149-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
26,AA6482-2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
27,AA7492-1,1,1,1,1,1,1,1,1,1,,1,-1,-1,1,1,-1,-1,-1
28,MW4503-2,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
29,AA7536-2,1,1,1,,,,,,,,,,-1,1,1,-1,-1,-1
30,MW4229-2,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
31,AA7530-1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
32,MP5824-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
33,MW4825-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
34,MW4619-2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
35,MW4647-2,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
36,AA7488-2,,1,,,,1,1,1,1,,1,-1,-1,1,1,-1,-1,-1
37,AA7149-2,,,,,1,1,1,1,1,1,1,-1,-1,,,,-1,-1
38,AA6482-3,,,,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
39,AA7492-2,1,,1,1,1,1,1,1,1,,1,-1,,,1,-1,-1,-1
40,MW4503-3,,,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
41,AA7536-3,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
42,MW4229-3,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
43,MP5824-2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
44,MW4619-3,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
45,AA6952-2,1,,1,1,1,1,1,1,1,,1,-1,,,,,,-1
46,AA7488-3,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
47,MW4647-3,,,,,,,,,,1,1,-1,-1,1,1,-1,-1,-1
48,AA7149-3,,,1,,,,,,1,1,1,-1,-1,1,1,-1,-1,-1
49,AA6482-4,1,1,,,,,,,,1,1,,,1,1,-1,-1,-1
50,AA7492-3,1,,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
51,MW4503-4,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
52,MW4229-4,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
53,AA7101-1,1,1,1,1,1,1,1,1,1,,,,,,,,,-1
