,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4229-0,,,,,,,,,,,,,111658,111710,111824,111929,112024,112357
1,MW4366-0,,,,,,,,,,,111658,112313,112604,112803,112909,112951,113056,113438
2,MW4705-0,,,,,,,,,111658,111846,112128,113303,113552,113645,113800,113842,113956,114235
3,MW4825-0,112003,112045,112346,112522,112625,112708,112836,112930,113013,113552,113717,114712,114909,115107,115210,115325,115407,115906
4,MW4503-0,113417,113520,113914,114018,114132,114235,114328,114421,114504,115056,115336,120415,120705,120901,121026,121130,121245,121712
5,MW4557-0,114722,115117,115429,115659,115813,115856,120042,120145,120249,120715,120922,122024,122149,122402,122506,122609,122724,123036
6,MW4647-0,120425,120529,120819,120944,121047,121140,121235,121349,121431,122003,122231,123327,123618,123804,123908,123950,124106,124428
7,MW4781-0,122013,,,122444,122548,122641,122724,122850,122932,123513,123700,124759,124956,125203,125307,125339,125515,125733
8,MW4837-0,123213,123409,123857,124002,124106,124149,124345,124438,124552,125028,125224,130429,130730,130858,131013,131106,131220,131625
9,MW4856-0,125017,125110,125422,125629,125743,125826,125940,130024,130107,130637,130930,132019,132133,132308,132413,132516,132620,132920
10,MW5594-0,130242,130501,130803,130930,131034,131106,131241,131335,131428,131936,132111,133149,133303,133439,133542,133625,133750,134209
11,MW4366-1,131925,132029,132402,132631,132745,132838,133045,133149,133231,133646,133822,134928,135218,135404,135508,135602,135655,135945
12,MW4503-1,,,133845,134115,134220,134252,134500,134637,134730,135343,135634,140710,141001,141230,141356,141510,141625,142032
13,MW4557-1,134719,134949,135343,135623,135748,135820,140038,140141,140245,140835,141033,142240,142532,142709,142813,142917,143010,143404
14,MW4647-1,140059,140317,140638,140731,140856,140940,141105,141158,141302,141812,142053,143218,143518,143656,143810,143914,144017,144432
15,MW4781-1,141438,141856,142053,142229,142333,142407,142511,142637,142740,143300,143436,,144848,145046,145150,145222,145325,145823
16,MW4837-1,143114,143300,143738,143903,144007,144049,144153,144235,144349,144930,145128,150332,150622,150830,150945,151110,151224,151700
17,MW4856-1,144753,,145128,145243,,145439,145533,145636,145740,,150550,151907,152158,152334,152511,152604,152718,153032
18,MW5594-1,145949,150239,150550,150726,150841,150945,151110,151224,151307,151742,151928,153451,153741,153938,154103,154207,154310,154653
19,MW4366-2,,151950,152251,152356,152521,152625,152708,152835,152939,153441,153637,154818,155119,155328,155431,155535,155711,160211
20,MW4503-2,153252,153430,153752,153856,154031,154103,154238,154403,154446,155004,155307,160554,160856,161114,161218,161332,161518,161903
21,MW4557-2,154135,154403,154725,154954,155057,155151,155349,155618,155700,160211,160346,161550,161655,161852,161956,162059,162224,162547
22,MW4619-0,154757,155057,155453,155557,155700,155743,155951,160117,160200,160615,160949,161935,162235,162411,162515,162619,162712,163210
23,MW4647-2,155753,155857,160211,160336,160451,160605,160835,161000,161042,161550,161945,162931,163221,163428,163542,163707,163811,164247
24,MW4705-1,155940,160304,160615,160740,160846,160928,161032,161218,161300,161935,162235,163521,163821,164029,164132,164257,164412,164755
25,MW4781-2,161053,,,,161634,161749,161820,162028,162110,162640,162848,164111,164402,164702,164816,164910,165024,165335
26,MW4825-1,161613,161738,162028,162152,162256,162328,162515,162619,162651,163231,163428,164651,164952,165149,165253,165346,165522,165910
27,MW5084-0,162526,162712,162941,163106,163221,163324,163417,163542,163635,164100,164340,165232,165533,165753,165859,170003,170128,170615
28,MW4846-0,162859,163635,163936,164039,164204,164236,164444,164641,164734,165232,165418,170554,170858,171126,171230,171334,171500,172018
29,MW4856-2,164215,,,,164921,165024,165335,165439,165544,,170439,171542,171843,172050,172215,172319,172402,172838
30,MW5124-0,164859,165107,165335,165512,165639,165743,165825,165931,170025,170543,170742,171936,172226,172434,172548,172641,172807,173243
31,MW5594-2,165533,165753,170025,170221,170325,170450,170543,170658,170752,171334,171532,172724,173003,173150,173325,173429,173605,174032
32,MW4229-1,170604,170719,171044,171230,171407,171553,171800,171936,172050,172703,172932,174419,174719,174928,175043,175136,175334,175753
33,MW4366-3,171230,171407,171707,171832,171936,172050,172215,172351,172434,173035,173221,174429,174719,175000,175104,175147,175334,175814
34,MW4837-2,171728,171947,172309,172434,172559,172703,172817,172910,173003,173543,173730,175011,175302,175534,175638,175742,175907,180251
35,MW4503-3,172247,172506,172807,173035,173139,173253,173408,173522,173605,174147,174501,175556,175846,180137,180251,180356,180511,180824
36,MW4557-3,173107,173315,173616,173823,173939,174043,174250,174408,174501,175022,175240,180333,180627,180834,181000,181104,181229,181625
37,MW4825-2,,,,173907,174229,174346,174554,174751,174834,175251,175502,180522,180824,180949,181053,181136,181240,181657
38,MW4619-1,174115,174157,174501,174637,174802,174856,,175219,175312,175856,180114,181114,181407,181604,181750,181856,182032,182346
39,MW4647-3,174845,175000,175302,175440,175556,175649,175803,175928,180011,180533,180752,182053,182357,182647,182803,182907,183031,183446
40,MW4705-2,175617,175856,180147,180251,180418,180511,180638,180752,180856,181500,181822,183031,183321,183600,183715,183840,184026,184534
41,MW4781-3,180949,,181345,181500,181604,181647,181949,182208,182251,,183135,184202,184441,184648,184752,184856,185043,185614
42,MW5084-1,181907,182125,182439,182625,182803,182845,183042,183404,183457,183912,184327,185322,185625,185811,185914,185957,190050,190505
43,MW4846-1,183053,183300,183611,183818,183922,184016,184151,184358,184451,185011,185239,190444,190755,190942,191045,191149,191242,191802
44,MW4856-3,184048,,184523,184638,,184835,185114,185311,185343,185936,190215,191242,191533,191658,191813,191846,192000,192318
45,MW5124-1,185125,185239,185540,185656,185811,185853,190050,190153,190257,190849,191035,192153,192318,192515,192618,192711,192836,193256
46,MW5594-3,185914,190308,190558,190827,190931,191045,191314,191501,191533,191950,192121,193139,193256,193442,193545,193628,193732,194125
47,MW4366-4,191605,191741,192044,192225,192350,192453,192608,192711,192825,193317,193514,194750,195008,195154,195319,195412,195537,195920
48,MW4503-4,192836,193036,193306,193431,193545,193710,193804,193857,193950,194428,194707,195744,195941,200128,200231,200335,200439,200814
49,MW4619-2,194843,194925,195226,195444,195548,195630,195816,195952,200045,200543,200856,202008,202215,202423,202537,202630,202723,203138
50,MW4557-4,200522,200719,201000,201125,201250,201322,201543,201718,201812,202308,202444,203533,203741,203918,204025,204057,204211,204615
51,MW4647-4,,202215,202455,202620,202734,202816,203045,203159,203303,203834,204129,205210,205428,205649,205758,205840,210005,210316
52,MW4781-4,203522,203730,203952,204107,204222,204254,204512,204647,204719,205221,205418,210754,210943,211129,211246,211328,211411,211755
53,MW5084-2,205128,205314,205553,205649,205747,205830,205955,210048,210151,210608,210828,211826,212026,212202,212305,212349,212503,212825
54,MW4856-4,210921,,211224,211442,211609,211640,211933,212119,212151,212639,212753,213907,214107,214305,214408,214502,214648,214951
55,MW5594-4,212212,212556,212907,213001,213125,213157,213346,213418,213521,214035,214201,215209,215500,215614,215718,,,
56,MW4366-5,214254,214336,214637,214835,214951,215033,215241,215356,215500,,,,,,,,,
