,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS2365-0,,,,,,,,,,,,,,,,,,,,,,,,,,111658,111731,111845,111939,112114,112207,112311,112429,112657,112847,113002
1,MS1903-0,,,,,,,,,,,,,,111658,111721,111824,111928,112011,112218,112322,112429,112532,112657,113200,113441,113639,113804,113930,114046,114233,114358,114524,114701,114837,115013,115128
2,MX1537-0,,,114035,114201,114409,114546,114848,115035,115304,115523,115638,115720,120322,120625,120855,121009,121155,121333,121509,121614,121718,121822,121949,122519,122821,123050,123309,123423,123516,123641,123806,124014,124210,124428,124636,124750
3,MS1953-0,114452,115846,115939,120125,120322,120428,120729,120811,120948,121031,121155,121239,121811,122135,122322,122416,122530,122612,122759,122842,122957,123050,123154,123713,123952,124139,124357,124500,124646,124750,124845,124959,125125,125300,125428,125532
4,MS2025-0,121906,122020,122135,122311,122602,122727,123039,123143,123216,123423,123527,123609,124045,124242,124439,124625,124802,124917,125053,125135,125239,125345,125510,130000,130208,130449,130604,130657,130846,131105,131219,131356,131531,131843,132050,132215
5,MW5645-0,123101,124242,124418,124532,124739,124906,125250,125356,125438,125657,125822,125907,130500,130718,130939,131054,131230,131345,131459,131603,131707,131750,131925,132444,132734,132921,133056,133243,133336,133429,133543,133708,133823,134043,134219,134345
6,MX1517-0,130147,130230,130345,130449,130657,130814,131126,131230,131312,131406,131510,131603,132205,132402,132548,132641,132817,132921,133056,133200,133304,133336,133450,133949,134230,134438,134615,134740,134856,135022,135126,135314,135450,135730,135928,140043
7,MS2243-0,132008,132247,132340,132506,132641,132745,133118,133200,133346,133615,133658,133740,134209,134417,134615,134730,134846,134950,135126,135231,135357,135439,135605,140115,140355,140521,140635,140749,141018,141133,141248,141413,141549,141724,141838,142057
8,MS2365-1,132756,134147,134241,134334,134543,134626,135011,135115,135231,135450,135626,135720,,140521,140739,140842,141039,141205,141341,141456,141621,141714,141900,142431,142742,142929,143137,143303,143356,143533,143648,143752,143918,144128,144232,144502
9,MS1903-1,135720,135856,135939,140021,140218,140355,140707,140821,140914,141018,141111,141154,141559,141807,142036,142139,142315,142409,142545,142628,142752,142836,143022,143511,143834,144035,144139,144325,144430,144710,144824,145000,145240,145543,145740,145856
10,MX1537-1,141621,141838,141921,142036,142222,142420,142721,142908,142950,143231,143407,143511,144024,144243,144451,144606,144741,144906,145053,145208,145301,145356,145521,150021,150312,150554,150719,150856,151000,151300,151507,151645,151831,152132,152329,152527
11,MS1953-1,142441,143834,143940,144107,144253,144440,144813,144906,145021,145240,145418,145511,150032,150251,150522,150637,150802,150928,151135,151239,151353,151507,151634,152225,152455,152713,152839,152921,153025,153348,153545,153742,153918,154125,154250,154637
12,MS2025-1,145740,150000,150043,150136,150323,150428,150730,150823,151042,151146,151300,151343,151956,152236,152434,152516,152745,152921,153046,153139,153243,153348,153524,154043,154322,154627,154741,154928,155043,155322,155614,155845,160104,160239,160356,160707
13,MW5645-1,151053,152329,152413,152537,152745,152849,153150,153315,153503,153732,153907,153950,154544,154846,155115,155240,155510,155646,155833,160000,160136,160239,160438,161039,161340,161630,161805,161920,162035,162325,162845,163250,163447,163706,163820,164038
14,MX1517-1,154229,154333,154429,154544,154803,155022,155356,155500,155553,155801,155907,155949,160406,160635,160842,160946,161226,161319,161526,161619,161723,161816,161941,162440,162720,162917,163114,163218,163332,163624,163820,164422,164743,165012,165148,165334
15,MS2243-1,160500,160656,160811,160853,161028,161237,161558,161651,161805,162035,162200,162243,162659,163010,163229,163343,163540,163634,163820,163913,164038,164121,164246,164754,165054,165252,165449,165616,165825,170208,170521,170938,171518,171821,171935,172226
16,MS2365-2,162430,162555,162648,162752,162917,163042,163354,163519,163645,163903,164007,164049,164515,164743,165012,165054,165219,165302,165428,165532,165637,165742,165857,170407,170718,170917,171021,171157,171354,171645,172133,172620,172921,173317,173453,173733
17,MS1903-2,,,,164650,164908,164951,165302,165417,165521,165616,165742,165835,170333,170553,170802,170856,171032,171135,171321,171436,171540,171635,171810,172319,172620,172932,173014,173213,173410,173629,173805,174813,175513,175859,180035,180233
18,MS1953-2,171821,172050,172143,172236,172506,172559,172849,173004,173046,173255,173421,173503,173920,174128,174336,174440,174627,174731,174917,175053,175147,175251,175419,175942,180315,180607,180753,181012,181117,181544,181700,181836,182150,182442,182556,182742
19,MX1537-2,173255,173910,174014,,174408,174544,175011,175136,175240,175513,175650,175743,180233,180535,180815,180951,181357,181501,181710,,181950,182046,182232,182825,183158,183449,183625,183739,183957,184133,184319,184456,184631,184839,185005,185306
20,MS2025-2,174731,174949,175043,175208,175323,175440,175754,175910,180035,180305,180452,180546,181055,181314,181554,181710,181836,181950,182129,182243,182420,182524,182649,183158,183439,183718,183832,183947,184215,184434,184538,184652,184807,185026,185213,185410
21,MW5645-2,180035,180951,181055,181148,181325,181408,181753,181857,182024,182315,182535,182618,183126,183417,183636,183750,183915,184019,184205,184308,184434,184527,184703,185151,185442,185721,185857,185950,190045,190408,190605,190741,190846,191001,191126,191230
22,MX1517-2,182950,183043,183126,183220,183356,183500,183832,183925,184040,184258,184434,184517,185015,185306,185524,185721,185836,185939,190128,190232,190408,190440,190626,191115,191346,191543,191648,191751,191928,192045,192151,192306,192420,192659,192846,192939
23,MS2243-2,185047,185234,185317,185431,185700,185753,190139,190243,190419,190709,190846,190929,191439,191637,191834,191950,192119,192202,192337,192430,192606,192659,192803,193250,193532,193740,193928,194032,194240,194417,194543,194740,194846,195032,195209,195346
24,MS2365-3,191251,191346,191439,191543,191751,191834,192234,192337,192430,192720,192846,192917,193322,193553,193812,193907,194011,194104,194218,194322,194428,194521,194657,195136,195356,195626,195730,195834,200000,200115,200219,200334,200449,200636,200740,200846
25,MS1903-3,,,,193824,194032,194114,194407,194500,194636,194856,195000,195043,195532,195730,195939,200054,200158,200240,200407,200449,200625,200729,200846,201323,201615,201845,202032,202157,202322,202436,202529,202654,202830,203110,203245,203410
26,MS1953-3,202426,202519,202622,202737,202851,203016,203307,203410,203535,203629,203733,203815,204316,204608,204744,204859,205006,205114,205239,205333,205447,205540,205711,210210,210512,210731,210859,211045,211138,211244,211400,211503,211620,211827,212015,212119
27,MS2025-3,204629,204805,204837,204953,205136,205229,205458,205603,205754,210024,210128,210210,210710,210920,211106,211211,211326,211410,211535,211608,211702,211755,211922,212410,212650,212804,212858,213001,213158,213313,213418,213533,213648,213803,213918,214045
28,MW5645-3,205711,211117,211211,211326,211453,211630,211922,212037,212212,212316,212410,212453,213001,213148,213357,213512,213616,213709,213846,214003,214128,214200,214325,214824,215055,215220,215356,215501,215627,215752,,,,,,
29,MX1517-3,,213408,213501,213554,213709,213907,214149,214242,214440,214555,214637,214730,215220,215407,215543,215648,215742,215824,,,,,,,,,,,,,,,,,,
