,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070143,070659,070921,071111,071230,071336,071431,071526,071621,071726,071821,072010,072150,072255
1,MW3496-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070437,,,,,,,,,,,,,,,,,,,,070108,,,,,,,071217,071336,071442,071537,071653,071759,071853,071937,072106,072636,072859,073059,073205,073322,073449,073543,073700,073733,073839,074100,074122,074206
2,MS5097-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070321,070448,070615,070859,070954,071144,071230,071336,071409,071821,072022,072201,072255,072350,072424,072541,072636,072742,072826,072920,073405,073638,073850,074006,074122,074230,074336,074441,074558,074714,074935,075008,075102
3,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070205,070343,070416,070448,070543,070604,070626,070743,071038,071230,071336,071420,071537,071610,071737,071842,072139,072317,072446,072731,072837,073026,073110,073154,073238,073700,073901,074049,074217,074314,074409,074525,074619,074725,074757,074902,075409,075620,075852,080031,080137,080242,080337,080420,080515,080642,080842,081031,081126
4,MS2259-0,,,,,,,,,,,,,,070108,070216,070332,070405,,,070659,070721,070910,071133,071358,071442,071621,071737,071832,071959,072033,072117,072223,072255,072328,072435,072709,072848,,073110,,,,073121,073839,074039,,074325,074430,074619,074703,074746,074819,075314,075514,075642,075725,075820,075914,,,,080253,,080820,081042,081315,081504,081621,081726,081810,081937,082031,082053,082220,,082358
5,MW3430-0,070108,070216,070416,070604,070743,070943,071133,071241,071431,071526,071632,071726,071810,072150,072552,072709,072804,072920,073004,073132,073205,073332,073606,073817,073944,074144,074314,074420,074558,074641,074714,074746,074841,074924,075041,075347,075453,075620,075725,075852,075936,080126,080242,080620,080747,080831,081137,081232,081421,081526,081643,081715,082220,082442,082631,082747,082914,082958,083137,083243,083349,083443,083611,084149,084422,084611,084814,084919,085014,085120,085215,085354,085510,085710,085911,090027
6,MW2856-0,,,072010,072139,072328,072519,072603,072658,072753,072826,073059,073216,073405,073755,074133,074303,074325,074430,074525,074652,074725,074852,075102,075314,075409,075609,075736,075842,080053,080159,080242,080348,080431,080504,080620,080947,081115,081254,081337,081454,081526,081726,081842,082231,082431,082620,082903,083020,083220,083316,083400,083505,084044,084317,084506,084611,084729,084858,085036,085142,085237,085332,085448,085921,090155,090303,090504,090631,090811,090905,091011,091149,091306,091444,091646,091803
7,MW3053-0,073405,073438,073700,073901,074049,074303,074347,074441,074630,074714,074841,074924,075030,075409,075747,075936,080010,080126,080231,080359,080431,080620,080842,081042,081137,081326,081454,081548,081737,081842,081915,081947,082042,082114,082231,082609,082736,082947,083031,083158,083254,083454,083600,,083927,084116,084444,084600,084814,084909,084952,085036,085532,085743,085921,090038,090123,090217,090336,090420,090537,090620,090715,091200,091444,091646,091846,092025,092120,092246,092352,092458,092615,092817,093029,093123
8,MW2390-1,,075125,075220,075347,075442,075714,075809,075914,080053,080115,080304,080326,080504,080820,081232,081348,081410,081515,081621,081726,081810,081937,082147,082358,082504,082652,082831,082925,083053,083137,083209,083349,083411,083443,083549,083833,084011,084244,084338,084506,084550,084717,084825,085109,085259,085510,085827,085932,090027,090303,090358,090442,090905,091116,091255,091422,091517,091635,091803,091846,091941,092025,092130,092637,092934,093218,093420,093547,093705,093905,094011,094149,094255,094414,094614,094731
9,MW3496-1,,080831,081020,081115,081348,081515,081704,081820,081915,081926,082104,082147,082220,082558,082947,083104,083137,083316,083411,083600,083622,083727,083938,084138,084233,084411,084506,084600,084740,084803,084858,084941,085003,085047,085153,085448,085626,085849,085932,090027,090111,090230,090325,090431,090642,090843,091127,091244,091411,091517,091613,091646,092152,092352,092553,092710,092817,092901,092956,093051,093156,093230,093325,093811,094022,094200,094328,094436,094541,094709,094742,094859,094954,095111,095155,095251
10,MS5097-1,,082736,082842,083009,083115,083316,083400,083505,083600,083633,083800,083833,083916,084255,084633,084740,084825,084941,085014,085142,085226,085343,085532,085732,085816,090006,090111,090144,090303,090336,090420,090547,090620,090653,090811,091116,091233,091411,091517,091613,091646,091846,092003,092109,092330,092447,092733,092817,093018,093112,093156,093241,093642,093905,094106,094200,094255,094402,094541,094614,094719,094816,094943,095430,095703,095936,100125,100230,100303,100408,100514,100619,100714,100808,100925,101041
11,MW2780-1,,084444,084600,084825,085014,085321,085404,085459,085604,085659,085911,090006,090144,090453,090832,091011,091044,091211,091306,091433,091517,091730,091919,092130,092214,092341,092520,092615,092828,092923,093018,093207,093252,093325,093442,093811,094000,094127,094222,094350,094425,094552,094647,095049,095206,095346,095641,095808,095936,100041,100147,100230,100630,100819,100957,101103,101219,101302,101502,101557,101702,101746,101924,102430,102724,102958,103147,103336,103442,103620,103714,103842,103959,104115,104253,104409
12,MW3430-1,090111,092319,092615,092828,093007,093145,093241,093336,093442,093526,093642,093727,093905,094255,094719,094911,094954,095111,095155,095335,095408,095608,095808,100020,100052,100303,100441,100536,100747,100830,100903,101030,101114,101146,101302,101608,101807,101924,102029,102218,102252,102503,102619,102735,103042,103209,103525,103653,103725,103959,104115,104148,104631,104906,105106,105225,105403,105520,105711,105830,105947,110031,110221,110822,111149,111422,111550,111709,111858,112026,112143,112310,112438,112627,112806,112933
13,MS2259-1,,090358,090537,090653,090748,090949,091105,091244,091306,091400,091506,091613,,092015,092341,092520,092615,092744,,093018,093040,093230,093336,093547,093642,,093938,094011,094149,094244,094306,094425,094457,094519,094614,094911,094954,095206,095251,095408,095451,095630,095757,100230,,,100757,100914,101052,101208,101241,101324,,101935,102102,102218,102325,102430,,102641,102735,102903,,103431,103758,104042,104053,104347,104609,104653,,,,,105236,105341
14,MW2856-1,,094244,094402,094519,094753,094954,095111,095217,095357,095441,095546,095641,095746,100136,100514,100630,100703,100808,100852,101052,101135,101419,101619,101840,101902,102124,102241,102336,102452,102557,102630,102724,102746,102808,102924,103253,103442,103631,103725,103853,103926,104126,104253,104726,104844,105106,105436,105616,105745,110009,110115,110159,110632,110906,111105,111211,111338,111506,111625,111753,111942,112048,112215,112700,113005,113250,113428,113650,113839,113934,114124,114314,114503,114714,114820,114947
15,MW5645-0,095217,101840,102040,102207,102441,102808,102852,102947,103042,103136,103253,103358,103536,103926,104326,104453,104536,104642,104726,104917,105011,105203,105403,105616,105638,105841,105947,110042,110159,110305,110348,110432,110505,110548,110704,111044,111244,111506,111550,111731,111803,112015,112121,112416,112700,112827,113133,113228,113323,113534,113639,113723,114219,114430,114619,114725,114842,115009,115125,115254,115421,115527,115654,120157,120509,120805,120922,121039,121156,121324,121419,121619,121725,121958,122222,122351
16,MW3053-1,,100347,100525,100714,101030,101157,101252,101335,101608,101651,101840,101924,102124,102536,102936,103114,103147,103253,103358,103536,103620,103809,104010,104220,104253,104442,104547,104631,104855,104949,105106,105203,105247,105352,105509,105830,105947,110115,110221,110337,110421,110621,110726,110917,111127,111254,111517,111613,111815,112037,112143,112215,112627,112849,113100,113133,113250,113406,113545,113650,113756,113839,114008,114503,114747,115147,115305,115421,115538,115705,115802,120029,120157,120424,120520,120625
17,MW2390-2,,103620,103926,104148,104420,104631,104906,105011,105236,105330,105542,105649,105756,110232,110632,110811,110855,111011,111105,111222,111254,111433,111636,111858,111953,112205,112310,112427,112616,112649,112721,112849,112911,112943,113100,113417,113607,113817,113934,114124,114208,114441,114547,114831,114947,115136,115410,115516,115548,115813,115942,120018,120603,121017,121156,121346,121525,121619,121747,121842,122021,122116,122256,122806,123113,123252,123430,123536,123652,123820,124009,124137,124254,124421,124537,124704
18,MW3496-2,,105352,105638,105852,110243,110653,110927,111200,111349,111506,111720,111815,111953,112416,112827,112933,113016,113133,113217,113333,113417,113607,113806,114019,114051,114241,114336,114441,114641,114725,114758,114926,115020,115136,115243,115610,115751,115929,120102,120244,120306,120520,120625,120933,121134,121252,121653,121758,121936,122105,122211,122256,122806,123040,123230,123336,123503,123609,123747,123852,124020,124115,124232,124748,125105,125411,125601,125645,125814,130047,130225,130353,130542,130658,130910,131027
19,MS5097-2,,111506,111731,111942,112048,112343,112605,112733,113027,113144,113301,113355,113534,113945,114336,114430,114525,114641,114736,114915,114958,115209,115421,115654,115751,115954,120102,120208,120339,120414,120446,120625,120636,120710,120827,121145,121419,121558,121714,121842,121926,122149,,122604,122755,122935,123241,123358,123452,123714,123831,123903,124326,124559,124748,124904,125021,125126,125316,125411,125506,125601,125741,130236,130553,130753,130848,131016,131216,131427,131533,131649,131850,132051,132252,132431
20,MW2780-2,,113217,113355,113639,113839,114102,114336,114441,114809,114947,115147,115337,115538,120005,120403,120520,120603,120721,120816,120944,121039,121230,121419,121725,121809,121947,122222,122307,122425,122509,122553,122648,122733,122902,123007,123336,123536,123747,123925,124042,124126,124315,124410,124704,124937,125043,125422,125517,125707,125942,130047,130131,130553,130805,130944,131049,131205,131300,131449,131617,131744,131850,132029,132547,133032,133506,133720,133837,133954,134123,134239,134428,134618,134820,135010,135212
21,MS2259-2,115031,115147,,115548,115813,115929,120005,120414,120509,120552,120732,120838,121419,121809,122138,122307,122340,122531,122615,,,,123218,123420,123441,123631,123758,123841,124042,124137,124232,124348,124421,124454,124548,124926,125455,,,125707,125803,125952,130047,130531,,,131144,131300,131406,131628,131733,131806,132230,132420,132558,132704,132843,,,133233,133350,133455,133552,134050,134356,134904,135032,135137,135255,135434,,135742,135942,140037,140241,140514
22,MW3430-2,120435,121050,121230,121619,121736,122105,122351,122626,123051,123134,123336,123503,123620,124232,124632,124748,124820,124937,125021,125211,125305,125506,125741,125942,130014,130152,130309,130353,130658,130731,130827,130954,131027,131111,131227,131533,131628,131806,132007,132157,132241,132547,132642,133317,133552,133815,134050,134228,134356,134501,134556,134639,135159,135456,135635,135742,135858,140004,140133,140219,140325,140420,140558,141033,141349,141719,141921,142051,142337,142515,142610,142748,142904,143148,143306,143445
23,MW2856-2,,123336,123503,123652,124031,124505,124621,124715,124948,125126,125316,125433,125601,130003,130404,130520,130615,130742,130838,131005,131100,131249,131449,131722,131828,132018,132124,132219,132431,132536,132652,132832,132927,133043,133222,133552,133815,134050,134217,134407,134439,,,,135401,135507,135804,135858,140037,140303,140420,140503,140949,141149,141349,141538,141655,141742,141944,142039,142156,142304,142432,142916,143233,143613,143657,143835,144027,144209,144421,144600,144759,145043,145236,145415
24,MW5645-1,,125506,125656,125909,130025,130331,130436,130604,130805,130944,131205,131355,131511,131922,132336,132453,132525,132652,132725,132959,133043,133233,133455,133657,133731,133910,134039,134123,134301,134345,134439,134545,134607,134736,134853,135137,135222,135350,135456,135646,135909,140123,140241,140631,140822,140949,141306,141422,141549,141815,141921,142006,142410,142705,142843,142959,143137,143244,143412,143517,143657,143730,143857,144421,144748,145054,145151,145342,145437,145607,145818,150041,150147,150422,150539,150742
25,MW2390-3,130910,131300,131427,131628,131755,132135,132219,132336,132525,132725,133010,133138,133211,133804,134323,134534,134628,134820,134904,135043,135137,135401,135635,135848,135920,140100,140241,140347,140525,140631,140725,140810,140855,140949,141127,141505,141655,141848,141944,142124,142504,142916,143032,143350,143624,143835,144231,144359,144527,144759,144948,145021,145629,145851,150125,150326,150455,150612,150849,151006,151123,151242,151432,152038,152904,153603,153719,153953,154155,154503,154641,154925,155104,155316,155443,155644
26,MW3496-3,133105,133328,133455,133742,133921,134133,134428,134534,134747,134937,135159,135317,135339,135753,140157,140303,140336,140431,140514,140653,140725,141000,141222,141433,141505,141645,141837,141944,142135,142218,142337,142432,142515,142643,142810,143054,143221,143339,143456,143708,144049,144337,144454,144716,144854,145010,145257,145415,145629,145902,150008,150103,150601,150911,151134,151304,151443,151603,151815,151922,152038,152144,152333,152853,153636,154111,154239,154514,154641,154914,155042,155327,155505,155654,155749,155906
27,MS5097-3,134758,135624,140037,140241,140503,140833,141011,141328,141527,141708,141921,142124,142253,142759,143221,143434,143528,143657,143835,144005,144049,144253,144454,144727,144821,144948,145118,145202,145353,145448,145651,145807,145913,150019,150158,150528,150718,150911,151050,151359,151625,151849,152006,152640,152831,152925,153306,153400,153603,153815,153931,154027,154608,154852,155042,155159,155316,155454,155622,155716,155822,155906,160022,160542,161122,161712,161840,162007,162134,162348,162516,162645,162741,162942,163132,163301
28,MW2780-3,140949,141306,141527,141753,141955,142231,142504,142716,143126,143328,143539,143741,143943,144326,144759,145000,145021,145129,145224,145415,145510,145701,145913,150103,150158,150326,150444,150550,150816,150849,151017,151134,151208,151326,151528,151849,152006,152144,152333,152820,153116,153400,153506,153837,154049,154301,154641,154809,154903,155126,155338,155421,155906,160116,160256,160413,160509,160626,160805,160922,161049,161155,161312,161756,162207,162814,162942,163132,163301,163450,163606,163756,163901,164008,164157,164326
29,MS2259-3,,143339,143434,143603,174414,144123,144432,144538,175206,145000,145213,175628,145510,150030,150433,150612,150742,150911,180949,181149,151315,151614,151815,152017,152122,152311,152524,152618,152842,153010,153255,153412,153455,153625,153804,154111,154250,154547,154714,155232,155349,155633,155800,185135,185337,160520,160849,160954,161122,161356,161523,161639,162231,162516,162707,162847,163015,163143,163334,192336,163606,163639,163818,164315,164704,165148,165255,165528,165826,170005,170122,,195011,171011,171033,195458
30,MW3430-3,,,145946,150253,150707,151050,151304,151443,151742,152006,152144,152344,152502,152914,153506,153719,153826,153931,154027,154239,154322,154608,154830,155104,155126,155338,155454,155538,155705,155800,155855,160116,160211,160340,160520,160849,161005,161155,161312,161923,162231,162516,162707,163026,163301,163439,163723,163850,164113,164348,164526,164609,165137,165401,165603,165731,165858,170016,170155,170300,170406,170501,170641,171200,171528,171744,171935,172125,172242,172443,172610,172800,172905,173213,173414,173531
31,MW2856-3,151326,151550,151720,152006,152227,152524,152652,152820,153032,153159,153400,153550,153731,154239,155137,155305,155349,155516,155611,155738,155833,160033,160256,160509,160531,160805,160933,161016,161206,161250,161407,161628,161650,161745,161913,162253,162432,162645,162836,163312,163650,163912,164030,164157,164337,164410,164809,164926,165043,165306,165506,165550,170111,170406,170555,170725,170832,171000,171116,171243,171349,171444,171615,172125,172443,172716,172833,172949,173128,173414,173531,173700,173818,174041,174230,174436
32,MW3053-2,,153719,153953,154250,154547,154903,155115,155232,155443,155622,155906,160000,160127,160520,161122,161312,161334,161450,161617,161756,161913,162134,162337,162528,162550,162803,162942,163048,163239,163334,163450,163712,163756,163912,164030,164442,164620,164948,165137,165624,170027,170406,170512,171149,171444,171550,171902,172008,172220,172505,172632,172716,173235,173520,173722,173829,173945,174051,174241,174339,174447,174530,174709,175155,175439,175724,175829,180009,180231,180432,180549,180727,180916,181149,181256,181445
33,MW5645-2,,155811,155927,160351,160922,161206,161228,161450,161723,161851,162112,162207,162315,162718,163143,163418,163501,163701,163807,164008,164041,164432,164642,164853,164926,165115,165244,165401,165635,165720,165815,165931,170016,170206,170311,170606,170736,170842,171011,171411,171626,171851,171957,172136,172315,172454,172749,172905,173022,173308,173458,173542,174019,174241,174447,174530,174647,174753,174922,175027,175155,175249,175428,175935,180231,180527,180643,180800,181054,181423,181614,181742,181909,182216,182311,182429
34,MW2390-4,,161734,161956,162218,162443,162634,162836,163121,163439,163545,163745,163828,164008,164348,164737,164926,164959,165137,165233,165401,165433,165635,165858,170111,170144,170322,170501,170534,170758,170905,171011,171200,171254,171422,171615,171957,172103,172359,172505,172643,173000,173224,173330,173638,173840,174019,174425,174552,174636,174933,175100,175206,175713,175924,180103,180209,180315,180443,180600,180654,180810,180843,181022,181540,181920,182334,182545,182651,182818,182946,183135,183307,183434,183743,183849,183954
35,MW3496-4,163312,163534,163734,163956,164157,164421,164526,164642,164809,164915,165115,165159,165317,165731,170133,170249,170311,170438,170544,170714,170810,171000,171149,171338,171411,171550,171711,171806,171923,172019,172114,172209,172231,172422,172516,172800,172949,173055,173224,173330,173447,173807,173934,174339,174458,174636,174944,175049,175227,175501,175617,175651,180209,180432,180632,180749,180854,181011,181149,181233,181339,181412,181507,182026,182334,182545,182702,182818,182946,183135,183244,183413,183529,183805,183849,184017
36,MS5097-4,,165646,165837,170100,170322,170641,170714,171022,171305,171433,171649,171935,172103,172443,172927,173055,173150,173308,173353,173542,173638,173851,174113,174447,174519,174614,174753,174849,175038,175122,175206,175355,175439,175501,175607,175913,180158,180421,180505,180632,180705,180905,181022,181401,181603,181742,182154,182311,182429,182702,182851,182946,183402,183551,183743,183849,184017,184122,184312,184451,184546,184651,184808,185304,185706,185855,190033,190200,190403,190508,190614,190731,190900,191038,191238,191406
37,MW2780-4,,171637,171733,171923,172041,172304,172516,172643,172854,172938,173139,173257,173330,173711,174051,174230,174252,174436,174530,174658,174742,175017,175311,175512,175544,175713,175851,175946,180147,180219,180304,180347,180432,180516,180632,180949,181105,181339,181434,181550,181636,181837,181931,182345,182513,182640,182946,183052,183222,183518,183658,183732,184155,184418,184557,184735,184830,185008,185125,185208,185315,185358,185515,190033,190317,190541,190731,190911,191016,191216,191311,191417,191511,191606,191711,191828
38,MW3430-4,,175639,175829,180020,180125,180325,180549,180716,181032,181138,181423,181507,181658,182110,182451,182651,182745,182924,182957,183159,183256,183456,183732,183933,184006,184155,184323,184429,184651,184746,184841,184946,185008,185052,185219,185548,185739,190000,190033,190149,190233,190414,190508,190838,191049,191238,191555,191700,191817,192135,192253,192336,192833,193106,193244,193349,193455,193613,193804,193910,194005,194112,194217,194715,195057,195352,195520,195711,195828,200017,200133,200300,200344,200607,200830,200947
39,MW2856-4,,181647,181815,182048,182249,182640,182724,182829,183019,183113,183318,183413,183540,183933,184345,184546,184629,184757,184903,185103,185146,185421,185655,185917,190000,190211,190328,190436,190719,190816,190911,191143,191238,191417,191544,191934,192040,192253,192422,192527,192611,192844,192939,193149,193400,193539,193815,193932,194027,194303,194453,194526,195057,195309,195447,195616,195722,195828,200006,200100,200217,200311,200450,200936,201211,201412,201540,201719,201838,201943,202050,202218,202316,202531,202615,202743
