,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070120,070215,070436
1,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,,071216,071335,071451,071556,071806,071850,071934,072406
2,MZ4228-0,,,,,,,,,,,,,,,,,,,,,,070108,070131,070236,070331,070352,070859,071430,,072733,072849,073048,073310,073415,073531,073614,073741
3,MX1067-0,,,,,,,,,,,,,,070108,070309,070414,070530,070603,070815,071038,071121,071230,071324,071408,071524,071607,072028,,,073509,073657,073919,074024,074235,074340,074530,074919
4,MZ3556-0,070414,070457,070614,070657,070719,070815,070837,070921,071005,071059,071154,071303,071524,071556,071912,072100,072217,072249,072417,072638,072711,072744,072849,073005,073059,073143,073553,,,074941,075046,075141,075403,075532,075626,075732,080025
5,MZ3559-0,071110,071205,071408,071441,071502,071534,071556,071639,071701,071806,071923,072039,072228,072322,072605,072649,072744,072816,072910,073132,073205,073248,073353,073437,073520,073553,074013,,,075342,075447,075659,075743,080003,080120,080258,080636
6,MZ3734-0,071912,072050,072217,072249,072311,072344,072406,072438,072500,072627,072733,072827,073016,073110,073353,073437,073657,073730,073835,074057,074141,074224,074340,074457,074614,074646,075129,,,080730,080825,080930,081118,081352,081435,081529,081814
7,MZ3740-0,072943,073237,073353,073426,073448,073509,073542,073614,073647,073752,073919,074035,,074340,074614,074635,074857,074930,075057,075331,075403,075436,075543,075648,075754,075815,080247,,,082142,082309,082403,082520,082741,082858,082952,083203
8,MZ3825-0,074508,074603,074730,074752,074814,074846,074919,074952,075024,075129,075225,075342,075509,075721,075931,080036,080130,080203,080309,080509,080542,080625,080730,080836,080941,081002,081446,,,082803,082920,083130,083247,083446,083614,083647,083941
9,MZ3987-0,075626,075721,075837,075858,075920,075952,080014,080058,080130,080214,080320,080447,080552,080719,080952,081035,081257,081341,081457,081803,081836,081920,082015,082131,082236,082258,082719,,,084235,084340,084540,084707,084847,084941,085035,085330
10,MZ3978-0,080741,080908,081035,081129,081151,081225,081235,081319,081413,081507,081603,081752,081953,082120,082341,082447,082647,082803,082920,083119,083203,083225,083331,083457,083603,083614,084119,,,085540,085657,085836,085952,090225,090320,090331,090817
11,MZ3956-1,081836,082153,082319,082414,082436,082458,082531,082625,082708,082814,082909,083025,083225,083352,083614,083647,083858,083931,084119,084257,084340,084413,084529,084645,084803,084908,085413,,,090817,090922,091240,091335,091502,091607,091712,092121
12,MZ4072-1,083658,083804,083931,084014,084047,084130,084152,084224,084257,084424,084551,084707,084847,085003,085246,085424,085529,085551,085657,085919,090003,090047,090203,090320,090416,090438,090901,,,092226,092352,092603,092806,093016,093207,093241,093631
13,MZ4228-1,084730,085424,085551,085624,085657,085730,085752,085836,085909,090014,090131,,090543,090733,091017,091206,091324,091356,091545,091755,091838,091933,092027,092154,092352,092425,092922,,,094536,094703,094840,095007,095134,095324,095418,101007
14,MX1067-1,090353,090511,090627,090711,090733,090806,090828,090901,090933,091100,091206,091335,091545,091755,092038,092215,092447,092603,092755,093006,093039,093133,093241,093408,093525,093546,094020,,,095513,095702,095828,100041,100241,100408,100650,101050
15,MZ3556-1,091451,091534,091701,091755,091806,091849,091911,091954,092027,092143,092237,092436,092603,092732,093016,093100,093336,093430,093536,093809,093904,093936,094053,094220,094336,094409,094829,,,100545,100650,100829,101050,101302,101418,101522,101911
16,MZ3559-1,092552,092659,092806,092911,092944,093027,093100,093133,093207,093325,093419,093536,093759,093904,094137,094304,094409,094503,094641,094902,094945,095029,095155,095324,095502,095556,100030,,,101722,101900,102133,102311,102720,102838,102933,103415
17,MZ3734-1,093027,093154,093303,093336,093347,093430,093441,093525,093546,093642,093737,093904,094137,094231,094546,094652,094746,094829,094945,095145,095229,095313,095429,095523,095629,095712,100135,,,101711,101849,102039,102311,102532,102615,102754,103059
18,MZ3740-1,094147,094325,094452,094525,094546,094619,094641,094724,094746,094840,095007,095134,095346,095513,095807,095946,100219,100313,100440,100744,100829,100923,101039,101123,101240,101323,101755,,,103458,103636,103848,104038,104322,104427,104511,104743
19,MZ3825-1,095640,095723,095901,095923,095946,100019,100041,100113,100157,100303,100357,100524,100712,100755,101018,101101,101334,101356,101533,101755,101839,101922,102039,102206,102321,102343,102805,,,104543,104710,104850,104945,105155,105418,105450,105903
20,MW5898-0,095957,100618,100733,100829,100851,100923,100956,101050,101144,101240,101345,101555,101744,101933,102354,102554,102827,102910,103132,103425,103509,103552,103709,103848,104003,104110,104511,,,105935,110135,110325,110504,110759,110904,111031,171444
21,MZ3987-1,101155,101240,101407,101450,101501,101544,101606,101627,101711,101755,101900,102006,102206,102311,102543,102615,102838,102933,103142,103447,103531,103625,103742,103931,104110,104227,104648,,,110853,111114,111303,111336,111525,111641,111746,112041
22,MZ3978-1,102216,102405,102521,102615,102626,102720,102743,102816,102849,103005,103048,103237,103509,103709,104015,104238,104522,104627,104901,105206,105302,105346,105512,105651,105807,105914,110336,,,112009,112157,112325,112452,112651,112841,112913,113241
23,MZ3956-2,103458,103636,103742,103815,103859,104003,104025,104059,104132,104300,104355,104522,104754,104839,105241,105356,105629,105701,105841,110052,110146,110253,110358,110526,110631,110703,111136,,,112524,112630,112851,113123,113440,113536,113641,114101
24,MW5943-0,,105217,105335,105356,105429,105501,105534,105607,105701,105841,110019,110208,110410,110609,110926,111053,111314,111431,111757,112146,112252,112357,112524,112713,112851,112924,113356,,,115124,115324,115628,115831,120315,120422,120643,121126
25,MZ4072-2,105756,105935,110052,110124,110146,110231,110253,110325,110421,110547,110641,110810,111042,111125,111420,111619,111852,111946,112114,112408,112513,112546,112746,112913,113029,113134,113608,,,115356,115639,115925,120149,120422,120549,120633,121159
26,MZ4228-2,111253,112357,112513,112546,112557,112651,112713,112902,112935,113156,113251,113451,113714,113840,114123,114241,114502,114557,114818,115102,115157,115251,115429,115628,115758,115852,120326,,,122141,122319,122624,122805,123016,123143,123259,123647
27,MP6392-0,111336,111452,111652,111746,111819,111841,111935,112020,112052,112252,112408,112619,112746,112935,113241,113512,113746,113840,114029,114324,114408,114513,114640,114829,114946,115040,115523,,,121602,121741,122036,122236,122403,122552,122646,123016
28,MW5966-0,113145,113230,113356,113451,113512,113557,113619,113652,113735,113913,114007,114217,114430,114619,114946,115008,115218,115313,115451,115735,115809,115903,120033,120219,120348,120443,120905,,,122753,122954,123205,123458,123731,123835,124038,124524
