,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MW2856-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070132,070449,070720,070919,071024,071140,071236
1,MW3053-0,,,,,,,,,,,,,,,,070108,070154,070311,070355,070511,070605,070742,070952,071214,071341,071435,071540,071718,071812,072003,072035,072140,072234,072318,072339,072508,072751,073002,073140,073225,073341,073436
2,MW5346-0,,,,,070108,070322,070428,070522,070709,070742,070857,071013,071214,071540,071929,072035,072119,072224,072307,072424,072457,072645,072857,073107,073225,073320,073425,073542,073657,073836,073919,074025,074143,074204,074237,074343,074626,074815,074921,075026,075153,075226
3,MS2259-0,070108,071424,071550,071751,072035,072413,072446,072602,072740,072835,073013,073118,073140,073458,073846,074003,074047,074204,074248,074415,074448,074626,074859,075059,075142,075216,075310,075416,075521,075710,075753,075826,075942,080025,080047,080203,080529,080718,,080951,081056,081129
4,MW5645-0,073625,074615,074815,074953,075216,075605,075732,075826,075942,080036,080224,080257,080341,080656,081056,081236,081319,081446,081551,081718,081802,081950,082202,082446,082603,082646,082802,082930,083036,083236,083320,083415,083542,083639,083701,083827,084143,084259,084509,084625,084740,084824
5,MS1935-0,,,,,,,,074003,074204,074237,074437,074510,074615,074921,075259,075416,075510,075616,075649,075826,075910,080120,080308,080540,080645,080729,080846,081013,081107,081225,081258,081352,081424,081508,081613,081907,082223,082508,082646,082751,082919,083014
6,MS2365-0,080235,080529,080729,080918,081139,081424,081508,081613,081740,081824,081928,082002,082108,082414,082824,082930,082952,083057,083214,083258,083342,083520,083712,083911,084005,084049,084132,084321,084426,084541,084625,084657,084751,084814,084846,084951,085307,085402,085613,085718,085812,085846
7,MW2390-0,080435,082129,082414,082552,082730,082952,083203,083331,083542,083639,083733,083827,084016,084342,084719,084846,084929,085045,085129,085246,085318,085518,085729,085940,090035,090119,090213,090331,090414,090613,090707,090740,090824,090857,091013,,091257,091402,091602,091656,091823,091855
8,MW2856-1,,083954,084227,084353,084541,084803,084857,084951,085140,085224,085402,085434,085624,085929,090258,090458,090541,090646,090740,090930,091002,091128,091351,091550,091635,091718,091823,091949,092033,092137,092232,092326,092410,092442,092514,092619,092924,093134,093323,093428,093522,093555
9,MW3053-1,,090320,090541,090740,090940,091235,091456,091602,091844,091928,092116,092159,092242,092558,092935,093050,093134,093229,093312,093450,093533,093723,093954,094142,094236,094320,094426,094604,094658,094909,094942,095014,095152,095225,095247,095352,095730,095847,100130,100235,100340,100425
