,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MZ3734-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070110,070133,070205,070231,070253,070336,070358,070504,070548
1,MZ3740-0,,,,,,,,,,,,,,,,,,,,,,,,070110,070336,070453,070610,070705,070759,070832,070927,071010,071105,071115,071148,071221,071337,071421
2,MZ3825-0,,,,,,,,,,,,,,,070110,070133,070220,070431,070526,070632,070726,070821,070937,071054,071348,071621,071830,071936,072041,072134,072233,072306,072400,072411,072505,072515,072641,072736
3,MZ3956-0,,,,,,,070110,070205,070347,070537,070643,071159,071254,071421,071548,071653,071726,072008,072113,072223,072400,072443,072526,072703,073050,073253,073503,073608,073725,073808,073914,073946,074041,074052,074146,074225,074330,074413
4,MZ3978-0,,070110,070358,070526,070705,071032,071148,071254,071443,071715,071852,072338,072443,072559,072652,072746,072851,073100,073154,073304,073409,073442,073619,073746,074052,074225,074435,074540,074655,074749,074843,074916,075011,075043,075105,075126,075254,075349
5,MZ3987-0,071054,071243,071432,071621,071914,072223,072306,072443,072620,072757,072912,073420,073557,073652,073819,073924,074019,074257,074402,074507,074612,074655,074717,074905,075210,075432,075653,075758,075925,080008,080124,080207,080301,080323,080418,080501,080629,080724
6,MX1105-0,072255,072515,072808,072956,073231,073546,073808,073935,074052,074236,074340,074843,074949,075054,075221,075327,075432,075642,075737,075852,080008,080051,080218,080355,080713,080855,081023,081117,081235,081307,081402,081445,081540,081550,081636,081720,081847,081931
7,MX1135-0,,074257,074529,074749,074843,075126,075305,075421,075632,075914,080019,080534,080640,080735,080906,081001,081106,081329,081434,081550,081741,081803,081836,082003,082341,082624,082814,082931,083047,083130,083248,083321,083417,083450,083533,083555,083702,083756
8,MW5853-0,,075054,075327,075454,075642,075946,080041,080207,080355,080702,080820,081340,081434,081550,081720,081836,081931,082058,082142,082319,082403,082446,082613,082739,083119,083259,083522,083629,083745,083807,083934,084028,084111,084154,084243,084315,084420,084453
9,MZ3556-0,080156,080418,080702,080950,081202,081602,081858,082014,082258,082613,082909,083501,083606,083734,083944,084038,084154,084409,084514,084642,084758,084852,085019,085157,085443,085632,085821,085949,090044,090116,090224,090256,090318,090402,090457,090540,090645,090739
10,MZ3559-0,081001,081224,081434,081709,081836,082214,082341,082530,082645,082942,083119,083629,083734,083901,084028,084144,084304,084453,084558,084726,084830,084903,085030,085232,085538,085727,085949,090044,090148,090224,090318,090402,090424,090446,090530,090540,090707,090750
11,MZ3734-1,082319,082540,082847,083119,083321,083651,083745,084017,084304,084620,084747,085315,085443,085621,085748,085855,085949,090213,090318,090446,090551,090645,090813,090941,091248,091427,091638,091815,091910,091954,092109,092142,092225,092247,092341,092404,092531,092625
12,MZ3740-1,083522,083640,083901,084221,084420,084653,084947,085113,085348,085654,085810,090256,090402,090457,090635,090729,090835,091140,091248,091438,091543,091627,091710,091837,092142,092319,092458,092603,092719,092753,092847,092931,093025,093057,093141,093202,093321,093416
13,MZ3825-1,084442,084715,084914,085113,085305,085632,085906,090127,090256,090457,090624,091108,091202,091332,091500,091554,091659,091848,091954,092059,092153,092225,092319,092415,092753,092952,093141,093238,093406,093427,093533,093605,093648,093710,093753,093815,093920,094003
14,MW5898-0,085454,085748,085949,090148,090540,090908,091118,091237,091449,091732,091848,092458,092614,092742,092920,093036,093202,093500,093605,093753,093858,093930,094057,094225,094602,094739,094942,095109,095230,095302,095418,095512,095534,095556,095651,095713,095840,095923
15,MZ3956-1,090446,090551,090824,091024,091226,091638,091732,091910,092142,092437,092509,093014,093119,093249,093449,093605,093659,094014,094057,094215,094403,094435,094529,094656,095037,095240,095429,095651,095745,095818,095923,100029,100051,100113,100207,100231,100336,100431
16,MZ3987-1,092603,092719,093014,093321,093742,094118,094320,094446,094634,095037,095203,095724,095851,095956,100156,100326,100420,100631,100736,100851,101018,101050,101123,101301,101617,101806,102039,102206,102321,102406,102511,102543,102637,102710,102804,102825,102930,103024
