,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4535-0,,,,,,,,,,,,,,,,,070106,070118,070359,070558,070807,071154,071309,071507
1,MX3651-0,,,,,,,,,,,,070106,070201,070255,070327,070735,070850,071143,071507,071708,071920,072402,072507,072656
2,MX3783-0,,,,,,,070106,070255,070348,070442,070547,070641,070818,070912,071006,071435,071551,071802,072152,072235,072413,072656,072814,072952
3,MX4021-0,070222,070327,070431,070558,070745,070850,071215,071352,071507,071613,071730,071824,071941,072131,072214,072707,072847,073225,073530,073741,073919,074435,074602,074802
4,MX4041-0,070558,070713,070840,070955,071121,071247,071529,071741,071847,071941,072057,072131,072246,072402,072445,072920,073036,073247,073530,073741,073930,074435,074602,074802
5,MX4159-0,071613,071847,072014,072108,072235,072424,072717,072847,072952,073109,073225,073319,073457,073603,073646,074108,074224,074456,074847,075109,075319,075629,075756,080114
6,MX4338-0,,,072728,072814,072930,073047,073341,073446,073657,073813,073908,074003,074151,074329,074435,074858,075015,075308,075544,075745,075924,080241,080410,080620
7,MX4365-0,073519,073625,073719,073824,073941,074141,074445,074624,074729,074835,074953,075036,075203,075330,075403,075807,075935,080324,080653,080902,081112,081441,081609,081736
8,MX4383-0,074003,074057,074141,074235,074402,074540,074835,075025,075258,075352,075457,075555,075756,075851,075946,080347,080515,080746,081134,081314,081514,081852,082007,082155
9,MX4388-0,074445,074540,074635,074718,074835,074942,075236,075425,075533,075607,075701,075745,075902,075957,080042,080432,080620,080946,081335,081409,081525,081935,082050,100426
10,MX4458-0,075807,080125,080230,080347,080548,080642,080956,081051,081303,081409,081525,081558,081819,081914,082007,082427,082637,083017,,083500,083743,084119,084245,084402
11,MX4535-1,081441,081631,081736,081830,082123,082249,082731,082827,083101,083206,083333,083416,083616,083753,083848,084623,084802,085110,085447,085723,085901,090425,090541,090740
12,MX3651-1,081809,082050,082155,082322,,082742,083028,083217,083311,083427,083532,083637,083826,083952,084035,084739,084932,085309,085639,085901,090110,090425,090603,090803
13,MX3783-1,082604,082817,082923,083017,083228,083405,083753,084025,084256,084434,084550,084706,084847,084943,085027,085533,085712,090121,090531,090718,090942,091247,091414,091540
14,MX4021-1,084339,084456,084612,084717,084932,085121,085607,085817,090059,090226,090352,090508,090635,090835,090931,091435,091613,091949,092315,092527,092915,093303,093431,093737
15,MX4041-1,084813,084909,085005,085132,085342,085520,085850,090027,090258,090403,090508,090552,090729,090858,090942,091435,091624,092000,092325,092527,092926,093431,093536,093758
16,MX4159-1,085607,085839,085955,090049,090153,090425,090740,090835,091058,091152,091247,091331,091457,091624,091656,092126,092315,092611,092821,093010,093631,094041,094158,100006
17,MX4338-1,,090847,090942,091058,091309,091435,091750,091844,092116,092220,092336,092443,092643,092738,092832,093252,093420,093642,093936,094125,094514,094935,095102,095312
18,MX4365-1,091729,091812,091927,092021,092231,092336,092654,092821,092915,093031,093136,093231,093358,093514,093557,094019,094136,094441,094714,094902,095156,095556,095712,095839
19,MP6426-0,092410,092454,092549,092654,092821,093021,093336,093547,093653,093747,093914,094030,094241,094409,094441,094902,095040,095301,095607,095651,095912,100227,100415,100556
20,MX4383-1,092421,092716,092854,093010,093220,093420,093747,093936,094158,094313,094420,094452,094641,094736,094819,095250,095428,095702,100039,100227,100415,100850,100954,101142
21,MP6357-0,093726,093958,094114,094219,094420,094631,094946,095051,095312,095417,095533,095702,095901,100006,100039,100534,100700,100933,101238,101427,101817,102227,102322,102449
22,MX4458-1,094030,094503,094558,094714,094946,095134,095511,095629,095734,095839,095955,100039,100238,100332,100426,100838,100954,101153,101607,101723,102006,102427,102554,102720
23,MX4551-0,100310,100404,100459,100556,100817,100943,101344,101510,101734,101901,102017,102122,102322,102449,102532,102942,103120,103426,103815,103943,104225,104719,104847,105026
24,MX3651-2,100437,100700,100806,100900,101048,101217,101534,101650,101755,101901,102006,102111,102249,102405,102438,102859,103048,103416,103804,103848,104059,104530,104741,104835
25,MX3783-2,101048,101405,101459,101618,101817,102006,102311,102427,102647,102803,102921,103037,103205,103321,103405,103815,103943,104225,104541,104719,104931,105403,105519,105658
26,MX4535-2,,,,,,,,,,,,,,,,101955,102101,102354,102731,102921,103153,103732,103848,104026
27,MW2780-0,102300,102554,102720,102836,103120,103248,103615,103732,103953,104120,104236,104320,104530,104657,104803,105309,105508,105909,110340,110540,110847,111308,111445,111624
28,MW5191-0,102532,103026,103120,103205,103416,103521,103826,103921,104026,104131,104320,104352,104552,104719,104813,105225,105331,105658,110036,110224,110507,110941,111046,111224
29,MX4021-2,103859,104109,104214,104330,104625,104741,105236,105425,105647,105814,105931,110025,110224,110402,110445,110909,111036,111340,111708,111856,112213,112659,112826,112933
30,MX4041-2,104120,104247,104403,104446,104708,104909,105258,105425,105647,105814,105920,110025,110202,110307,110350,110803,110941,111151,111551,111740,112035,112626,112743,112900
31,MW5346-0,104352,104657,104741,104847,105048,105236,105553,105752,105848,110014,110130,110202,110340,110507,110550,110941,111057,111340,111708,111856,112223,112659,112815,112900
32,MX4159-2,104942,105341,105435,105542,105752,105920,110213,110340,110601,110717,110824,110909,111057,111214,111308,111751,111907,112202,112445,112626,112911,113238,113405,113521
33,MS4914-0,104942,105037,105142,105225,,105435,105647,105803,105848,110003,110130,110213,110318,110413,110445,110847,110952,111224,111613,111740,112035,112626,112743,112900
