,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MZ3734-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070142
1,MZ3740-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070132,070226,070321,070426,070520,070553,070626,070658,070731,070859,070954
2,MZ3825-0,,,,,,,,,,,,,,070108,070121,070215,070259,070531,070637,070803,070921,070954,071037,071204,071447,071646,071802,071856,072002,072047,072152,072224,072246,072308,072351,072436,072552,072635
3,MZ3956-0,,,,,,,070108,070132,070342,070509,070626,071131,071226,071309,071426,071530,071625,071846,071940,072058,072224,072257,072319,072436,072729,072919,,,073257,073340,073445,073517,073550,073613,073708,073729,073856,073950
4,MZ3978-0,,070108,070226,070331,070615,070859,070943,071048,071258,071509,071646,072152,072257,072340,072508,072602,072657,072919,073013,073118,073203,073224,073257,073423,073751,073950,074129,074233,074338,074421,074515,074558,074641,074724,074756,074839,074945,075039
5,MZ3987-0,071215,071353,071625,071741,072002,072224,072414,072519,072635,072802,072908,073423,073539,073624,073740,073834,073906,074107,074201,074327,074421,074443,074620,074746,075133,075310,075520,075635,075740,075813,075918,075950,080035,080057,080140,080151,080307,080350
6,MZ4072-0,,072846,073013,073141,073351,073613,073740,073845,074045,074233,074400,074913,075018,075133,075300,075404,075458,075657,075802,075907,075950,080035,080108,080245,080613,080835,081057,081214,081330,081414,081508,081613,081657,081730,081824,081846,082014,082108
7,MX1135-0,073635,073718,073856,074035,074223,074609,074652,074756,074924,075050,075155,075657,075751,075907,080035,080140,080213,080446,080551,080656,080751,080824,080919,081107,081435,081635,081857,081951,082108,082151,082318,082413,082445,082518,082551,082612,082728,082801
8,MW3528-0,074829,075007,075144,075343,075448,075751,075929,080350,080646,080908,081035,081540,081635,081741,081857,081940,082046,082224,082329,082445,082551,082623,082707,082822,083126,083303,083515,083632,083748,083831,083936,084009,084053,084136,084219,084241,084346,084418
9,MW3343-0,080140,080245,080508,080740,081002,081246,081446,081540,081802,081929,082057,082612,082717,082833,083010,083104,083158,083410,083515,083643,083748,083820,083915,084042,084335,084440,084650,084806,084932,085026,085121,085153,085237,085321,085354,085426,085552,085635
10,MZ3559-0,080339,081341,081551,081802,082035,082329,082529,082645,082801,082949,083115,083621,083715,083810,083925,084031,084136,084357,084502,084617,084744,084817,084849,085005,085310,085458,085624,085729,085834,085907,090035,090129,090151,090223,090256,090328,090454,090538
11,MZ3734-1,082035,082213,082424,082602,082801,083126,083346,083454,083632,083904,083936,084429,084556,084701,084806,084911,085005,085216,085310,085447,085541,085624,085708,085823,090129,090350,090538,090715,090808,090841,090957,091050,091144,091228,091322,091344,091510,091604
12,MZ3740-1,083443,083548,083810,084031,084230,084502,084556,084701,084828,085059,085153,085657,085813,085918,090035,090140,090223,090422,090527,090653,090747,090819,090902,091007,091311,091521,091720,091814,091921,092004,092109,092152,092257,092329,092413,092435,092602,092645
13,MZ3825-1,084440,084639,084838,085016,085310,085613,085823,085939,090057,090317,090411,090830,090924,091018,091144,091300,091344,091521,091615,091720,091814,091847,091910,092037,092319,092529,092707,092813,092919,092951,093056,093140,093224,093235,093329,093351,093507,093539
14,MW5898-0,,085552,085729,085907,090118,090401,090548,090653,090841,091123,091228,091753,091836,092004,092120,092236,092329,092540,092623,092813,092940,093002,093045,093150,093507,093624,093751,093845,094003,094037,094142,094226,094247,094309,094403,094425,094530,094615
15,MZ3956-1,085845,090548,090808,091007,091155,091521,091659,091814,091943,092152,092257,092750,092835,092951,093129,093224,093307,093517,093602,093718,093845,093928,094003,094109,094414,094530,094836,094932,095048,095142,095247,095330,095352,095424,095508,095530,095635,095718
16,MZ3978-1,091542,091615,,092225,092446,092835,093056,093202,093351,093602,093718,094226,094342,094530,094658,094814,094910,095110,095215,095352,095530,095603,095624,095751,100011,100210,100421,100558,100652,100735,100851,100924,100945,101007,101050,101112,101228,101311
17,MZ3987-1,092413,092551,092835,093013,093118,093456,093645,093834,094037,094226,094530,095005,095110,095236,095341,095435,095530,095812,095917,100044,100138,100221,100326,100432,100757,100945,101050,101155,101300,101322,101437,101520,101542,101603,101657,101730,101857,101929
18,MZ4072-1,092835,093539,093918,094131,094403,094741,094910,095048,095341,095657,100000,100515,100620,100735,100935,101039,101133,101416,101510,101647,101802,101824,101857,102025,102351,102507,102751,102826,102943,103016,103131,103215,103236,103258,103341,103403,103519,103551
19,MW5943-0,094215,094615,094814,095026,095247,095519,095718,095928,100232,100454,100620,101133,101300,101405,101542,101647,101741,101940,102046,102213,102329,102413,102446,102602,102848,103016,103215,103320,103413,103446,103551,103635,103718,103801,103834,103856,104022,104054
20,MW3528-1,095949,100210,100454,100641,100757,101144,101343,101448,101708,101940,102046,102551,102657,102802,102932,103037,103142,103403,103457,103602,103646,103729,103856,104011,104336,104515,104641,104735,104830,104903,105008,105113,105134,105156,105250,105312,105438,105511
21,MW5966-0,101542,101636,102108,102351,102507,102900,103016,103153,103508,103812,103917,104443,104609,104725,104852,105008,105123,105323,105417,105616,105721,105804,105921,110110,110435,110601,110825,110929,111045,111139,111256,111401,111422,111455,111538,111559,111716,111759
22,MZ3559-1,101625,102910,103258,103519,103751,104127,104347,104504,104652,105008,105134,105638,105753,105921,110059,110204,110330,110540,110645,110803,110857,110940,111045,111150,111455,111611,111748,111842,111936,112031,112147,112241,112313,112346,112430,112452,112607,112640
23,MW5936-0,102141,104221,104515,104735,105019,105333,105616,105710,105910,110236,110414,110929,111045,111213,111339,111444,111559,111748,111853,112031,112136,112219,112335,112503,112756,113006,113154,113248,113404,113447,113614,113708,113730,113752,113835,113930,114035,114141
24,MW3343-1,104903,105029,105301,105449,105710,110016,110153,110309,110529,110857,111034,111549,111716,111832,112020,112125,112241,112535,112640,112807,112912,112955,113111,113227,113552,113741,114003,114058,114203,114246,114403,114457,114529,114551,114645,114717,114855,114949
25,MX1084-0,,110634,110940,111246,111622,111947,112219,112335,112535,112944,113248,113908,114025,114141,114341,114507,114623,114917,115032,115233,115326,115421,115526,115641,120029,120144,120343,120459,120626,120659,120825,120900,120933,120955,121027,121111,121238,121321
26,MW5898-1,,111705,111915,112053,112303,112557,112829,112933,113111,113552,113708,114213,114319,114413,114601,114655,114812,114949,115043,115222,115326,115410,115526,115714,120029,120144,120354,120510,120626,120709,120825,120911,120933,120955,121027,121111,121248,121321
27,MP6380-0,,112009,112157,112430,112524,112807,113111,113227,113353,113741,113908,114413,114507,114623,114749,114855,115000,115137,115243,115421,115526,115558,115725,115829,120206,120311,120448,120553,120720,120753,120911,120955,121049,121111,121205,121227,121343,121415
