,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4781-0,,,,,,,,,,,,,,,,-1,-1,-1
1,AA7479-0,,,,,,,,,,,1,-1,-1,1,1,-1,-1,-1
2,AA7530-0,,,,,,,,,1,-1,1,2,-1,1,-1,-1,-1,-1
3,AA7574-0,-1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1
4,AA7759-0,,1,1,1,1,2,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
5,AA6345-0,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1
6,AA7312-0,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1
7,MW4647-0,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1
8,AA7721-0,,,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1
9,MW4781-1,1,,1,1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1
10,AA7479-1,1,,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1
11,AA7530-1,1,1,1,1,5,4,1,1,1,-1,1,1,2,1,1,-1,-1,-1
12,AA7637-0,,,,,,,,,,,,,,,,,-1,-1
13,AA6832-0,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
14,MP6359-0,1,1,1,1,1,1,1,1,1,,1,-1,1,1,1,-1,-1,-1
15,AA7759-1,1,1,1,1,1,,1,1,1,-1,1,2,1,1,1,-1,-1,-1
16,AA6345-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
17,AA7286-0,1,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
18,AA7312-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
19,MW4647-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,
20,AA74-92-0,1,1,1,1,-1,-1,1,1,1,,1,-1,,,,,,
21,AA7721-1,1,1,1,1,-1,-1,1,1,1,1,1,,,,,,,
22,MW4781-2,1,,1,1,-1,-1,1,1,1,,,,,,,,,
23,AA7479-2,1,1,1,1,,,,,,,,,,,,,,
